side	opponent	round	number	attacks	ann	text
					0	ISSN 2076-3387 http://www.mdpi.com/journal/admsci Peer-Review Record: Learning from the Co-operative Institutional Model: How to Enhance Organizational Robustness of Third Sector Organizations with More Pluralistic Forms of Governance Keith Taylor Administrative Sciences 2015, 5, 148–164, doi: 10.3390/admsci5030148 Reviewer 1: Anonymous Reviewer 2: Anonymous Reviewer 3: Anonymous Reviewer 4: Anonymous Editor: Antonin Wagner (Guest Editor of Nonprofit Governance: Concepts, Visions and Perspectives) Received: 8 April 2015 / Accepted: 11 August 2015 / Published: 14 August 2015 First Round of Evaluation Round 1: and Author Response This paper communicated a nice research idea, but I find it too superficial in its approach.
					0	The two major issues are: -
Reviewer_1	Author	1	1	0	2	the third sector, its definition and description is missing.
					0	I would not have thought of this as a major issue unless Evers and Laville (2004)
Reviewer_1	Author	1	1	0	2	The third sector in Europe, Edward Elgar, spesifically discuss whether cooperations are defined within or outside the third sector.
					0	Maybe taken for granted here?
					0	The least we should expect is a definition.
					0	-
Reviewer_1	Author	1	2	0	2	the case description and analysis is based only on media accounts - no actual first hand information to inform the analysis.
					0	I find this less than satisfying.
					0	It should be possible to interview a few key individuals about the case to make sure the medis picture is corrected where this is needed.
					0	Media does not always get it right.
					0	There is not enough evidence to prove anything about CEC.
					0	These issues, and the second one in particular, points towards unclear research methodology.
					0	Your choices may be OK in given circumstances, but how do you argue for these choices here?
					0	This is unclear in the paper - a methodology chapter/discussion is needed.
					0	R2
Reviewer_1	Author	1	3	0	2	I also have problems with the depth of the discussion, and I feel the conclusion does not match the promises of the abstract.
					0	Turning to the good things: I do like the introduction and idea of analysing by using Ostrom's design principles, and I do find the CEC case interesting - as far as the given information goes.
					0	Minor issues (details really): -
Reviewer_1	Author	1	4	0	2	Wrong reference number on page 4, line 14: should be 15
					0	.
					0	-
Reviewer_1	Author	1	5	0	2	Figure 1 text overwrite part of the figure, and there should be comments on how this is different from a general structure for a private sector company (if you look at stakeholders as shareholders)
					0	.
					0	-
Reviewer_1	Author	1	6	0	2	Bottom of page 9: Missing reference to Co-operative principles by Rochdale Society.
					0	-
Reviewer_1	Author	1	7	0	2	USA context concerning cooperatives (upper half page 10) should be highlighted even more for readers to be able to compare to their own context (for instance in Europe)
					0	-
Reviewer_1	Author	1	8	0	2	The cooperative firm removes adversarial aspects of market contracting (page 11) - what adversarial aspects?
					0	-
Reviewer_1	Author	1	9	0	2	are references 27 and 33 used in the text?
Reviewer_1	Author	1	9	0	2	(could not find them) Good luck in further research and writing on this subject.
					0	Round 1: Author Response to Reviewer 1 I copied and pasted the reviewer commentary, below.
					0	I respond, in-line, in bold.
					0	This paper communicated a nice research idea, but I find it too superficial in its approach.
					0	The two major issues are: - the third sector, its definition and description is missing.
					0	I would not have thought of this as a major issue unless Evers and Laville (2004) The third sector in Europe, Edward Elgar, spesifically discuss whether cooperations are defined within or outside the third sector.
					0	Maybe taken for granted here?
					0	The least we should expect is a definition.
					0	Agree that it should not be an issue.
Author	Reviewer_1	2	1	1	1	Therefore, I recalibrated the piece to note that co-operatives are not third sector organizations, but instead have similar features that could allow the institutional analyst fertile ground for innovations in governance.
					0	- the case description and analysis is based only on media accounts - no actual first hand information to inform the analysis.
					0	I find this less than satisfying.
					0	It should be possible to interview a few key individuals about the case to make sure the medis picture is corrected where this is needed.
					0	Media does not always get it right.
					0	There is not enough evidence to prove anything about CEC.
					0	R3 These issues, and the second one in particular, points towards unclear research methodology.
					0	Your choices may be OK in given circumstances, but how do you argue for these choices here?
					0	This is unclear in the paper - a methodology chapter/discussion is needed.
					0	I agree that this is not a case study; I made the mistake in haste.
Author	Reviewer_1	2	2	2	1	I have therefore changed the paper from a case study to a discussion paper.
Author	Reviewer_1	2	2	2	1	Additionally, I note in the paper that I perform an archival analysis of media accounts in an effort to demonstrate how the utilization of the ODPs for analysizing secondary data may better position the analyst to perform rigorous, interogative fieldwork.
					0	I also have problems with the depth of the discussion, and I feel the conclusion does not match the promises of the abstract.
Author	Reviewer_1	2	3	3	1	See the DISCUSSION and CONCLUSION sections, where I have added additional analyses.
					0	Turning to the good things: I do like the introduction and idea of analysing by using Ostrom's design principles, and I do find the CEC case interesting - as far as the given information goes.
					0	Minor issues (details really): - Wrong reference number on page 4, line 14: should be 15.
Author	Reviewer_1	2	9	9	1	Corrected.
					0	- Figure 1 text overwrite part of the figure, and there should be comments on how this is different from a general structure for a private sector company (if you look at stakeholders as shareholders).
Author	Reviewer_1	2	5	5	1	Corrected and accounted for.
					0	- Bottom of page 9: Missing reference to Co-operative principles by Rochdale Society.
Author	Reviewer_1	2	6	6	1	I do not believe this is a necessary reference as I cite the International Co-operative Alliance principles, and the Rochdale Principles are somewhat commonly understood.
					0	- USA context concerning cooperatives (upper half page 10) should be highlighted even more for readers to be able to compare to their own context (for instance in Europe)
Author	Reviewer_1	2	7	7	1	Accounted for.
					0	- The cooperative firm removes adversarial aspects of market contracting (page 11) - what adversarial aspects?
Author	Reviewer_1	2	8	8	1	Addressed in the text.
					0	- are references 27 and 33 used in the text?
					0	(could not find them) Corrected.
					0	R4 Good luck in further research and writing on this subject.
					0	Thank you very much for your helpful commentary!
					0	Round 1: and Author Response 1.
Reviewer_2	Author	1	1	0	2	The abstract of the manuscript mentions that dominant modes of third sector organizational governance adhere to a narrow principal-agent orientation.
Reviewer_2	Author	1	1	0	2	Similarly, in the introduction, it is stated that governance research on third sector organizations predominantly fixates analysts on the board-management dynamic.
					0	I do not agree with the author for several reasons.
					0	First, the principal-agent approach is only one of theoretical perspectives used to analyze nonprofit governance (Cornforth, 2004; Renz and Andersson, 2014).
					0	Second, the board-manager relationship is only a small part of the research on nonprofit boards, which in turn is the major focus of nonprofit governance research (Cornforth, 2012; Renz and Andersson, 2014).
					0	Furthermore, there is no discussion of principal-agent literature in a third sector context (see, for example, Jegers, 2009), which is quite surprising since the proposition to go beyond the traditional principal-agent literature is one of the main ideas of the manuscript.
					0	2.
Reviewer_2	Author	1	2	0	2	In the abstract, the author also states that the over-reliance on the principal-agent model introduces two challenges.
Reviewer_2	Author	1	2	0	2	However, a solid foundation for this argument is missing.
					0	The disadvantages of a too narrow principal-agent approach have been acknowledged in previous studies (Miller, 2002).
					0	Furthermore, attempts have already been made to broaden the principal-agent approach in nonprofit organizations (Ben-Ner et al., 2012; Van Puyvelde et al., 2012, Coule, 2015), leading me to the question what this manuscript actually adds to the literature.
					0	3.
Reviewer_2	Author	1	3	0	2	In the introduction, the author also mentions underdeveloped modes of stakeholder governance in the third sector.
Reviewer_2	Author	1	3	0	2	I do not agree with this view.
Reviewer_2	Author	1	3	0	2	Several stakeholder governance frameworks for third sector organizations have already been developed in the literature (Young, 2011; Van Puyvelde et al., 2012; Wellens and Jegers, 2014).
					0	4.
