side	opponent	round	number	attacks	ann	text
					0	ISSN 2076-3387 http://www.mdpi.com/journal/admsci Peer-Review Record: Local Management of National Cluster Policies: Comparative Case Studies of Japanese, German, and French Biotechnology Clusters Hiroyuki Okamuro and Junichi Nishimura Administrative Sciences 2015, 5, 213–239, doi: 10.3390/admsci5040213 Reviewer 1: Anonymous Reviewer 2: Anonymous Editor: Maximilian Benner (Guest Editor of Cluster Policy: Institutional and International Perspectives) Received: 27 April 2015 / Accepted: 27 October 2015 / Published: 3 November 2015 1.
					0	First Round of Evaluation Round 1: Interesting idea to look at the impact of cluster policy/program design on the cluster (initiative management).
					0	Also sound profiling of the different cluster programs and initiatives.
Reviewer_1	Author	1	1	0	2	But the analysis of the data is weak, and the paper remains largely descriptive.
Reviewer_1	Author	1	1	0	2	Would suggest to use these case studies as a source of ideas on how policies and cluster initative management migth relate to each other; that would make this a more interesting paper.
Reviewer_1	Author	1	2	0	2	Ultimately there is then also the question of how this interaction affects performance and what policy implications the authors see (should policies be changed; should cluster initiative managers make different choices; can they if policies are given).
Reviewer_1	Author	1	3	0	2	The conceputal framework (figure 1) is very similar to the 'cluster initiative performance model' in the Cluster Initiative Greenbook (Solvell et al., 2003), adding the hypothesis that there might be an interaction between policy context and management and being somewhat more narrow on the elements included.
Reviewer_1	Author	1	3	0	2	There are also existing reviews of cluster policies in Europe that should be considered (Clusters are Individuals, 2012, BMWi; VDI/VDE; Dasti).
Reviewer_1	Author	1	3	0	2	"There is also a growing literature on cluster initiative management in Europe (see the EU's ""Excellence Initiative' with the benchmarking of cluster initiatives) that should be considered."
Reviewer_1	Author	1	4	0	2	The language the authors use is here a bit imprecise - they seem to be talking about the management of cluster initiatives, not about the management of the policies themselves (which is more a question of how the program oversight is organized within government; also an interesting but different question).
					0	R2 Round 1: Author Response to Reviewer 1 We are very grateful for your valuable comments and suggestions, which help improve our manuscript significantly.
					0	We tried to consider the comments and suggestions as far as possible in revising our manuscript.
					0	In the following, we will reply to each of your comments, using blue letters for our responses.
					0	But the analysis of the data is weak, and the paper remains largely descriptive.
					0	Would suggest to use these case studies as a source of ideas on how policies and cluster initiative management might relate to each other; that would make this a more interesting paper.
					0	*
Author	Reviewer_1	2	1	1	1	We fundamentally reorganized our manuscript so that its story and structure might be much clearer in the revision.
Author	Reviewer_1	2	1	1	1	In Section 2.2 we explicitly presented three hypotheses that are tested and discussed in later sections using information on six cluster cases.
Author	Reviewer_1	2	1	1	1	Section 5 also was reorganized so that the relationship of local cluster management to basic conditions and to national cluster polity, respectively, could be tested for each country using some cases of clusters and cluster management.
					0	The conceptual framework (figure 1) is very similar to the 'cluster initiative performance model' in the Cluster Initiative Greenbook (Solvell et al., 2003), adding the hypothesis that there might be an interaction between policy context and management and being somewhat more narrow on the elements included.
					0	There are also existing reviews of cluster policies in Europe that should be considered (Clusters are Individuals, 2012, BMWi; VDI/VDE; Dasti).
					0	"There is also a growing literature on cluster initiative management in Europe (see the EU's ""Excellence Initiative' with the benchmarking of cluster initiatives) that should be considered."
					0	*
Author	Reviewer_1	2	2	3	1	We revised and simplified Figure 1 by deleting cluster performance and its relationships with other factors because in fact we do not address them in our manuscript.
					0	*
Author	Reviewer_1	2	3	3	1	We read and cited in our manuscript the suggested and other references that correspond to [25], [31], [32], [33], [34], [35] and [36] (especially in Section 2.2) in revising our conceptual framework.
					0	The language the authors use is here a bit imprecise - they seem to be talking about the management of cluster initiatives, not about the management of the policies themselves (which is more a question of how the program oversight is organized within government; also an interesting but different question).
					0	*
Author	Reviewer_1	2	4	4	1	This manuscript addresses the relationship of national cluster policy and its local implementation, and not the policy organization within the government.
Author	Reviewer_1	2	4	4	1	Therefore, we slightly changed the titles of the manuscript and Section 5, and revised related terms throughout the manuscript, using the terms such as “local implementation” or “local management”.
					0	Round 1: Referee Report for Administrative Sciences Management of cluster policies for innovation: Comparative case studies of Japanese, German, and French biotechnology clusters Manuscript no.
					0	admsci-85306 R3 Brief Summary The paper tackles a relevant topic and takes up an important research deficit, i.e.
					0	the interface between national cluster policies and cluster management on the ground, and thus makes an original contribution to our understanding of cluster policies and their implementation.
					0	It develops a conceptual frame for the comparative analysis of cluster policies and applies it to six case studies in three countries.
					0	The paper is well-written and organised.
Reviewer_2	Author	1	1	0	2	However, it remains predominantly descriptive in its present state, and does not seek to explain the differences found in both countries.
Reviewer_2	Author	1	1	0	2	When revising the paper, the authors are advice to add a theoretical/conceptual frame that allows them to strengthen the paper’s explanatory value.
					0	In sum, I recommend that the paper be reconsidered after a major revision.
					0	The authors might find the following major and minor comments helpful when revising their paper.
					0	Broad Comments The paper fills an important research deficit by focusing on the interdependence between national cluster policy programmes and their implementation by cluster management on the ground.
					0	Its main contributions lie in the conceptual framework displayed in figure 1 and its application to six case studies from three countries.
Reviewer_2	Author	1	2	0	2	However, the conceptual framework appears simplistic, technocratic and static, and it is not sufficiently rooted in literature as evident from the scarcity of references in section 2.2.
Reviewer_2	Author	1	3	0	2	It is simplistic and technocratic because it views cluster performance as an outcome of initial conditions (i.e., the state of cluster development), cluster management and national polices.
Reviewer_2	Author	1	3	0	2	The paper thus rests on the untested presumption that cluster management and national policies actually impact the performance of clusters.
Reviewer_2	Author	1	4	0	2	As scholars, the authors should challenge this technocratic faith of policy-makers and practitioners, although evaluation is beyond this paper’s scope.
Reviewer_2	Author	1	4	0	2	The performance of clusters is also affected by many exogenous influences not captured in the simple model.
Reviewer_2	Author	1	5	0	2	Furthermore, ‘initial conditions’ fail to capture the complexity of clusters if they are reduced to a dichotomy of private vs. public sector dominance.
Reviewer_2	Author	1	5	0	2	Even when the industry (biotechnology) is held constant, clusters differ in a number of ways, esp.
Reviewer_2	Author	1	5	0	2	regarding their specialisation within biotechnology, their maturity, size (number of firms and employee) and firm size structure.
Reviewer_2	Author	1	6	0	2	Finally, the paper is static as it does not account for cluster evolution and (policy) learning over time.
Reviewer_2	Author	1	6	0	2	For instance, what does it mean if a regional cluster organisation is pre-dating the national policy programme it is supposed to implement, as evident from some of the cases?
Reviewer_2	Author	1	6	0	2	Such limitations do not necessarily disqualify the paper, but should be discussed reflexively in the paper’s conclusions.
Reviewer_2	Author	1	7	0	2	At present, the final section is merely a summary with the exception of the very last sentence briefly sketching the need for including evaluation in comparative cluster policy research.
					0	The paper contributes to comparative cluster policy research and thus helps overcoming the prevailing focus on individual case studies.
Reviewer_2	Author	1	8	0	2	However, it remains rather descriptive and does not systematically attempt to explain the differences found between the three countries.
					0	The authors conclude that they found ‘consistent combinations of the types of national policies, local clusters, and cluster management’.
Reviewer_2	Author	1	9	0	2	This appears hardly surprising given the co-evolution of policies and cluster management within a common institutional environment.
Reviewer_2	Author	1	9	0	2	A conceptual and/or theoretical perspective is needed to shed light at the differences found.
					0	The authors should include a discussion on how these R4 countries differ e.g.
Reviewer_2	Author	1	10	0	2	in terms of the role of the state versus private initiative, governance traditions and philosophies, centralist vs. federal set-up.
					0	As Kiese (2009) showed for three European Countries including Germany and France, these differences leave an imprint on the design and implementation of national cluster policies.
					0	The varieties of capitalism (VoC) concept developed by HALL/SOSKICE (2011) may be a suitable concept here, as it has been applied to cluster policies in the U.S. and Germany by STERNBERG ET AL. (2010).
					0	Since Japan, France and Germany are all classified as co-ordinated market economies in the original VoC concept, more nuanced differentiations of capitalisms – or other institutional frameworks – might be recommended for the paper.
					0	The authors focus on what they call ‘intellectual clusters’, a term that appears 21 times throughout the paper although I cannot recall having ever seen it in a decade or so of studying clusters and cluster policies.
Reviewer_2	Author	1	11	0	2	According to the definition on the top of page 4, the term denotes a cluster led by a public research organisation, which is rather specific and I doubt it applies to the six case studies outlined in the paper.
Reviewer_2	Author	1	11	0	2	Even so, the term ‘intellectual’ does not look fully appropriate here, which may be due to its translation from a Japanese original.
Reviewer_2	Author	1	11	0	2	‘Public research-led cluster’ might be more to the point, as it appears difficult to judge if these are more or less ‘intellectual’ than other forms of clusters.
