side	opponent	round	number	attacks	ann	text
					0	Author Response
Author	Reviewer_1	2	2	6	1	We have added all the new references suggested by Referee 2 on page 3 of the new manuscript.
Author	Reviewer_1	2	2	6	1	These includethe ones mentioned in our reply to Referee 1’s point 4 above, and all also the references: Corney98,Mekhov09,leroux10,Mekhov12,Niedenzu13,Lee14.
Author	Reviewer_1	2	4	4	1	Concerning the referee’s other point, about the suitability of this system to measure weak forces, we first note that the use of Bloch oscillations without a cavity is proving to be an excellent way to measure gravity (e.g.
Author	Reviewer_1	2	4	4	1	the experiments by G.M.
Author	Reviewer_1	2	4	4	1	Tino’s group).
					0	The sensitivity of their measurements, after many years of development, are only one order of magnitude above our estimated sensitivity, and their measurements take one hour whereas ours should take one second which means it might have applications in rather different situations (e.g.
					0	local gravity mapping while flying).
					0	Our work is very much still in progress and this paper will not, we hope, be our final word on this subject.
					0	Indeed, we point out a possible way forward in the last section that builds on the insight gained from the optomechanics analogy.
					0	It seems likely that the homodyne phase measurement regime, where backaction can be reduced, will likely be more favourable when it comes to absolute sensitivity than photon counting type measurement we focus on at the moment.
					0	For these reasons we would like to keep the measurement aspects of the paper intact: we would like to advertise them and, perhaps, be a little provocative.
Author	Reviewer_1	2	5	3	1	Concerning the question of whether we have taken the effects of higher Bloch bands into effect, our numerical calculations do take this into account.
Author	Reviewer_1	2	5	3	1	The question of higher Bloch bands is a little subtle when it comes to our analytical calculation done in the Wannier-Stark picture.
Author	Reviewer_1	2	5	3	1	In the presence of the force, the true eigenstates of the system are no longer the Bloch states but the localized Wannier-Stark states.
Author	Reviewer_1	2	5	3	1	In the analytical calculation we restrict ourselves to just the ground band Wannier-Stark states.
Author	Reviewer_1	2	5	3	1	However, even with this approximation we find very good agreement between the numerical and analytical calculations.
					0	Concerning the question of radiationpressure forces, we take them into account on the atoms but not on the mirrors.
					0	Author Response The authors present a new interpretation to study Bloch oscillations in a cavity sustained optical lattice and the potential use of this system for very sensitive force measurement.The idea is closely related to previous work as Ref.
					0	33/34 and the results are similar.
					0	Nevertheless the presentaion sheds new light onto the underlying microscopic dynamics and connects the dynamics to proven optomechanical models of cavity BEC dynamics.This work is nicely presented with well chosen examples and graphs.
					0	Hence, in principle I consider it suitable for publication.There are however a few things to be clarified before publication:
Reviewer_2	Author	1	1	0	2	(1) It should be somehow mentioned more clearly (maybe in the abstract) that the idea is not completely new but work presents a new and more intutive picture of the system dynamics.
Author	Reviewer_2	2	6	1	1	Done.
Author	Reviewer_2	2	6	1	1	We have re-written the first part of the abstract as: “In this paper we give a new description, in terms of optomechanics, of previous work on the problem of an atomic Bose-Einstein condensate interacting with the optical lattice inside a laser-pumped optical cavity and subject to a bias force such as gravity \cite{Ven09,Ped09,Gol14}.
Author	Reviewer_2	2	6	1	1	An atomic wave packet in a tilted lattice undergoes Bloch oscillations; in a highfinesse optical cavity the backaction of the atoms on the light leads to a time-dependent modulation of the intracavity lattice depth at the Bloch frequency which can in turn transport the atoms up or down the lattice.”
Reviewer_2	Author	1	2	0	2	(2) It is very helpful to connect cavity output spectra and forces.
Reviewer_2	Author	1	2	0	2	To my knowledge this was first discussed in: Gangl, M., EPJD, 8(1), 29-40.
Reviewer_2	Author	1	2	0	2	This should be mentioned.
Author	Reviewer_2	2	7	2	1	We have added the following sentences on p3 (and four new references, including the one to Gangl’s work, in the bibliography): “A number of experiments have already demonstrated how the light transmitted by a cavity can be used to track the motion of atoms trapped inside \cite{Hood98,Hood00,Pinkse00}, and in particular, a theoretical analysis of the information stored in the frequency spectrum has been given in \cite{Gangl00}, showing that atomic motion introduces sidebands either side of the pump frequency.
Author	Reviewer_2	2	7	2	1	In our case, Bloch oscillations at angular frequency $\omega_{B}$ generates sidebands separated from the pump frequency by $\pm \omega_{B}$ (and harmonics thereof in the strong coupling regime).Because the Bloch frequency is proportional to the applied force $\omega_{B}= F d/\hbar$, where $d=\lambda/2$ is thelattice period, a detection of the spectrum of the transmitted light gives $F$ directly.”
Reviewer_2	Author	1	3	0	2	(3) The authors claim there should be no backaction of the field on the oscillation frequencies.
					0	This is somehow in contradiction with theeigenfrequency calculations (see Fig.4) in Horak, P.,Physical Review A, 61(3), 033609, 2000.
Reviewer_2	Author	1	4	0	2	Also the BEC will lead to an effective change of the cavity length and lattice constant, which should renormalize the wavelength and thus om_recoil.
Author	Reviewer_2	2	8	3	1	Actually, we do not claim that oscillation frequencies in general will be unaffected by the backaction.
Author	Reviewer_2	2	8	3	1	Rather, we claim that one particular frequency, the Bloch frequency, will be unaffected.
					0	The Horak paper shows that Bloch energies (i.e. eigenmodes for a particle in a periodic potential…not to be confused with the Bloch oscillation frequency) will be changed by the backaction.
					0	This is because the presence of atoms in the cavity shifts the cavity resonance and hence the depth of the intracavity lattice: the Bloch energies are dependent on the potential depth.
					0	This change in potential depth due to backaction is fully included in our treatment.
					0	However, a change in the depth of a periodic potential does not change the Bloch frequency because this depends on the lattice’s spatial period, not the depth.
					0	Because this key aspect of our treatment can clearly lead to confusion we have modified the following sentence in the conclusions on p19, and added the reference to Horak’s paper: “Chief among these is that the backaction does not alter the frequency of the Bloch oscillations.
					0	By contrast, in the harmonic oscillator case there is the so-called optical spring effect which gives a dependence of oscillator frequency on field amplitude and detuning.
					0	To be clear, other motional frequencies are altered: because the intracavity lattice depth is modulated by the backaction this will affect certain types of atomic motion, for example the oscillation frequency of an atom about the bottom of one of the potential minima \cite{Horak00}.
					0	Nevertheless, the Bloch oscillation frequency is robust against this depth modulation because it only depends on the lattice period, not its depth.”
Author	Reviewer_2	2	9	4	1	Concerning the change in wavelength (and hence change in lattice constant) due to the refractive index of the gas, this effect is tiny.
Author	Reviewer_2	2	9	4	1	We consider it in section 6, on p17 and show that the correction to the refractive index is of order 10^-9 for our parameters.
Author	Reviewer_2	2	9	4	1	This is to be distinguished from the effective change in the cavity length which, due to the resonance effect, is substantial and is precisely what lies behind the amplitude modulation of the lattice.
Reviewer_2	Author	1	5	0	2	(4) the cavity is an open quantum system.
Reviewer_2	Author	1	5	0	2	This has two consequences:
Reviewer_2	Author	1	6	0	2	(a) any measurement of the output field will generate backaction onto the condensate (Mekhov, J. Phys. B: Atomic, Molecular and Optical Physics, 45(10), 102001).
Reviewer_2	Author	1	6	0	2	This will generate extra noise, but might also help as it reduces atom number uncertainty in the cavity.
Reviewer_2	Author	1	7	0	2	(b) There will be heating limiting the available measurement time.
					0	Inparticular for the blue detuned case not only the average momentum but also the momentum spread will grow.
					0	as the time scale can be faster than om_recoil, it could limit the measurement time to a fairly short period.
					0	Some rough estimate on the time scales should be added.
Author	Reviewer_2	2	10	6	1	Yes we agree that there will be extra noise due to the open nature of the cavity, and we already refer to this on p3 of the Introduction: “The disadvantage of working in a cavity is that quantum measurement backaction, in the form of random fluctuations in the cavity field due to photons spontaneously leaking out of the cavity, heats up the cold atoms and limits the coherence time of the measurement \cite{Ven13}.” where the cited paper is one of ours [Prasanna Venkatesh, B.; O’Dell, D. H. J.; Bloch oscillations of cold atoms in a cavity: Effects of quantum noise. Phys.
