side	opponent	round	number	attacks	ann	text
					0	Author Response %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% Answer to the first referee’s report of the Manuscript ID atoms-114670 %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% In the paper, the authors report the theoretical calculation of triple differential cross sections of positron ionization of hydrogen atom at relativistic regime to understand the collision dynamics.
					0	This research field, concerning the three-body dynamics, is known to be a well-studied area.
					0	The main point in this work is to theoretically study relativistic ionization.
					0	However,
Reviewer_1	Author	1	1	0	2	the authors did not show further supports to their calculations, namely, by comparing the present calculations with experiments or other theoretical method (from other groups).
					0	The following issues need to be addressed: ------------------------------- Answer of authors ------------------------------- First of all, we would like to thank you very much because you have seen at first glance the importance of this work using QED formalism.
					0	1) Earlier publications [Physics Reports 315 (1999) 409 and related references], a fully relativistic distorted-wave Born approximation (rDWBA) has been developed to describe the relativistic ionization processes.
Reviewer_1	Author	1	2	0	2	The authors did not mention this method for discussions in the manuscript.
Reviewer_1	Author	1	2	0	2	The RPWBA method in the manuscript should be compared with the previous rDWBA theory.
Reviewer_1	Author	1	2	0	2	At least the authors should mention the differences of the two methods and how far the RPWBA can be compared to rDWBA?
					0	------------------------------- 1) Answer of authors -------------------------------
Author	Reviewer_1	2	1	2	1	The review article by W Nakel and C. T. Whelan you refer to do indeed tackle the relativistic regime but at the expense of a huge amount of numerical work.
Author	Reviewer_1	2	1	2	1	So, we think that presenting for the first time a work that incorporates fully analytical results and QED formalism is interesting to the scientific community.
Author	Reviewer_1	2	1	2	1	The work of W Nakel and C. T. Whelan is devoted to study heavy atoms but Our work is aimed to study analytically the hydrogen atom, we believe that such a comparison is impossible.
Author	Reviewer_1	2	1	2	1	Another difference that makes comparison difficult is that the work of W Nakel and C. T. Whelan uses coplanar asymmetric geometry while in our work we use coplanar symmetric geometry.
					0	--------------------------------------------------------------------------------------------------------------------------------- 2)
Reviewer_1	Author	1	3	0	2	Again in earlier publications [Physics Reports 315 (1999) 409 and related references], there are existing experiments of triple differential cross sections for relativistic K-shell ionization of Ag, Au, and so on.
Reviewer_1	Author	1	3	0	2	The authors did not mention these experimental works in the manuscript.
Reviewer_1	Author	1	3	0	2	It would be nice if the RPWBA method in the manuscript can be compared with the experiments.
					0	------------------------------- 2) Answer of authors -------------------------------
