side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment to see the responses.
					0	Author Response File: Author Response.pdf
					0	Author Response Please see the attachment for the responses.
					0	Author Response File: Author Response.pdf
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.pdf
					0	Author Response Thank you so much dear reviewer for your positive comments regarding the revised version of our manuscript.
					0	See file Comments for author File: Comments.pdf
					0	The presented manuscript is related to the study of an exopolysaccharide isolated from the extremophilic microorganism Bacillus haynesii CamB6.
					0	The authors used the RSM based on central composite design technique to maximize the EPS production by B. haynesii, and also conducted a diverse study of the EPS properties.
					0	The studied EPS showed promising properties to use in the food industry.
					0	In combination with a high yield of polysaccharide from the bacterial mass, this makes it attractive for practical use.
					0	Basically, the work was done at a fairly high professional level, the material is presented clearly, well structured, the data obtained are discussed with the previously obtained literature data.
					0	Methods are described adequately.
					0	Major remarks
Reviewer_2	Author	1	1	0	2	To my deep regret the structural characteristic of EPS is the weak point of this publication.
Reviewer_2	Author	1	1	0	2	Fourier transform infrared spectroscopy (FTIR) and NMR spectroscopy data can only be regarded as preliminary.
Reviewer_2	Author	1	1	0	2	According to the 1H NMR spectrum, it can be assumed that EPS has a complex branched structure.
Reviewer_2	Author	1	1	0	2	Probably, to establish its structure, it is necessary to use chemical methods (hydrolysis, methylation, etc.
Reviewer_2	Author	1	1	0	2	), as well as two-dimensional NMR spectroscopy.
Reviewer_2	Author	1	2	0	2	EPC is isolated from a thermal spring of volcanic origin, which contains a set of various elements, including heavy metals.
Reviewer_2	Author	1	2	0	2	It is advisable, in my opinion, to provide information on the content of heavy metals in the EPS, since the authors plan to offer this product for the food industry in the future.
					0	Minor remarks:
Reviewer_2	Author	1	3	0	2	"Line 42: It is premature to include the term ""structure"" in keywords at this stage."
Reviewer_2	Author	1	4	0	2	Line 526-527: The proposal should be reformulated.
Reviewer_2	Author	1	4	0	2	According to Figure 7. the activity of the ascorbic acid is higher than the activity of EPS produced by CamB6.
Reviewer_1	Author	3	1	0	2	The English language was improved, but there are still errors.
Reviewer_1	Author	3	2	0	2	The following comments were not addressed correctly:
Reviewer_1	Author	3	3	0	2	Why was linkage analysis not performed?
					0	(I was referring to the chemical method by methylation.)
Reviewer_1	Author	3	3	0	2	Bacterial EPSs are normally composed of repeating units.
