side	opponent	round	number	attacks	ann	text
					0	Author Response Thank you to the reviewer for their comments and helpful suggestions.
					0	Please find below our point-by-point response.
					0	1)
Reviewer_1	Author	1	1	0	2	Since mutations can affect NMDA receptor localization, data on whether AMPA/NMDA ratios changed would be informative.
Reviewer_1	Author	1	1	0	2	It follows from the methodology that AMPA currents were recorded on a regular basis.
Author	Reviewer_1	2	1	1	1	We thank the reviewer for their suggestion and have now computed AMPA-NMDA ratios and included a phrase in lines 424-425 that summarises the statistics for the comparison of AMPA-NMDA ratios between the GluN2B variants (WT and mutants).
					0	2)
Reviewer_1	Author	1	2	0	2	Please add a chart about tau changes in Figure 3.
Reviewer_1	Author	1	2	0	2	Please verify if the time scale is correct in Fig.
Reviewer_1	Author	1	2	0	2	3А.
Author	Reviewer_1	2	2	2	1	We thank the reviewer for this excellent suggestion.
Author	Reviewer_1	2	2	2	1	We have now measured the decay time constants for the NMDA-EPSCs before and after TCN-201.
Author	Reviewer_1	2	2	2	1	The graph of the data is shown in a new figure in the supplement, Fig.
Author	Reviewer_1	2	2	2	1	S4.
Author	Reviewer_1	2	2	2	1	The finding is insightful, and so we have added a paragraph relating to it in the results section, lines 520-536.
Author	Reviewer_1	2	2	2	1	In answer to the last comment here from the reviewer, the time scale in Fig.
Author	Reviewer_1	2	2	2	1	3A is correct – the examples chosen are representative of the group data in terms of the amount of block by TCN-201, but these examples all happen to have faster decays than the examples shown in Figures 1 and 2.
Author	Reviewer_1	2	2	2	1	In any case, to be more consistent with the formatting in some of the other figures, we have lengthened the scale bar and increased the time proportionally.
					0	3)
Reviewer_1	Author	1	3	0	2	A scheme summarizing how different molecular defects can converge on similar NMDAR-mediated EPSCs would be helpful in the discussion
Author	Reviewer_1	2	3	3	1	This is an excellent idea.
Author	Reviewer_1	2	3	3	1	We have added an additional (final) main text figure, Fig.
Author	Reviewer_1	2	3	3	1	7, illustrating how the molecular defects could converge on similar NMDA-EPSCs.
Author	Reviewer_1	2	3	3	1	We have explained the model in the accompanying figure legend with reference to supporting evidence in other figures.
					0	4)
Reviewer_1	Author	1	4	0	2	A small commentary on the possible functional significance of the identified mutation properties for the pathogenesis of certain diseases would be interesting.
Author	Reviewer_1	2	4	4	1	We have added further discussion relating to the pathogenesis of neurodevelopmental disorders arising from GRIN2B mutations in lines 765-771 of the manuscript.
					0	Author Response Thank you to the reviewer for their comments and helpful suggestions.
					0	Please find below our point-by-point response.
					0	1)
Reviewer_2	Author	1	1	0	2	Even though fig.2aiii shows a comparable relative peak amplitude, which indicates both GOF and LOF rescue NMDA-EPSC in Grin2b-/- neurons, it looks to me that the absolute amplitude in fig.2aii shows a quite big difference in un-transferred groups which are supposed to be comparable, not as consistent as shown in fig.1ci.
Reviewer_2	Author	1	1	0	2	How to explain this discrepancy?
Author	Reviewer_2	2	5	1	1	It is hard to know exactly why the measurements of the internal control, untransfected neuron appear to vary between the experimental groups.
Author	Reviewer_2	2	5	1	1	While an effort was made to try and evoke synaptic responses with a consistent stimulus voltage setting, the effectiveness of the stimulus for evoking an NMDA-EPSC depends on, among other things, the condition of the stimulating electrode (e.g.
Author	Reviewer_2	2	5	1	1	resistance, stray capacitance, bubbles etc).
Author	Reviewer_2	2	5	1	1	It was rarely practical to record all mutant conditions in the same experiment, so variation in the stimulating electrode condition over the course of this series of experiments could potentially lead to some apparent differences between untransfected neurons with respect to their mean NMDA-EPSC peak amplitude and charge transfer.
Author	Reviewer_2	2	5	1	1	What this does serve to illustrate though is how important it was for us to use untransfected neurons as an internal control.
					0	2)
Reviewer_2	Author	1	2	0	2	The supplementary figures are inaccessible.
Author	Reviewer_2	2	6	2	1	The supplementary figures were within the same PDF so we are not sure why the author had trouble gaining accessing to the figures.
Author	Reviewer_2	2	6	2	1	Assuming the reviewer had trouble understanding the contents of the supplement, we have tried to simplify somewhat the text in the supplementary figure legends.
					0	3)
Reviewer_2	Author	1	3	0	2	The abstract is too long, which does not actually abstract the whole content very well.
