side	opponent	round	number	attacks	ann	text
					0	ISSN 2076-328X www.mdpi.com/journal/behavsci/ Peer-Review Record: Types of Relational Aggression in Girls Are Differentiated by Callous-Unemotional Traits, Peers, and Parental Overcontrol Luna C. M. Centifanti, Kostas A. Fanti, Nicholas D. Thomson, Vasiliki Demetriou and Xenia Anastassiou-Hadjicharalambous Behavioral Sciences 2015, 5, pagination, doi:10.3390/bs50x000x Reviewer 1: Anonymous Reviewer 2: Anonymous Reviewer 3: Anonymous Reviewer 4: Anonymous Editor: John Coverdale (Editor-in-Chief of Behavioral Sciences) Received: 29 July 2015 / Accepted: 3 November 2015 / Published: 13 November 2015 First Round of Evaluation Round 1: and Author Response
Reviewer_1	Author	1	1	0	2	This is a well-written paper with a large sample of girls that replicates and extends important research on relational aggression.
Reviewer_1	Author	1	1	0	2	The focus on the functions (reactive and proactive) of relational aggression has significant implications for intervention with adolescent girls.
Reviewer_1	Author	1	1	0	2	I commend the authors for this timely and crucial study on factors that influence the development of aggression and antisocial behavior in girls, which is typically an understudied topic.
					0	Round 1: Author Response to Reviewer 1
Author	Reviewer_1	2	1	1	1	Thank you for the enthusiastic comments.
					0	Round 1: and Author Response This manuscript reports on person-centered analysis of adolescent girls finding that they are distinguished by types of aggression, callous-unemotional traits, and by interpersonal relationships with peers and parents.
					0	The study is consistent with other recently published work in this area in identifying subgroups that are characterized by their severity of aggression.
					0	These findings are in contrast to earlier work, which assumed that proactive and reactive aggression represented distinct typologies.
					0	This work, as with other recent work, makes clear that the most severely aggressive youth tend to engage in high R2 levels of both proactive and reactive aggression and are otherwise also generally more distressed and dysregulated, as compared with youth who are more moderately aggressive and tend to engage in reactive aggression only, and youth who have low levels of aggression.
					0	The study is strengthened by the person-centered approach to data analysis, by the large sample, by focusing on girls who have been much less studied than boys, and by the clear rationale for the study.
					0	In my view, this manuscript will make a nice contribution to the literature.
Reviewer_2	Author	1	1	0	2	There are two areas to address to strengthen the paper a bit more.
Reviewer_2	Author	1	2	0	2	First, it is recommended that the authors provide more information about the selection of the cluster solution.
