side	opponent	round	number	attacks	ann	text
					0	Author Response Point 1:
Reviewer_1	Author	1	1	0	2	The definition of biophilia is described as an “inherent love” toward nature.
Reviewer_1	Author	1	1	0	2	While this is somewhat accurate, it might be more appropriate to elucidate this as an “inherent affinity”.
					0	Response 1:
Author	Reviewer_3	2	24	5	1	Thank you for your suggestion.
Author	Reviewer_1	2	1	1	1	The “inherent affinity” is more appropriate, and the term is updated in the manuscript.
Author	Reviewer_1	2	1	1	1	"Revision in Page 1 Line 28:“The term ""Biophilia"" is evolved from human evolution research and is coined to de-scribe humans' inherent love affinity for the living things in the natural world [1,2].” Point 2:"
Reviewer_1	Author	1	2	0	2	P1, L39-41: Please provide references to these frameworks.
Reviewer_1	Author	1	2	0	2	Reading further to page 3, I believe these are the 24 biophilic design attributes [ref.
Reviewer_1	Author	1	2	0	2	25,39], and the 14 patterns of biophilic design [ref.40].
Reviewer_1	Author	1	2	0	2	Further references around the biophilic concept could also be provided, e.g.: Bjørn et al., 2009.
Reviewer_1	Author	1	2	0	2	Biophilia: Does Visual Contact with Nature Impact on Health and Well-Being?
Reviewer_1	Author	1	2	0	2	International Journal of Environmental Research and Public Health. Ulrich, 1993. Biophilia, biophobia, and natural landscapes.
Reviewer_1	Author	1	2	0	2	Ko et al., 2020. A window view quality assessment framework. LEUKOS.
Reviewer_1	Author	1	2	0	2	The latter reference reviewed many international standards that advocate nature and biophilic design for view and building spaces, with examples given to the Singapore context.
Reviewer_1	Author	1	2	0	2	This somewhat overlaps with my next comment.
					0	Response 2:
Author	Reviewer_3	4	5	3	1	Thank you for your suggestions.
Author	Reviewer_3	4	5	3	1	The references are added in the manuscript.
Author	Reviewer_1	2	2	2	1	In-text citation in Page 1 Line 44: “Some scholars summarized and classified the natural design features into biophilic design frameworks to guide design activities [25, 39, 40, 50, 51, 52].” Three references are added in the References List: Ulrich, 1993. Biophilia, biophobia, and natural landscapes.
Author	Reviewer_1	2	2	2	1	The Biophilia hypothesis.
Author	Reviewer_1	2	2	2	1	USA: Island Press: Washington, D.C. Bjørn et al., 2009. Biophilia: Does Visual Contact with Nature Impact on Health and Well-Being?
Author	Reviewer_1	2	2	2	1	International Journal of Environmental Research and Public Health. 6, 2332-2343. Ko et al., 2021. A Window View Quality Assessment Framework. Leukos. 1-26. DOI: 10.1080/15502724.2021.1965889.
					0	Point 3:
Reviewer_1	Author	1	3	0	2	P2, 47-53: Although in the past there were few guidelines, nowadays, there may be more standards that focus on nature integration within the built environment.
Reviewer_1	Author	1	3	0	2	WELL v2 has several features for Nature and Mind, and Biophilia – Parts I and II, with quantitative assessment methods provided.
Reviewer_1	Author	1	3	0	2	Similarly, the Green Mark system uses the green plot ratio, assigning credits to greenery provision to enhance biodiversity and visual relief.
					0	Other standards likely incorporate biophilic elements in building architecture and could be worth highlighting.
					0	The general issue raised by the authors do not necessarily imply a lack of guidelines for biophilic design, since there are several readily available, but may point toward prioritization or emphasis of criteria to meet certain varying expectations, which was alluded to on lines 52-53.
Reviewer_1	Author	1	3	0	2	If the authors agree with this, perhaps this could be revised here to reflect this.
					0	Response 3:
Author	Reviewer_3	2	29	10	1	We agree with the comment.
Author	Reviewer_1	2	3	3	1	There are general biophilic design frameworks (e.g., the 24 Biophilic Design Attributes and the 14 Patterns of Biophilic Design) and green building, healthy building standards (e.g., WELL v2 and Singapore Green Mark) that include biophilia into the certification systems in nowadays.
Author	Reviewer_1	2	3	3	1	And the issue raised by the authors is that these biophilic design frameworks (design guidelines or standards) are general design frameworks (design guidelines or standards) which can be applied to all building typologies (i.e., residential buildings, workplaces, retails, etc).
Author	Reviewer_1	2	3	3	1	Further research needs to be conducted to develop the design guideline specific for workplace.
Author	Reviewer_1	2	3	3	1	The sentence was rewritten to demonstrate this argument.
Author	Reviewer_1	2	3	3	1	Revision in Page 2 Line 56-61: “Although the importance of biophilic design seems to be well-acknowledged, and some international or regional green building and healthy building standards incorporate biophilic design elements into the rating system, such as WELL building standard version 2 and Singapore Green Mark [53].
Author	Reviewer_1	2	3	3	1	However, further research on developing building typology-based biophilic design guidelines and assessment methods are necessary.” Point 4:
Reviewer_1	Author	1	4	0	2	P2, L63: Although I wouldn’t completely rule this out, POE surveys may not always provide feedback to the architect, since they are implemented post design-stage and the building would be operated by facility management or the owner.
Reviewer_1	Author	1	4	0	2	In my view, POE information had more utility diagnosing operation problems, which can be solved when running the building, identifying prominent sources of dissatisfaction that can prompt action to resolve these issues.
					0	Recently POE studies, also using office data, advocate this as benefit to their implementation, albeit not necessarily being the only reason: žGraham et al., 2020.
Reviewer_1	Author	1	4	0	2	Lessons learned from 20 years of CBE’s occupant surveys.
Reviewer_1	Author	1	4	0	2	Building & Cities.
Reviewer_1	Author	1	4	0	2	Kent et al., 2021. A data-driven analysis of occupant workspace dissatisfaction.
Reviewer_1	Author	1	4	0	2	Building and Environment.
Reviewer_1	Author	1	4	0	2	Cheung et al. 2021. Occupant satisfaction with the indoor environment in seven commercial buildings in Singapore.
					0	Building and Environment.
					0	Response 4:
Author	Reviewer_1	2	4	4	1	We agree with this comment.
Author	Reviewer_1	2	4	4	1	Apart from the design evaluation, POE is also one of the mainstream research methods that can effectively diagnosing operation problems.
Author	Reviewer_1	2	4	4	1	The description and citations were inserted in the updated manuscript.
Author	Reviewer_1	2	4	4	1	Revision in Page 2 Line 77 ~ 80: “Moreover, from the perspective of building operation, the POE results also provide evaluation and feedback from occupants to the stakeholders and building managers on workplace biophilic design.
Author	Reviewer_1	2	4	4	1	Since POE is one of the mainstream research methods that can effectively diagnosing operation problems [54, 55, 56].” Citations are added in the Reference list: Graham, L.T., Parkinson, T., Schiavon, S., 2021.
Author	Reviewer_1	2	4	4	1	Lessons Learned from 20 years of CBE’s Occupant Surveys.
Author	Reviewer_1	2	4	4	1	Buildings and Cities 2(1):166-184.
Author	Reviewer_1	2	4	4	1	DOI: 10.5334/bc.76 Kent, M., Parkinson, T., Kim, J., Schiavon, S., 2021.
Author	Reviewer_1	2	4	4	1	A Data-Driven Analysis of Occupant Workspace Dissatisfaction.
Author	Reviewer_1	2	4	4	1	Building and Environment 205, 108270 Cheung, T., Schiavon, S., Graham, L.T., Tham, K.W., 2021.
Author	Reviewer_1	2	4	4	1	Occupant satisfaction with the indoor environment in seven commercial buildings in Singapore.
Author	Reviewer_1	2	4	4	1	Building and environment (188).
Author	Reviewer_1	2	4	4	1	DOI：10.1016/j.buildenv.2020.107443 Point 5:
Reviewer_1	Author	1	5	0	2	P3, L92: I think refers to “has helped” given the five decades predating this.
					0	Response 5:
					0	The sentence was rewritten in the updated version.
					0	Revision in Page 3 Line 109: “It has helped experts to obtain user’s feedbacks over the last five decades [31,32].” Point 6:
Reviewer_1	Author	1	6	0	2	P3, L106: While I generally agree with, questions could be raised to whether POE scales should be used to evaluate biophilic design evaluation.
Reviewer_1	Author	1	6	0	2	Biophilic design is known to elicit mental and physical health benefits, as stated by the authors on page 1, lines 29-32.
Reviewer_1	Author	1	6	0	2	Therefore, it would be more appropriate to use psychological scales (e.g.,
Reviewer_1	Author	1	6	0	2	PANAS or psychological restoration), instead of design orientated question or survey.
Reviewer_1	Author	1	6	0	2	If the authors agree with this, this aspect could be revised.
					0	Response 6:
Author	Reviewer_1	2	6	6	1	Yes, the existing psychological scales are well-developed, but scales for investigating “workplace biophilic design” had not been developed before.
Author	Reviewer_1	2	6	6	1	Hence, in this study, we develop a method that focus on evaluating the biophilic design elements in workplace.
Author	Reviewer_1	2	6	6	1	The major scale of the questionnaire consists of three parts (subscales): general health (GH), nature relatedness (NR), and biophilic design evaluation (BDE).
Author	Reviewer_1	2	6	6	1	The questions in the first and the second subscales are referred to the validated scales--The World Health Organization Quality of Life (WHOQOL) and the nature relatedness (NR).
Author	Reviewer_1	2	6	6	1	The third scale is focus on evaluation on the biophilic design elements.
Author	Reviewer_1	2	6	6	1	Hence, the questions in the final section are designed based on the selection of the biophilic design elements/attributes that typically applied in the office design, which are not mentioned in the previous scales.
					0	Point 7:
Reviewer_1	Author	1	7	0	2	Something I felt would useful would at the beginning would be a clear definition for what “biophilic attributes” refers to.
Reviewer_1	Author	1	7	0	2	Figure 1 provides some insights into this, but these listed attributes span across different domains and the communal features are not that apparent.
Reviewer_1	Author	1	7	0	2	This becomes an issue later, since some aspects referring to biophilic design become unclear.
					0	Response 7:
Author	Reviewer_1	2	7	7	1	The method of selection of the biophilic design attributes/patterns for workplace is: ŸStep one, find out the correlated biophilic design characteristics from the two mainstream biophilic design frameworks.
Author	Reviewer_1	2	7	7	1	ŸStep two, we neglect the patterns which are not representative in office environment (please find the detailed explanations in the respond for Comment #8) and specify the selected design patterns to nine biophilic design attributes.
Author	Reviewer_1	2	7	7	1	The detailed process is shown in Section 2.1 and Figure 1.
Author	Reviewer_1	2	7	7	1	ŸStep three, verify the selection of the nine biophilic attributes matches the validated eight factors that affect workers’ satisfaction and productivity (please find the detailed explanations in the respond for Comment #11).
Author	Reviewer_1	2	7	7	1	In terms of the reviewer think that the listed attributes span across different domains and the communal features are not that apparent, we believe it is due to the research perspective of biophilic design is different from the perspectives of building science and traditional POE studies (please find the detailed explanations in the respond for Comment #9).
					0	Point 8:
Reviewer_1	Author	1	8	0	2	P4, L173-174: The authors state that seven of the patterns from the 14 patterns of biophilic design were discarded.
Reviewer_1	Author	1	8	0	2	If this was the case, then please better articulate its overarching utility in this study, considering that half of the patterns were not relevant to the research scope.
					0	Response 8:
Author	Reviewer_1	2	8	8	1	The authors gave the reason after the sentence in Page 4, Line 173-174 of the original manuscript “Second, the authors neglect seven design patterns from the 14 Patterns of Biophilic Design which are not representative of the workplace design.” to explain why the seven of the patterns from the 14 patterns of biophilic design were discarded: For instance, the patterns “Presence of Water”, “Prospect”, “Refuge”, “Mystery”, and “Risk” (i.e., itemized patterns 5, 11, 12, 13, and 14 in Column B) are recommended but not demonstrative in this building typology (workplace).
Author	Reviewer_1	2	8	8	1	Those are usually applicable in other building typologies, such as hotels or residential.
Author	Reviewer_1	2	8	8	1	To further explain why these patterns are recommended but are discarded: 1) First, these design patterns (i.e., the seven discarded patterns of the 14 biophilic design patterns) are recommended because they are proofed that benefits health.
Author	Reviewer_1	2	8	8	1	2)
Author	Reviewer_1	2	8	8	1	However, these patterns are not common in most offices.
Author	Reviewer_1	2	8	8	1	For instance, in most cases, the employers would not create an office environment that makes the workers feel “Prospect”, “Refuge”, “Mystery”, and “Risk”.
Author	Reviewer_1	2	8	8	1	3) Therefore, we only included those biophilic design patterns that relatively easy to apply in the workplace (e.g., greenery, natural light, artworks), and discard those which are not representative in an office design.
Author	Reviewer_1	2	8	8	1	And the sentences are revised to further explain the discard of the seven patterns.
Author	Reviewer_1	2	8	8	1	Please see the revised contents in the updated manuscript below: Revision in Page 5 Line 191-197: “For instance, the patterns “Presence of Water”, “Prospect”, “Refuge”, “Mystery”, and “Risk” (i.e., itemized patterns 5, 11, 12, 13, and 14 in Column B) are recommended because they are proofed that benefits health.
					0	However, these patterns are not common in most offices.
Author	Reviewer_1	2	8	8	1	For instance, in most cases, the employers would not create an office environment that makes the workers feel “Prospect”, “Refuge”, “Mystery”, and “Risk”.” Point 9:
Reviewer_1	Author	1	9	0	2	P4, L180-183: In traditional POE studies and general building science research, daylight, thermal comfort, and air-quality, would be considered as indoor environment parameters (as examples, please see refs.
Reviewer_1	Author	1	9	0	2	in comment #4), while office layout and building form would be considered a physical and architectural parameters.
Reviewer_1	Author	1	9	0	2	Reading further to page 5, lines 189-192, the authors begin to suggest to this, but referred to them and others indoor environmental parameters as factors for the workplace.
					0	I would suggest better rationalizing the connections between the nine design parameters to biophilia to make these more overt.
					0	Response 9:
Author	Reviewer_1	2	9	9	1	We believe that there is no conflict between the different classifications.
Author	Reviewer_1	2	9	9	1	The same parameters (e.g., daylight, thermal comfort, and air-quality, office layout and building form) can be classified in different classifications (i.e., the traditional POE frameworks and the biophilic design frameworks) by different perspectives.
Author	Reviewer_1	2	9	9	1	1) From perspective of building science, building performance, and traditional POE, these parameters (e.g., daylight, thermal comfort, and air-quality) are considered as indoor environment parameters, and office layout and building form are considered a physical and architectural parameters.
Author	Reviewer_1	2	9	9	1	2) On the other hand, from the perspective of biophilia and biophilic design, (e.g., factors workers’ satisfaction and productivity), these parameters are re-classified and defined as the factors affecting workplace health.
Author	Reviewer_1	2	9	9	1	Both classifications validated by previous literatures.
					0	Point 10: Figure 1: The image presenting all the linkages is very interesting and is worth emphasizing, but contains an overwhelming degree of information, and the text and line sizes are too small for readership.
Reviewer_1	Author	1	10	0	2	Please consider simplifying the figure.
					0	For example, some text boxes many do not need further explanation (e.g., presence of water); also, the lines connecting column A to the same patterns in column 4 could be color coordinated.
					0	Response 10:
Author	Reviewer_3	4	3	1	1	Thank you for your comment.
Author	Reviewer_1	2	10	10	1	We revised the Figure 1.
Author	Reviewer_1	2	10	10	1	The connections between 24 Biophilic Design Attributes (Column A) and 14 Patterns of Biophilic Design (Column B); The nine biophilic design attributes for the workplace (Column C).
Author	Reviewer_1	2	10	10	1	First, to simplify the image, we put all the definitions into a new table in the appendix (Appendix A. Definitions of biophilic design attributes and patterns).
Author	Reviewer_1	2	10	10	1	In case that there are some readers are not familiar with the biophilic design attributes or patterns: Revision in Page 4 Line 164: “These two biophilic frameworks are chosen as research references (definitions of the at-tributes and patterns are in Appendix A).” Appendix A in Page 22: “Appendix A. Definitions of biophilic design attributes and patterns” Second, we fill the correlated boxes with same solid colours to make them more recognizable: Revision in Page 6 Line 207: Point 11:
Reviewer_1	Author	1	11	0	2	Table 2: Please consider providing further explanations for this table.
Reviewer_1	Author	1	11	0	2	It was not clear what the authors wanted to show.
					0	Response 11:
Author	Reviewer_1	2	11	11	1	Table 2 made a comparison between the selected nine biophilic design patterns for workplace in this study and the validated eight factors that affect workers’ satisfaction and productivity.
Author	Reviewer_1	2	11	11	1	There are overlaps between the nine biophilic design attributes and these eight influential factors for the workplace.
Author	Reviewer_1	2	11	11	1	These overlapped factors highlight the nine biophilic design attributes that are critical to the office design.
Author	Reviewer_1	2	11	11	1	Hence, the validation of the selection of the nine biophilic attributes are proofed by the previous literature.
Author	Reviewer_1	2	11	11	1	Sentences are added in the paragraph to clarify the demonstration.
Author	Reviewer_1	2	11	11	1	Revision in Page 6 Line 215-220: “Table 2 made a comparison between the selected nine biophilic design attributes for workplace in this study and the validated eight factors that affect workers’ satisfaction and productivity.
					0	There are overlaps between the nine biophilic design attributes and these eight influential factors for the workplace.
Author	Reviewer_1	2	11	11	1	These overlapped factors highlight the nine biophilic design at-tributes that are critical to the office design.
Author	Reviewer_1	2	11	11	1	The validation of the selection of the nine biophilic attributes are proofed by the previous literature [37].” Point 12:
Reviewer_1	Author	1	12	0	2	P8, L245: Please specify why these two offices were of interest (e.g., were they comparable or had specify architectural features worthy of study).
Reviewer_1	Author	1	12	0	2	If possible, please provide more characteristics (e.g., size, floor area, furniture layout (e.g., open-plan or enclosed), etc.) for each office.
Reviewer_1	Author	1	12	0	2	Later (P10, L299), it says 201 questionnaires were collected, with 161 occupants taking part in the Singaporean office.
Reviewer_1	Author	1	12	0	2	This led me to believe that this office was much larger than the building studied in China.
Reviewer_1	Author	1	12	0	2	An image showing the indoor conditions and outdoor façade for each might be beneficial.
Reviewer_1	Author	1	12	0	2	Many of the explanations found in section 3.1 could be moved into this part of the manuscript, since they many describe and show the existing office conditions and to do necessarily form part of the main results.
					0	Response 12:
Author	Reviewer_1	2	12	12	1	1) The reasons why the two offices are selected for investigation: a) the urban contexts are similar: both the cities (Singapore and Shenzhen) are typical compact, high density Asian mega-cities; b) both the offices are open-plan offices.
Author	Reviewer_1	2	12	12	1	Revision in Page 9 Line 277-280: “The two offices have similar features: 1) the urban contexts are similar: both the cities (Singapore and Shenzhen) are typical compact, high density Asian mega-cities; b) both the offices are open-plan offices.” 2) The supplemental Information (i.e., temperature, number of employees) are added in the revised version.
Author	Reviewer_1	2	12	12	1	Revision in Page 9 Table 5: Table 5.
Author	Reviewer_3	2	28	9	1	Basic information of the understudy offices.
Author	Reviewer_1	2	12	12	1	The structure is re-constructed in the revised version.
Author	Reviewer_1	2	12	12	1	The original Section 3.1.
Author	Reviewer_3	2	22	3	1	Observation Results-Biophilic Design Attributes in the Selected Offices is moved to be Section 2.3.2.
Author	Reviewer_3	2	22	3	1	It is because the 2.3.1 is the selection of office, and the Section 2.3.2 provides observation details of the selected offices.
Author	Reviewer_3	2	22	3	1	After re-construction, Section 3.
Author	Reviewer_3	2	22	3	1	Questionnaire Results focus on illustrating the questionnaire results.
					0	Point 13:
Reviewer_1	Author	1	13	0	2	Section 3.3.
Reviewer_1	Author	1	13	0	2	Although I appreciated the thoroughness to which the descriptive statistical was explained, I wasn’t convinced the mean was the best indicator for the data, considering that evaluation scores were collected on a 5-point scale and not a continuous linear one.
Reviewer_1	Author	1	13	0	2	In-lieu of the mean, please consider using the median and inter-quartile range as the central tendency and dispersion indicators.
Reviewer_1	Author	1	13	0	2	Figures 1 and 4 can be removed, as the assumption of normality no longer applies (also on P15, L399-400), or replaced with boxplots.
					0	Response 13: We agree with the comment.
Author	Reviewer_1	2	13	13	1	The means (SD) are only applied when the assumption of normality applies for the datasets.
Author	Reviewer_3	2	22	3	1	Hence, all the means (SD) are replaced as medians (IQR).
Author	Reviewer_3	2	22	3	1	And the corresponding figures (Figure 1 in Page 13 Line 359-361 and Figure 4 in Page 16-17 of the original manuscript) are removed in the revised version.
Author	Reviewer_3	2	22	3	1	Revision in Page 13 Line 381-394: The Cronbach’s α coefficient value of the main scale is 0.72, while those of the subscales GH, NR, and BDE in order are obtained as 0.68, 0.79, and 0.63, indicating that the questionnaire is reliable (i.e., an acceptable reliability: Cronbach's α>0.6) [57, 58] (Table 8).
Author	Reviewer_3	2	22	3	1	According to the quantitative results presented in Table 8, the medians (Interquartile Range, IQR) of the assessment show moderately high opinions toward the health and wellbeing of biophilic offices (HWBO), at 71.00 (8.00) (the score range from min. 20 to max. 100).
Author	Reviewer_3	2	22	3	1	Concerning the self-related evaluation scales GH and NR, the score range of GH and HR are minimum 4 to maximum 20, and the obtained results illustrate moderately high opinions, the values of 15.00 (2.00) and 14.00 (3.00) for GH and NR.
Author	Reviewer_3	2	22	3	1	The median (IQR) value of the POE scale BDE is evaluated as 42.00 (5.00) (range of total value: min. 12 to max. 60). Table 8.
Author	Reviewer_3	2	22	3	1	Medians, Interquartile Range (IQR), Mean, standard deviation, and α coefficient values of workers’ evaluation based on HWBO, GH, NR, and BDE.
Author	Reviewer_1	2	13	13	1	Revision in Page 18-20 Table 9: Table 9.
Author	Reviewer_3	2	22	3	1	Comparison of independent variables (Gender, Age, Educational Levels, Weekly Work Hours, Daily Sedentary Time, Work Desk Locations, Working Years, Office Locations) on self-reported GH, NR, and BDE.
					0	Point 14:
Reviewer_1	Author	1	14	0	2	Table 8: Please consider applying benchmarks for what constitute reasonable levels for internal consistency, when using the Cronbach’s Alpha (e.g., α>0.7): Please see, for example: Taber, 2018.
Reviewer_1	Author	1	14	0	2	The use of Cronbach’s Alpha when developing and reporting research instruments in science education.
Reviewer_1	Author	1	14	0	2	Research in Science Education. Tavakol et al.
Reviewer_1	Author	1	14	0	2	Making sense of Cronbach’s Alpha.
Reviewer_1	Author	1	14	0	2	International Journal of Medical Education.
					0	Response 14: Thank you for your suggestion.
Author	Reviewer_1	2	14	14	1	The Cronbach’s Alpha with an Alpha>0.6 considered acceptable internal consistency in this study.
Author	Reviewer_1	2	14	14	1	The statement and the references are added in the revised version.
Author	Reviewer_1	2	14	14	1	Revision in Page 13 Line 381-383: “The Cronbach’s α coefficient value of the main scale is 0.72, while those of the sub-scales GH, NR, and BDE in order are obtained as 0.68, 0.79, and 0.63, indicating that the questionnaire is reliable (i.e., an acceptable reliability: Cronbach's α>0.6) [57, 58] (Table 8).” Citations are added in the Reference list: Morgan, P. J., Cleave‐Hogg, D., DeSousa, S., Tarshis, J., 2004.
Author	Reviewer_1	2	14	14	1	High‐fidelity patient simulation: validation of performance checklists.
Author	Reviewer_1	2	14	14	1	British Journal of Anesthesia, Volume 92, (3) 388–392. Cronbach, L.J., 1951.
