side	opponent	round	number	attacks	ann	text
					0	Author Response Dear Professor Mok, We appreciate that you give us the possibility to revise our manuscript and we thank the reviewers for their valuable comments.
					0	Based on these comments we herewith respond to all questions raised in a point-by-point manner, as follows: Reviewer 1:
Reviewer_1	Author	1	1	0	2	Based on the cell line RNA and protein data the expression level of MACC1 is highly variable rather than being present or not.
Reviewer_1	Author	1	1	0	2	Is there a similar variability present among the tissue samples?
Reviewer_1	Author	1	1	0	2	Please provide the distribution of the IRS scores of the patient cohort and explain how was IRS 5 chosen as cut off?
					0	Answer:
Author	Reviewer_1	4	1	1	1	We thank the reviewer for this comment.
Author	Reviewer_1	2	1	1	1	As suggested, we analyzed the distribution of IRS (immunoreactivity score) across the cohort.
Author	Reviewer_1	2	1	1	1	In Figure 1 it can be clearly seen that there are two groups forming here, those with 0-4 and those with 6-12 IRS.
Author	Reviewer_1	2	1	1	1	In addition, we calculated the survival probability depending on the IRS (Figure 2).
Author	Reviewer_1	2	1	1	1	Patients with an IRS of 6 or higher have a similar bad prognosis compared to patients with an IRS below 5.
Author	Reviewer_1	2	1	1	1	A better survival correlates with lower MACC1 IRS.
Author	Reviewer_1	2	1	1	1	Patients with an IRS of 0 have the best prognosis.
Author	Reviewer_1	2	1	1	1	Based on these two analyses, the decision for cut-off value of 5 was made.
Author	Reviewer_1	2	1	1	1	Additionally, ROC curve analysis showed, that the IRS value of 5 has the highest Youden Index and is therefore the most suitable cut-off value.
Author	Reviewer_1	4	1	1	1	The IRS cut-off value 5 reaches a sensitivity of 76.6% and a specificity of 64.2% (Youden Index.
Author	Reviewer_1	2	1	1	1	0.408) (Figure 3 and Table 1).
Author	Reviewer_1	2	1	1	1	Looking at MACC1 expression in cell lines and tissue samples, the variability looks similar.
Author	Reviewer_1	2	1	1	1	Nevertheless, it must be considered that the investigation of the homogeneous cell lines is a purely quantitative analysis of the expression by Western plot and RT-PCR.
Author	Reviewer_1	2	1	1	1	The analysis of the tissue samples by immunoreactivity score analyses both the strength of expression and the inhomogeneity of expression.
Author	Reviewer_1	2	1	1	1	Figure 1: Distribution of the IRS across the cohort Figure 2: Overall Survival depending on the IRS Figure 3: ROC Curve for IRS cut-off analysis (AUC 0.716 [0.656 – 0.776]) Table 1: Sensitivity, specificity and Youden Index for different IRS cut-off values.
Reviewer_1	Author	1	2	0	2	The authors argue that MACC1 expression did not significantly influenced cell proliferation in the two cell line models.
