side	opponent	round	number	attacks	ann	text
					0	Author Response We appreciate the efforts of the reviewers for their detailed and insightful comments, which have helped us to improve the quality of our manuscript.
					0	A point-by-point response to the reviewer-1 comments is appended below for your convenience.
					0	Author Response File: Author Response.pdf
					0	Author Response We appreciate the efforts of the reviewers for their detailed and insightful comments, which have helped us to improve the quality of our manuscript.
					0	A point-by-point response to the reviewer-2 comments is appended below for your convenience.
					0	Author Response File: Author Response.pdf
					0	Author Response We appreciate the efforts of the reviewers for their detailed and insightful comments, which have helped us to improve the quality of our manuscript.
					0	A point-by-point response to the reviewer-3 comments is appended below for your convenience.
					0	Author Response File: Author Response.pdf
					0	My comments on this paper are:
Reviewer_1	Author	1	1	0	2	Some FT-IR peaks shift with adsorption of Cr, and some not.
Reviewer_1	Author	1	1	0	2	Please add the discussion which peak shift is related to Cr, the authors can combine these with the discussion of the mechanism.
Reviewer_1	Author	1	2	0	2	The porosity of the sample should be measured.
Reviewer_1	Author	1	3	0	2	It is better to show the SEM images using the same scale.
Reviewer_1	Author	1	3	0	2	The magnified images can be shown separately or as inset.
Reviewer_1	Author	1	4	0	2	In Figure 3, what is the origin of the increase concentration of Al and S?
Reviewer_1	Author	1	5	0	2	In the experiment, H2SO4 is added in the first step, what is the purpose?
Reviewer_1	Author	1	5	0	2	Will this bring pollution problem?
Reviewer_1	Author	1	6	0	2	How about the Cr concentration in the polluted ground water?
Reviewer_1	Author	1	6	0	2	Is the products suitable for this real condition?
					0	Comments to the Author Manuscript Catalysts-1584262 The manuscript entitled ‘Bio-stimulated adsorption of Cr(VI) from aqueous solution by Groundnut Shell Activated [email protected] embedded material’ by Rao et al focuses on the synthesis of bioadsorbent aluminum metal blended with groundnut shell activated carbon material (Al-GNSC) and it practical application for Cr(VI) adsorption from waste aqueous solutions.
					0	Very interesting and well-carried study.
					0	The experimental approach is sound.
					0	The manuscript is well-organized, all the conclusions are supported by the presented data.
					0	The paper mainly presents two key contributions: Synthesis of bioadsorbent and evaluation of its structure using SEM and FT-IR spectroscopy.
					0	Examination of prepared adsorbents for Cr(VI) ions removal.
					0	There are some points which must be edited or clarified by providing additional information or comments:
Reviewer_3	Author	1	1	0	2	The authors should write the complete terms of all abbreviations (including the instruments) before the first use in the abstract and main manuscript i.e.
Reviewer_3	Author	1	1	0	2	FT-IR and SEM in abstract section et al.
Reviewer_3	Author	1	2	0	2	The authors should clearly explain the innovation and importance of their work on the introduction of the manuscript.
Reviewer_3	Author	1	2	0	2	They should justify the value of the work and compare their work with previously similar published papers.
Reviewer_3	Author	1	3	0	2	Fig.
Reviewer_3	Author	1	3	0	2	1 - for a more effective visual comparison, authors recommended to provide SEM images of the same scale.
Reviewer_3	Author	1	3	0	2	In such form is rather difficult to make adequate comparison.
Reviewer_3	Author	1	4	0	2	EDX analysis (Fig 3) - a very conditional (not specific) type of analysis of the chemical composition of the surface.
Reviewer_3	Author	1	4	0	2	Often, spectra with different atomic abundances of elements can be obtained even from the same sample.
Reviewer_3	Author	1	4	0	2	First of all, authors have to attach a EDX mapping images before/after sorption of chromium ions.
Reviewer_3	Author	1	4	0	2	And the authors are strongly recommended to add XPS spectra to this section of revised manuscript.
Reviewer_3	Author	1	4	0	2	The XPS method is much more sensitive and more accurately determines changes in the chemical composition of samples.
Reviewer_3	Author	1	5	0	2	Why authors did not use XRD technique for sample characterization?
Reviewer_3	Author	1	6	0	2	The adsorption capacities of Al-GNSC adsorbents at different contact times have been provided.
Reviewer_3	Author	1	6	0	2	Which kinetics are right?
Reviewer_3	Author	1	6	0	2	Please add missing information about appropriate kinetic model in revised manuscript.
Reviewer_3	Author	1	7	0	2	It is rather difficult to make an adequate comparison of certain properties (catalysts or sorbents) with the already available results, since the concentration of the pollutant and the mass of the loaded sorbent vary in each experiment.
Reviewer_3	Author	1	7	0	2	Therefore, the authors are recommended to add the missing information (i.e.
Reviewer_3	Author	1	7	0	2	conditions for testing sorbents of Cr(VI) ions) to Table 3.
Reviewer_3	Author	1	8	0	2	In order to confirm proposed mechanism of Cr(VI) adsorption (illustrated on the fig 6) Authors should provide data on adsorption capacity of pristine groundnut shell activated carbon (not modified with Al).
Reviewer_3	Author	1	9	0	2	The conclusion section should be elaborated and improved.
Reviewer_3	Author	1	9	0	2	The author should bring specific conclusions in accordance with obtained results.
					0	Our decision on this manuscript – Major revision.
					0	After making all required minor changes in article it could be recommended for publication.
					0	The paper now can be accpeted for publication.
					0	Authors respond for all my queries and in present for this manuscript could be recommended for publication
					0	Page 1 of 2 catalysts Ms. Ref.
					0	No.
					0	: catalysts-1584262 Title: Bio-stimulated adsorption of Cr(VI) from aqueous solution by Groundnut Shell Activated Carbon@Al embedded material Response to Reviewer-1 Comments We appreciate the efforts of the reviewers for their detailed and insightful comments, which have helped us to improve the quality of our manuscript.
					0	A point-by-point response to the reviewer-1 comments is appended below for your convenience.
					0	Comment 1: Some FT-IR peaks shift with adsorption of Cr, and some not.
					0	Please add the discussion which peak shift is related to Cr, the authors can combine these with the discussion of the mechanism.
					0	Response:
Author	Reviewer_3	2	20	10	1	We acknowledge the reviewer’s opinion.
Author	Reviewer_1	2	1	1	1	According to the reviewer suggestion, FT-IR peaks shift related to chromium ion adsorption are discussed in the mechanism section and is incorporated in the revised manuscript.
Author	Reviewer_3	2	19	9	1	Thank you for your valuable suggestion.
					0	Comment 2: The porosity of the sample should be measured.
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_2	2	10	4	1	However, we regret that we were not able to investigate the BET analysis due to pandemic situation, which could definitely give us additional information.
Author	Reviewer_3	2	14	4	1	We hope the reviewer understand the experimental deficiencies at the stage of the present experiments.
Author	Reviewer_3	2	14	4	1	We deeply appreciate the comment raised by the reviewer.
Author	Reviewer_3	2	14	4	1	Thank you very much.
					0	Comment 3: It is better to show the SEM images using the same scale.
					0	The magnified images can be shown separately or as inset.
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_3	2	13	3	1	According to the reviewer suggestion, the SEM images with same scale are provided in the revised manuscript.
					0	Thank you for your valuable suggestion.
					0	Comment 4: In Figure 3, what is the origin of the increase concentration of Al and S?
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_1	2	4	4	1	EDX analysis (In Figure 3) – is a conditional type of analysis of the chemical composition of the surface.
Author	Reviewer_1	2	4	4	1	In EDX, often, spectra with different atomic abundances of elements can be obtained even from the same sample.
					0	Thank you for your valuable suggestion.
					0	Page 2 of 2 Comment 5: In the experiment, H2SO4 is added in the first step, what is the purpose?
					0	Will this bring pollution problem?
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_1	2	5	5	1	The sulphuric acid disintegrated the leaves.
Author	Reviewer_1	2	5	5	1	Most of the substances in the leaves are reduced to carbon after two hours.
Author	Reviewer_1	2	5	5	1	Charring takes place by adding sulphuric acid and by the action of heat, charring removes hydrogen and oxygen from the solid, so that the remaining char is composed primarily of carbon.
Author	Reviewer_1	2	5	5	1	It also helps to remove the moist content in the leaves.
Author	Reviewer_1	2	5	5	1	The pollution problem may not be takes place.
					0	Thank you for your valuable suggestion.
					0	Comment 6: How about the Cr concentration in the polluted ground water?
					0	Is the products suitable for this real condition?
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_1	2	6	6	1	Chromium is a potentially toxic metal occurring in water and groundwater as a result of natural and anthropogenic sources.
Author	Reviewer_1	2	6	6	1	The prepared adsorbent is well suitable in the real condition.
Author	Reviewer_1	2	6	6	1	Since the prepared adsorbent (Al-GNSC) is successfully reduces the chromium (VI) ion form the real groundwater samples.
					0	Thank you for your valuable suggestion.
					0	The authors are very thankful to the Reviewer for their valuable suggestions for the improvement of the manuscript.
					0	All the modifications are shown in yellow color in the revised manuscript.
					0	With regards Ravindranadh Koutavarapu, Ph.D.
					0	Page 1 of 2 catalysts Ms. Ref.
					0	No.
					0	: catalysts-1584262 Title: Bio-stimulated adsorption of Cr(VI) from aqueous solution by Groundnut Shell Activated Carbon@Al embedded material Response to Reviewer-2 Comments We appreciate the efforts of the reviewers for their detailed and insightful comments, which have helped us to improve the quality of our manuscript.
					0	A point-by-point response to the reviewer-2 comments is appended below for your convenience.
					0	Comment 1:
Reviewer_2	Author	1	1	0	2	The issue of regeneration has not been sufficiently worked out, but the authors themselves write about this, and it is not clear why NaOH was used for this.
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_2	2	7	1	1	Based on the reviewer suggestion, regeneration studies were performed briefly.
Author	Reviewer_2	2	7	1	1	Four different desorption agents such as tap water, 0.1M HCl, 0.1M H2SO4 and 0.1M NaOH were utilized to remove the adsorbed chromium ions from the Al-GNSC adsorbent.
Author	Reviewer_2	2	7	1	1	From this various desorption agents it was identified that 0.1M NaOH was more effective.
Author	Reviewer_2	2	7	1	1	Hence, the reuse of Al-GNSC from Cr(VI)-loaded material was studied for sorption and desorption cycles using sodium hydroxide as a regenerated agent.
					0	Thank you for your valuable suggestion.
Author	Reviewer_2	2	7	1	1	Relevant references are quoted in the revised manuscript.
Author	Reviewer_2	2	7	1	1	Reference: Sujitha Ravulapalli and Ravindhranath Kunta reported that sodium hydroxide was used as a regenerating agent for the sorption and desorption of Cr(VI) by activated carbon derived from Lantana camara plant.
Author	Reviewer_2	2	7	1	1	[Enhanced removal of chromium (VI) from wastewater using active carbon derived from Lantana camara plant as adsorbent.
Author	Reviewer_2	2	7	1	1	Water Sci Technol (2018) 78 (6): 1377–1389.
Author	Reviewer_2	2	7	1	1	https://doi.org/10.2166/wst.2018.413] Reference: M.A.
Author	Reviewer_2	2	7	1	1	Tandal and B.N.OZA.
Author	Reviewer_2	2	7	1	1	reported that Sodium hydroxide as a regenerating agent for the sorption and desorption of Cr(VI) by Granular activated carbon.
Author	Reviewer_2	2	7	1	1	[Adsorption and regeneration studies for the removal of Chromium (VI) from the waste water of electroplating industry using Granular activated carbon.
Author	Reviewer_2	2	7	1	1	Asian Journal of chemistry.
Author	Reviewer_2	2	7	1	1	Vol.
Author	Reviewer_2	2	7	1	1	17, No.4 (2005), 2524-2530] Page 2 of 2 Comment 2:
Reviewer_2	Author	1	2	0	2	It was also not clear to me how much hydrochloric acid was eventually added during the preparation of the adsorbent.
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_2	2	8	2	1	For the preparation of 1kg of Al-GNSC adsorbent, approximately 150 to 200 mL of hydrochloric acid was added in order to blend the aluminum in to the ground nut shell carbon.
Author	Reviewer_2	2	8	2	1	Thank you for your valuable comment.
					0	Comment 3:
Reviewer_2	Author	1	3	0	2	The authors did not indicate how the “separation factor ‘RL’ is calculated and did not give a link to the equation for its calculation, and if the readers are not quite in the subject, then what kind of factor they do not understand.
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_2	2	9	3	1	According to the reviewer suggestion, the expression of separation factor is mentioned in the revised manuscript.
Author	Reviewer_2	2	9	3	1	𝑅𝐿= 1 1+𝑏𝐶𝑖, where “Ci” is the initial concentration of Cr(VI) and “b” is the Langmuir constant.
					0	Thank you for your valuable comment.
					0	Comment 4:
Reviewer_2	Author	1	4	0	2	One could also estimate the specific surface area and porosity.
Reviewer_2	Author	1	4	0	2	So, the paper can be published after revision.
					0	Response: We acknowledge the reviewer’s opinion.
					0	We acknowledge the reviewer’s opinion.
					0	However, we regret that we were not able to investigate the BET analysis due to pandemic situation, which could definitely give us additional information.
					0	We hope the reviewer understand the experimental deficiencies at the stage of the present experiments.
					0	We deeply appreciate the comment raised by the reviewer.
					0	Thank you very much.
					0	The authors are very thankful to the Reviewer for their valuable suggestions for the improvement of the manuscript.
					0	All the modifications are shown in yellow color in the revised manuscript.
					0	With regards Ravindranadh Koutavarapu, Ph.D.
					0	Page 1 of 4 catalysts Ms. Ref.
					0	No.
					0	: catalysts-1584262 Title: Bio-stimulated adsorption of Cr(VI) from aqueous solution by Groundnut Shell Activated Carbon@Al embedded material Response to Reviewer-3 Comments We appreciate the efforts of the reviewers for their detailed and insightful comments, which have helped us to improve the quality of our manuscript.
					0	A point-by-point response to the reviewer-3 comments is appended below for your convenience.
					0	The manuscript entitled ‘Bio-stimulated adsorption of Cr(VI) from aqueous solution by Groundnut Shell Activated Carbon@Al embedded material’ by Rao et al focuses on the synthesis of bioadsorbent aluminum metal blended with groundnut shell activated carbon material (Al- GNSC) and it practical application for Cr(VI) adsorption from waste aqueous solutions.
					0	Very interesting and well-carried study.
					0	The experimental approach is sound.
					0	The manuscript is well- organized, all the conclusions are supported by the presented data.
					0	The paper mainly presents two key contributions: 1.
					0	Synthesis of bioadsorbent and evaluation of its structure using SEM and FT-IR spectroscopy.
					0	2.
					0	Examination of prepared adsorbents for Cr(VI) ions removal.
					0	There are some points which must be edited or clarified by providing additional information or comments: Comment 1: The authors should write the complete terms of all abbreviations (including the instruments) before the first use in the abstract and main manuscript i.e.
					0	FT-IR and SEM in abstract section et al.
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_3	2	11	1	1	According to the reviewer suggestion, the complete terms of all abbreviations are mentioned before the first use in the revised manuscript.
					0	Thank you for your valuable suggestion.
					0	Comment 2: The authors should clearly explain the innovation and importance of their work on the introduction of the manuscript.
					0	They should justify the value of the work and compare their work with previously similar published papers.
					0	Response: We acknowledge the reviewer’s opinion.
Author	Reviewer_3	2	12	2	1	As suggested, the novelty of the research work is explained in the introduction part of the revised manuscript, and the Page 2 of 4 obtained results are compared with the recent literature.
					0	Thank you for your valuable suggestion.
					0	Comment 3: Fig.
					0	1 - for a more effective visual comparison, authors recommended to provide SEM images of the same scale.
					0	In such form is rather difficult to make adequate comparison.
					0	Response: We acknowledge the reviewer’s opinion.
					0	According to the reviewer suggestion, the SEM images with same scale are provided in the revised manuscript.
