side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment Author Response File: Author Response.pdf
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.pdf
					0	In this manuscript, the Authors examined the efficacy of the liposome preparations to neutralise the exotoxins like SLO and SLS present in the bacterial culture medium.
					0	I have the following comments.
Reviewer_1	Author	1	1	0	2	The authors used the term liposome nanotraps.
Reviewer_1	Author	1	1	0	2	The authors have used conventional liposome preparations.
Reviewer_1	Author	1	1	0	2	It is not clear why they are calling the preparations as the nanotraps.
Reviewer_1	Author	1	2	0	2	The authors have used bacterial culture supernatants to examine the cytotoxic effect on the THP-1, Jurkat, and Raji cell lines.
Reviewer_1	Author	1	2	0	2	Quantitation fo the the culture medium is required (by measuring the total protein content, or by providing some quantitative indicator).
Reviewer_1	Author	1	2	0	2	Volume of the culture supernatant is mentioned in the results.
Reviewer_1	Author	1	2	0	2	It is not quantitative, and will vary from batch to bath of the bacterial culture.
Reviewer_1	Author	1	3	0	2	LDH-release assay of cytotoxicity or MTT assay of cell viability should have been used for measuring the cell death.
Reviewer_1	Author	1	4	0	2	It is well-known that SLO binds to the cholesterol-containing lipid bilayer.
Reviewer_1	Author	1	4	0	2	Therefore, it is obvious that the cholesterol-containing liposomes would neutralise SLO present in the bacterial culture.
Reviewer_1	Author	1	4	0	2	Therefore, no new information is provided with these experiments.
Reviewer_1	Author	1	5	0	2	It appears that the cholesterol-containing liposomes provide partial protection against the GGS supernatant.
Reviewer_1	Author	1	5	0	2	This is an interesting observation.
Reviewer_1	Author	1	5	0	2	However, authors did not make any attempt to explore this aspect in mechanistic detail.
Reviewer_1	Author	1	6	0	2	In my opinion, differential inhibition of the SLS activity in GGS supernatant by the liposome preparations is interesting, and may provide new insights, if explored in more detail.
					0	As clearly described by the authors in the introduction, liposomal nanotraps can neutralize exotoxins produced by various pathogens by becoming targets of these exotoxins initially directed at host immune cells.
					0	The paper by Besançon et al.
					0	analyzes whether a mixture of cholesterol-containing liposomes (Ch:Sm-liposomes) with phosphatidylcholine liposomes (PC-liposomes) is protective against the combined action of SLO and SLS streptococcal exotoxins.
					0	To this end, they design a series of experiments in which they confront different monocytc and lymphoid cell lines to cytolysins in the absence and presence of the decoy liposomes.
					0	The title and abstract are appropriate for the content of the text.
					0	The article is well constructed and the experiments were well conducted although cell survival experiments should be more detailed especially in terms of the results shown.
					0	I miss a concluding paragraph to replace some of the last paragraphs of the discussion, most of which are redundant with the information provided in the introduction.
					0	Specific comments/questions
Reviewer_2	Author	1	1	0	2	Although the sensitivity of immune cells to GAS or GGS supernatants is shown in the first section of the results, were any controls used in the neutralization assays with liposomes?
