side	opponent	round	number	attacks	ann	text
					0	Author Response Honored reviewers, Thank you for your contribution to reviewing work.
					0	This is the list of corrections of our manuscript entitled ‘Study on the Antioxidant Properties Enhancement of Rice Bran by Mixed Bacteria Solid-state Fermentation (No.
					0	1703121)’ for publication in the Fermentation.
					0	For your suggestion we have dealt with the comments as follows: Comments to the Author The article is a fair enough approach,
Reviewer_1	Author	1	1	0	2	please include a more specific section about the statistical methods.
Reviewer_1	Author	1	2	0	2	English language should be improved.
					0	Response:
Author	Reviewer_3	2	24	2	1	Thanks for your comment.
Author	Reviewer_1	2	1	1	1	We have taken your advice and changed statistical methods in the manuscript.
Author	Reviewer_2	2	3	1	1	We have improved English language.
					0	Author Response Honored reviewers, Thank you for your contribution to reviewing work.
					0	This is the list of corrections of our manuscript entitled ‘Study on the Antioxidant Properties Enhancement of Rice Bran by Mixed Bacteria Solid-state Fermentation (No.
					0	1703121)’ for publication in the Fermentation.
					0	For your suggestion we have dealt with the comments as follows: Comments to the Author
Reviewer_2	Author	1	1	0	2	Sometimes the document is different to follow due to English issues.
Reviewer_2	Author	1	1	0	2	"Examples: Page 1, Lines 9-11: ""In order to enhancement the antioxidant properties of rice bran, solid state fermentation of rice bran with mixed bacteria was adopted and optimized fermentation technology."
Reviewer_2	Author	1	1	0	2	"""; Page 4, Lines 141-143: “In the morning (on set light), breeding 9 fishes interbreed 1h, embryos were obtained from natural spawning collection of embryos were completes in petri Dishes; Page 4, Lines 153-155: “AAPH group only added AAPH."
Reviewer_2	Author	1	1	0	2	Four experimental groups were added AAPH and 0.1, 0.2, 0.3, 0.4 mg/ mL sample, respectively.”; Page 5, Lines 188-190: “The optimum sodium humate content was found to be 1.0 %, which DPPH free radical scavenging rate of 81.22%.”; Page 6, Lines 218-219: “The significantly less polysaccharide content of FRBE than that of RBE (P＜05).”; Page 8, Lines 241-242: “Schmidt et al.
Reviewer_2	Author	1	1	0	2	(2014) also found that ferulic acid content of rice bran water-soluble extracts significant improvements, up to 765 mg/g [16].”; Page 10, Lines 321-323: “At the concentration of 0.3 mg/mL and 0.4 mg/mL, CAT activity induced by AAPH of FRBE group significantly higher than that of AAPH and RBE.”.
					0	Response: Thanks for your comment.
					0	We have improved English language.
Reviewer_2	Author	1	2	0	2	Explain what FRBE is.
Reviewer_2	Author	1	2	0	2	It appears for the first time on Page 1, Line 17; Response: Thanks for your comment.
Author	Reviewer_2	2	4	2	1	FRBE is water-soluble fermented rice bran extracts.
Reviewer_2	Author	1	3	0	2	The hot water extraction conditions were tested before?
					0	Response: Thanks for your comment.
Author	Reviewer_2	2	5	3	1	The hot water extraction conditions was adopt according to previous methods (Dong et al., 2021).
Author	Reviewer_2	2	5	3	1	Dong, C.L.
Author	Reviewer_2	2	5	3	1	; Liu, N.; Wang, Y.; Song, M.; Wang, R.F.
Author	Reviewer_2	2	5	3	1	; Yang, Y.P.
Author	Reviewer_2	2	5	3	1	; An, X.P.
Author	Reviewer_2	2	5	3	1	; Qi, J.W.
Author	Reviewer_2	2	5	3	1	Study on Antioxidant Activity of Fermented Rice Bran Water Extract.
Author	Reviewer_2	2	5	3	1	Feed Industry 2021, 42(24), 8-13.
Author	Reviewer_2	2	5	3	1	DOI:10.13302/j.cnki.fi.2021.24.002.
Reviewer_2	Author	1	4	0	2	What do the authors mean by 24hpf (Page 4, Line 148)?
					0	Response: Thanks for your comment.
Author	Reviewer_2	2	6	4	1	24hpf means 24 hours post fertilization.
Reviewer_2	Author	1	5	0	2	Explain what AO solution is.
Reviewer_2	Author	1	5	0	2	It appears on Page 4, Line 162; Response: Thanks for your comment.
Author	Reviewer_2	2	7	5	1	AO solution is acridine orange.
Reviewer_2	Author	1	6	0	2	Explain the role of sodium humate.
					0	Response: Thanks for your comment.
Author	Reviewer_2	2	8	6	1	Humates added to feed stimulate the microbial growth(Huck et al., 1991).
Author	Reviewer_2	2	8	6	1	Sodium humate added to fermentation substrate improved the growth of bacteria (Liu et al., 2014, Shi et al., 2016).
Author	Reviewer_2	2	8	6	1	The role of sodium humate is fermentation synergist.
					0	Huck, T.A., N. Porter and M.E.
					0	Bushell, 1991.
					0	Effect of humates on microbial activity.
					0	Gen. Microbiol.
					0	137: 2321-2329.
