side	opponent	round	number	attacks	ann	text
					0	Author Response Point 1: The aim of this work is to prepare emulsion gels based on whey protein isolate and gelatin by two different methods: an enzymatic and a physical method.
					0	The obtained emulsion gels are well characterized in terms of their structure and rheological and mechanical properties.
					0	Droplet size and gelatin concentration are the factors that most affect the structure and texture of emulsion gels.
					0	The results of this study are important for structuring emulsion gels and adjusting the texture of food products.
					0	The manuscript is presented in a well-structured manner.
					0	The references cited are relevant and current, mostly published within the last three years.
					0	The results of the manuscript are reproducible using the information in the methods section, but some minor explanations are missing.
					0	Response 1: It is our great pleasure to get your positive comments.
					0	Thanks very much for your responsible and efficient work in the process of our manuscript.
					0	Point 2:
Reviewer_1	Author	1	1	0	2	What equipment was used for the texture profile analysis?
					0	Response 2:
Author	Reviewer_1	2	1	1	1	Thanks for your suggestion.
Author	Reviewer_1	2	1	1	1	In this study, texture profile analysis was investigated by a Texture Analyzer (TA.XT PLUS/50, STABLEMICVO, UK) using a P/0.5R cylindrical probe, and corresponding description has been added to the manuscript in Line 526 marked in red font.
					0	Point 3:
Reviewer_1	Author	1	2	0	2	Describe the emulsion blank gel.
					0	Response 3:
Author	Reviewer_2	2	19	16	1	Thanks for your comment.
Author	Reviewer_1	2	2	2	1	The gel without the emulsion was taken as the emulsion blank gel, which was the gel formed only by gel continuous phase.
					0	Point 4:
Reviewer_1	Author	1	3	0	2	"What does the term ""wet gel"" mean?"
					0	Response 4:
Author	Reviewer_2	2	18	15	1	Thanks for your question.
Author	Reviewer_1	2	3	3	1	Wet gel were the emulsion gels we obtained, which had a three-dimensional network structure that can hold a large amount of water.
Author	Reviewer_1	2	3	3	1	The corresponding Line 570 in the manuscript has been revised to a more accurate expression, emulsion gels.
Author	Reviewer_1	2	3	3	1	Thanks again for your careful review.
					0	Author Response Point 1: This article compares the production of emulsion gels by two different methods, namely heat-and TGase- induced emulsion gels.
					0	The article is very well written and only requires few minor changes.
					0	One main request would be to make it clearer what was the formulations and conditions tested.
					0	Response 1: It is our great pleasure to get your professional comments.
					0	Thanks very much for your contribution to our manuscript.
					0	We take the concerns seriously and comments have been carefully addressed.
					0	Point 2:
Reviewer_2	Author	1	1	0	2	Line 60: define WPI at first use.
					0	Response 2:
Author	Reviewer_2	2	4	1	1	Thanks for carefully checking.
Author	Reviewer_2	2	4	1	1	Whey protein isolate (WPI) has been added in Line 60-61 in the manuscript.
					0	Point 3:
Reviewer_2	Author	1	2	0	2	Line 84-88: This is a summary of what was carried out and not a discussion, please remove.
					0	Response 3:
Author	Reviewer_2	2	5	2	1	Thanks for your constructive comment.
