side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment Author Response File: Author Response.docx
					0	Author Response Please see the attachment Author Response File: Author Response.docx
					0	Ren et al.'s study focus on the characterization of IbmiR319 based on its effect on plant architecture and drought response.
					0	While congratulating the authors on this interesting study, I have the following comments.
					0	Major comments
Reviewer_1	Author	1	1	0	2	The authors look at the expression of IbTCP11/17 (targets of miR319) from lines 418-424.
Reviewer_1	Author	1	1	0	2	Here authors capture the early response to PEG compared to the drought response (water withdrawal) assessed earlier.
Reviewer_1	Author	1	1	0	2	To have a meaningful comparison, the authors need to show the expression level of these two genes in the drought assay (Lines 400-417).
Reviewer_1	Author	1	1	0	2	As the authors briefly mentioned, PEG stress is more severe than water withdrawal, so it will not give a solid verification provided there are two variables, inducer, and timing.
Reviewer_1	Author	1	1	0	2	In our experience, we observed completely different responses when we tried to compare PEG, air drying, and water withdrawal.
Reviewer_1	Author	1	1	0	2	This is essential given that no temporal expression baseline is established for IbTCP11/17 under water withdrawal stress and the presence of other regulatory mechanisms of IbTCP11/17.
Reviewer_1	Author	1	2	0	2	It is interesting to see that only MDA content increases in response to drought.
Reviewer_1	Author	1	2	0	2	The possible mechanism/reason should be included in the discussion.
Reviewer_1	Author	1	3	0	2	The discussion needs to be further expanded.
Reviewer_1	Author	1	3	0	2	Esp.
Reviewer_1	Author	1	3	0	2	RNA-Seq results need to be further discussed.
Reviewer_1	Author	1	4	0	2	There should be a summary (concluding statement at the end).
Reviewer_1	Author	1	4	0	2	This manuscript ends very abruptly.
					0	Minor Comments Please see the attached file.
					0	Comments for author File: Comments.pdf
					0	The manuscript is well written and the presented evidence supports the conclusions being made.
					0	There are some small edits that need addressing for clarity.
Reviewer_2	Author	1	1	0	2	"Pg 1 line 45: the wording ""and so on"" is awkward and imprecise."
Reviewer_2	Author	1	1	0	2	Please rephrase and indicate what other processes are being referred to.
Reviewer_2	Author	1	2	0	2	Pg 2 line 67: don't assume that everyone reading the manuscript are aware of miRNA roles in plant stress physiology.
Reviewer_2	Author	1	3	0	2	Pg 3 Plasmid and sweet potato genetic transformation section: Include relevant protocols instead of just referring to another manuscript.
Reviewer_2	Author	1	3	0	2	Citing the original source is required but so are details needed to reproduce and evaluate the soundness of the manuscript.
					0	The same applies to other parts of the materials and methods:
Reviewer_2	Author	1	4	0	2	Pg 6 line 239: I don't understand the point being made here.
Reviewer_2	Author	1	4	0	2	"""sequester the normal expression"" is nonsensical."
Reviewer_2	Author	1	4	0	2	Please clarify and rephrase.
Reviewer_1	Author	3	1	0	2	The authors addressed some of the suggestions made.
Reviewer_1	Author	3	1	0	2	However, Comments #1 (gene expression assay) and #3 (proper discussion on RNA-Seq data) aren't properly addressed.
					0	Genes 2022, 13, x. https://doi.org/10.3390/xxxxx www.mdpi.com/journal/genes Article 1 Blocking IbmiR319 impacts plant architecture and reduces 2 drought tolerance in sweet potato 3 Lei Ren 1, 2, #, Tingting Zhang 1, 2, #, Haixia Wu 1, 2, Xinyu Ge 1, 2, Huihui Wan 1, 2, Shengyong Chen 4, Zongyun Li 1, 2 *, 4 Daifu Ma 3 *, Aimin Wang 1, 2 * 5 1 Institute of Integrative Plant Biology, School of Life Science, Jiangsu Normal University, Xuzhou 221116, 6 Jiangsu Province, People’s Republic of China 7 2 Jiangsu Key Laboratory of Phylogenomics & Comparative Genomics, School of Life Science, Jiangsu Nor- 8 mal University, Xuzhou 221116, Jiangsu Province, People’s Republic of China 9 3 Xuzhou Institute of Agricultural Sciences in Jiangsu Xuhuai District, Key Laboratory for Biology and Ge- 10 netic Breeding of Sweetpotato (Xuzhou), Ministry of Agriculture/Jiangsu Xuzhou Sweetpotato Research 11 Center, 221131, People's Republic of China 12 4 Zhanjiang Academy of Agricultural Sciences, Zhanjiang Guangdong 524094, People's Republic of China 13 # These authors contributed equally to this paper 14 * Correspondence: aiminwang@jsnu.edu.cn (A.W.), daifuma@163.com (D.M.), zongyunli@jsnu.edu.cn (Z.L.); 15 Tel.: +86 516 83400033 (A.W.), +86 516 82189200 (D.M.), +86 516 83400033 (Z.L.)
					0	16 Abstract: MicroRNA319 (miR319) plays a key role in plant growth, development, and multiple re- 17 sistance by repressing the expression of targeted TEOSINTE BRANCHED/CYCLOIDEA/PCF (TCP) 18 genes.
