side	opponent	round	number	attacks	ann	text
					0	Author Response Thank you for your detailed review.
					0	We tried to improve the figures at best- attached is a detailed reply to reviews.
					0	Author Response Thank you for your detailed review.
					0	We tried to improve the figures at best- attached is a detailed reply to reviews.
					0	Author Response The authors would like to thank you the reviewer 2 for this second round of reviews.
					0	All comment avec been considerate: figures 1,4,7,8, 9 have been
Author	Reviewer_2	2	48	36	1	modified
					0	, an helium supplementary file have been added and the seismic supplementary file has been updated with the addition of the isochores.
					0	The replies to detailed comments are in purples, directly below each comment Frery et al.
					0	: Fault related fluid flow implications for unconventional hydrocarbon development, Beetaloo Sub-basin (Northern Territory, Australia) The reviewer's comments have largely been addressed by the authors.
					0	However, there are still a couple of minor issues.
Reviewer_2	Author	3	1	0	2	With respect to the helium measurements, the references to the primary documentation requested by the reviewer in comments to v.1 of the manuscript are not provided, nor do the authors provide any comment as to why they deem this unnecessary.
Reviewer_2	Author	3	1	0	2	Section 4.3 Helium concentrations and isotopic composition measured in groundwater, is framed around results from previous studies.
Reviewer_2	Author	3	1	0	2	Providing references to these original studies (including access to the actual data that allow objective verification) rather than referencing to summary papers would be more in line with scientific publishing practice.
Reviewer_2	Author	3	1	0	2	If the primary documentation is not accessible, the authors should state this clearly.
Author	Reviewer_2	4	1	1	1	The helium measurements have been added as supplementary data and the author made a clear difference between this study Helium measurements and other tracer studies we are citing.
Reviewer_2	Author	3	2	0	2	Figure 4. Seismic reflection data quality is ranked and colour-coded as “Excellent”, “Average” and “Poor”.
Reviewer_2	Author	3	2	0	2	Where does the fourth category, “Fair”, which also is a qualitative category, fit in, and why not include this category in the legend?
Author	Reviewer_2	4	2	2	1	Done, thank you
Reviewer_2	Author	3	3	0	2	Figure 5. Isochron maps have been included in the supplementary material, the initial review suggested isoCHORE maps.
Reviewer_2	Author	3	3	0	2	Including these is maybe not critical, but as mentioned in the initial review, thickness maps sometimes highlight structural lineaments quite well.
Reviewer_2	Author	3	3	0	2	I don't know if this is the case here, but if they do, including isochore maps would enhance the readers' understanding of basin geometry and -infill.
Author	Reviewer_2	4	3	3	1	The isochores have been added in the seismic supplementary dataset
Reviewer_2	Author	3	4	0	2	Figure 7. Although the design of the figure is very much improved compared to the one submitted initially, it is still difficult differentiate between the Post Wilton “Strike-slip” and “Reverse” faults.
Reviewer_2	Author	3	4	0	2	Please use contrasting colours to differentiate them.
Reviewer_2	Author	3	5	0	2	If I understand the map correctly, fluid escape features on the map are shown as red dots.
Reviewer_2	Author	3	5	0	2	Why does the legend show these as thick red lines?
Author	Reviewer_2	4	5	5	1	Post Wilton “Strike-slip” and “Reverse” faults have been redrawn in all figures (Figure 1, 7, 9) with a new colour code, the fluid escape features are now shown as red dots in the legend as well.
Reviewer_2	Author	3	6	0	2	Figure 8. Please keep the number of measurements included in each plot.
Reviewer_2	Author	3	6	0	2	The plot “Surface drainage network from this study” is identical to the original figure and should have n=130 measurements.
Reviewer_2	Author	3	6	0	2	According to the new caption shows the unfiltered surface drainage network.
Reviewer_2	Author	3	6	0	2	To my understanding this should correspond to Figure 2 a, which shows substantially more than 130 lineaments.
Reviewer_2	Author	3	6	0	2	How did you pick the ones you measured?
Reviewer_2	Author	3	6	0	2	Please clarify.
Author	Reviewer_2	4	6	6	1	Number of measurements added in each plot.
Author	Reviewer_2	4	6	6	1	Figure 2a correspond to the SEEBASE structural lineaments (n=681).
					0	General comment.
					0	The authors present an interesting case study integrating geophysical, geological and hydrochemical data to map potential pathways for water and gases across complex sedimentary formations in the Northern Territories, in Australia.
					0	The approach used by the authors is innovative and allows to elaborate several hypotheses regarding the occurrence and movement of both paleo and more recent fluids.
					0	Results appear to be sound and supported by the illustrations.
					0	Figures, however, need to be significantly improved for the final manuscript (see detailed comments below).
					0	Overall, the implications of this study are important not only for industrial purposes (reservoir exploration and operation) but also for our basic understanding of subsurface flow processes over geological timescales.
					0	This study should therefore gather significant interest and is worthy of a prompt publication.
					0	Figures.
Reviewer_1	Author	1	1	0	2	Figure 1: Are colors in Figure 1 A related to the hydrostratigraphy or depicting topography?
Reviewer_1	Author	1	1	0	2	If the latter applies, make sure to provide a scale.
Reviewer_1	Author	1	2	0	2	Figure 2: The left spine (or border) does not appear on the pdf reviewed.
Reviewer_1	Author	1	2	0	2	This figure could be improved by adding shaded satellite image to help the reader compare the mapped drainage systems (which were automatically mapped) and fault traces/lineaments with the real features observed.
Reviewer_1	Author	1	3	0	2	Figure 3: The text (lines 258-259) mentions magnetic lineaments as prominent features, which can be caused by faulting.
Reviewer_1	Author	1	3	0	2	Such features are hard to visualize.
Reviewer_1	Author	1	3	0	2	It would certainly help if they were highlighted directly on the figure.
Reviewer_1	Author	1	4	0	2	Figure 4: This figure could go in the appendix.
Reviewer_1	Author	1	4	0	2	It is good to let the reader know that not all seismic surveys provided the same quality, but this is more a technical point.
Reviewer_1	Author	1	5	0	2	Figure 6: Put the title of each subfigure above the plot.
Reviewer_1	Author	1	5	0	2	It doesn’t read well otherwise.
Reviewer_1	Author	1	6	0	2	Figure 7: What is special about the locations highlighted by the markers (crosses on Figure 7B and square markers on Figure 7C).
Reviewer_1	Author	1	6	0	2	At this scale, the reader can’t see much detail.
Reviewer_1	Author	1	7	0	2	Figure 9: Remove ‘s’ from <10 yearss.
Reviewer_1	Author	1	7	0	2	Also, increase the thickness of the fault lines to make them more obvious.
					0	Text.
Reviewer_1	Author	1	8	0	2	Lines 271-272: Why is the signal quality so variable, and how were the categories (excellent, average and poor) defined?
Reviewer_1	Author	1	9	0	2	Lines 323-324: The authors should explain why low magnitude local seismic signals can be believed to represent permeable pathways promoting water or gas migration.
Reviewer_1	Author	1	10	0	2	Lines 339-357/Section 4.3: The map shown on Figure 9 that provides the location where groundwater and springs were sampled could be referred to.
Reviewer_1	Author	1	11	0	2	Line 360: Here and throughout the text, the word ‘recent’ is used to describe some tectonic activity.
Reviewer_1	Author	1	11	0	2	It would be good define what recent means in the context of this study.
Reviewer_1	Author	1	11	0	2	An indication is provided in the Discussion (Line 414), but it would go to state this value upfront in the text.
Reviewer_1	Author	1	12	0	2	Discussion: One general comment, could the use of other tracers (radon, of stable isotopes of water) yield also insight on the origin of the fluids sampled in this study?
					0	Comments for author File: Comments.pdf
					0	Review Frery et al.
					0	: Fault related fluid flow implications for unconventional hydrocarbon development, Beetaloo Sub-basin (Northern Territory, Australia) Summary of content: The study investigates potential connections between unconventional petroleum plays and water assets in the Beetaloo Sub-basin in the Northern Territory, Australia.
					0	Magnetic data and 2D seismic reflection profiles were used to image structural features, and fluid/gas leakage pathways.
					0	Helium content of the aquifer systems was sampled and measured.
					0	Recent fault activity was identified using a combination of sub-surface imaging and comparison of fault orientations and surface drainage networks.
					0	The study concludes that there the shallow aquifers are connected to deep-seated gas source along faults, some of which show evidence of recent movement.
					0	Helium isotope data do not provide an unequivocal answer to whether the gas originates from the unconventional plays or a deeper source.
					0	Although the authors point out that more data is needed to identify the source of the gas, the observations made in this study confirm the presence of fault-controlled fluid flow pathways connecting the stratigraphic levels where the unconventional plays are located with shallower aquifers the Beetaloo basin.
					0	Review summary Scientific aims clearly stated.
					0	The text is well organized and well written.
					0	Methods are sound and clearly described, There are some shortcomings in documentation and presentation of results, which weaken the link between observations and conclusion.
					0	Development of the petroleum resources in this region is controversial and faces opposition from Traditional Owners as well as climate scientists, and environmentalists.
					0	One of the key issues in the Beetaloo Sub-basin, the risk of groundwater contamination from fracking-based production of the unconventional plays.
					0	The present paper is thus part of an ongoing debate and the findings presented here are likely to influence discussions and decisions by stakeholders.
					0	This fact stresses the need for clarity when presenting data and results.
					0	Improving the design of the figures and adding links/references to primary data sources would go a long way towards addressing this.
					0	Conclusions appear supported by the observations made in this study, but presentation of results needs to be improved.
					0	Detailed comments
Reviewer_2	Author	1	1	0	2	Aeromagnetic survey data acquired over the last 50+ years were employed for mapping structural and lithological features.
Reviewer_2	Author	1	1	0	2	Although the aeromagnetic data is said to be employed for structural interpretation, details somewhat sketchy.
Reviewer_2	Author	1	1	0	2	Reference is made to “…prominent […] magnetic lineaments which can be caused by faulting”, and “…several circular low magnetization anomalies, approximately two kilometers in diameter, aligned with northwest trending lineaments”.
Reviewer_2	Author	1	1	0	2	It would be nice to include a map with these features and lineaments interpreted from the aeromagnetic datasets.
Reviewer_2	Author	1	1	0	2	This would also tie the observations based on this dataset closer to the seismic interpretation (see below).
Reviewer_2	Author	1	2	0	2	Seismic reflection 2D lines (1989-2015).
Reviewer_2	Author	1	2	0	2	8500 km.
Reviewer_2	Author	1	2	0	2	Interpretation of shallow horizons and faults using all publicly available geological and geophysical data of the Beetaloo region.
Reviewer_2	Author	1	2	0	2	Fault polygons defined for five horizons.
Reviewer_2	Author	1	2	0	2	Depth conversion using check-shot velocities from 26 wells.
Reviewer_2	Author	1	2	0	2	See comments to Figure 4.
Reviewer_2	Author	1	2	0	2	The depth maps provided in Figure 5 should be supplemented by isochore maps for the rock volumes between pairs of mapped reflectors.
Reviewer_2	Author	1	2	0	2	See also comments to Figure 7.
Reviewer_2	Author	1	3	0	2	Helium measurements from groundwater samples.
Reviewer_2	Author	1	3	0	2	With respect to the helium measurements, no detailed documentation of where these samples were collected is provided beyond referring to Geological and Bioregional Assessment Program (2021a) Fact sheet 12, and Geological and Bioregional Assessment Program (2021b) Regional tracer results from the Cambrian Limestone Aquifer.
Reviewer_2	Author	1	3	0	2	These are both summary documents.
Reviewer_2	Author	1	3	0	2	Please provide a reference to the primary documentation.
Reviewer_2	Author	1	4	0	2	Fault and surface drainage network mapping (tectonic geomorphology).
Reviewer_2	Author	1	4	0	2	The drainage network was extracted automatically.
Reviewer_2	Author	1	4	0	2	It is not clear if the “simplified” drainage network shown in Figure 2 was also extracted automatically.
Reviewer_2	Author	1	4	0	2	The data is summarized in Figure 8 (see also comments to Figure 8 below).
Reviewer_2	Author	1	4	0	2	It is not clear if the surface drainage network line dataset is based on the “unfiltered” or “simplified” data shown in Figure 2.
Reviewer_2	Author	1	4	0	2	Since n=130, one can assume the latter.
Reviewer_2	Author	1	4	0	2	It is however not made clear how this “simplified” network was generated, but there appear to be a substantial number of instances where the “simplification” provides apparent mismatches with the original data (see examples included in comments to Figure 2 below).
Reviewer_2	Author	1	4	0	2	The accuracy of the resulting plot can therefore be questioned.
Reviewer_2	Author	1	4	0	2	If the “simplified” network was generated automatically, I encourage the authors to do a manual QC of the results.
					0	-
Reviewer_2	Author	1	5	0	2	Line 303: “We reviewed the seismic data in detail at the intersections with north-northwest trending lineaments observed on the magnetic dataset (Figure 4).” No such lineaments are shown in Figure 4.
Reviewer_2	Author	1	6	0	2	- Line352: “However, the elevated helium concentrations show no systematic pattern of increase with flow distance (as expected for in-situ production along the flow path) but a rather patchy regional pattern (Figure 8).” This should refer to
Reviewer_2	Author	1	40	0	2	Figure 9.
					0	-
Reviewer_2	Author	1	7	0	2	Line 582.
Reviewer_2	Author	1	7	0	2	Link for supplementary materials does not work.
					0	Figures Figure 1A.
					0	-
Reviewer_2	Author	1	8	0	2	Add scale.
					0	-
Reviewer_2	Author	1	9	0	2	Add colour scale for map (depth).
					0	-
Reviewer_2	Author	1	10	0	2	Well- and fault-labels largely illegible.
Reviewer_2	Author	1	10	0	2	Consider removing labels not referred to in the text.
					0	-
Reviewer_2	Author	1	11	0	2	Poor visual discretization of main surface fault traces and Post Wilton geophysical faults (maybe use different colour for the two?)
					0	-
Reviewer_2	Author	1	12	0	2	Replace white labels with black lettering with no labels and white lettering.
					0	Figure 1B -
Reviewer_2	Author	1	13	0	2	Consider adding a small inset table or schematic to showing the Cambrian Limestone Aquifer stratigraphy in the Georgina, Daly and Wiso basin.
Reviewer_2	Author	1	13	0	2	Although this is described in the caption, it is not easy to grasp for someone not familiar with the stratigraphy in the area without spending time some time with paper and pencil.
					0	Figure 2 -
Reviewer_2	Author	1	20	0	2	Poor quality figure (low resolution) in the version available to the reviewer.
					0	-
Reviewer_2	Author	1	15	0	2	Very, very overloaded figure, screen-dump from a mapping programme?
					0	-
Reviewer_2	Author	1	16	0	2	Consider splitting into several maps, e.g.
Reviewer_2	Author	1	16	0	2	one showing unfiltered + simplified drainage network, and one showing faults).
					0	-
Reviewer_2	Author	1	17	0	2	How the authors arrive at the simplified drainage network is not very clear
					0	Figure 3 -
Reviewer_2	Author	1	18	0	2	Very small/illegible typeface on map coordinates – consider simplifying scales and use larger typeface.
					0	-
Reviewer_2	Author	1	19	0	2	Replace the white label with black typeface with plain white typeface.
					0	Figure 4 -Poor quality figure (low resolution) in the version available to the reviewer.
					0	-
Reviewer_2	Author	1	21	0	2	Replace white labels with black typeface with white typeface.
					0	-
Reviewer_2	Author	1	22	0	2	Many well-name labels are hard difficult to read/illegible.
Reviewer_2	Author	1	22	0	2	Consider replacing well names on the map with numbers at the well position (white circles, black typeface) and add a table in the legend listing number and corresponding name of the well.
					0	-
Reviewer_2	Author	1	23	0	2	Thin grey seismic lines are not explained in the legend or caption.
Reviewer_2	Author	1	23	0	2	Why are these not classified in terms of signal quality?
					0	-
Reviewer_2	Author	1	24	0	2	The outline of the Eastern and Western Beetaloo Basin in Figure 3 and 4 should be kept identical in order to position Figure 6 A, B and C in relation to the seismic lines shown in Figure 4.
Reviewer_2	Author	1	24	0	2	Alternatively the position of Figure 6 A, B and C should be indicated in Figure 4 as well as Figure 3.
					0	Figure 5.
Reviewer_2	Author	1	25	0	2	Consider adding isochore maps for intervals between interpreted reflectors.
Reviewer_2	Author	1	25	0	2	These often highlight tectonic accommodation space creation better than maps.
Reviewer_2	Author	1	26	0	2	Figure 6 Add scale(s).
					0	Figure 7.
					0	Very poorly designed map (screen-dump?).
					0	Reviewer copy is also poor resolution.
					0	Clean up the legend:
Reviewer_2	Author	1	27	0	2	a) Remove underscores
					0	, b)
Reviewer_2	Author	1	28	0	2	Correct use of small caps, large caps in labels.
					0	c)
Reviewer_2	Author	1	29	0	2	Correct spelling (e.g. frameworkboundaries to framework boundaries; populated places to Populated places/(Settlements?); PossibleFluidEscapeFeatures to Possible fluid-escape features etc.).
					0	d)
Reviewer_2	Author	1	30	0	2	Explain/improve labels (what do you mean by “ntspr_2M_gw”?
Reviewer_2	Author	1	30	0	2	“Coast_10million”?
Reviewer_2	Author	1	30	0	2	“frameworkboundaries”?
Reviewer_2	Author	1	30	0	2	“State_Borders_10million”.
Reviewer_2	Author	1	30	0	2	Amend labels or explain in caption.
					0	e)
Reviewer_2	Author	1	31	0	2	Several items in the legend appear to have the same or very similar signatures.
					0	Clean up map:
Reviewer_2	Author	1	32	0	2	Not possible to differentiate post-Wilton fault types properly in the figure.
Reviewer_2	Author	1	33	0	2	Could not find “Coast_10million”, “frameworkboundaries” or “State_Borders_10million” on the map.
Reviewer_2	Author	1	33	0	2	If these items are present, please use a more contrasting signatures to make it more visible.
Reviewer_2	Author	1	33	0	2	If they are not present on the map, remove these items from the legend.
Reviewer_2	Author	1	34	0	2	Consider replacing the purple outline of the eastern and western sub-basin with light grey shading.
Reviewer_2	Author	1	35	0	2	Consider using the most prominent colour (red) for the possible fluid escape features as this is the key element of the map.
Reviewer_2	Author	1	35	0	2	Bright green might also bee an option.
Reviewer_2	Author	1	36	0	2	Not possible to differentiate “ntspr_2M_gw” (whatever that is) and “PossibleFluidEscapeStructures” (same colour).
Reviewer_2	Author	1	37	0	2	The link between interpreted faults and fluid or gas escape features is a key feature of this figure.
Reviewer_2	Author	1	37	0	2	The map differentiates between “BaseCambrian seismic faults”, Post-Wilton “Strike-slip” and “Reverse” faults, and “FAULTS”.
Reviewer_2	Author	1	37	0	2	The categorization is not adequately explained (e.g.
Reviewer_2	Author	1	37	0	2	what differentiates “FAULT” from a “BaseCambrianSeismic fault”?).
Reviewer_2	Author	1	38	0	2	Consider adding a simple conceptual sketch highlighting the stratigraphic position of the different faults (and possible fluid escape structures– this would also help visualizing which stratigraphic intervals the potential fluid escapes originate from and which stratigraphic intervals are potentially connected along potential fault-related fluid flow pathways.
					0	Figure 8.
Reviewer_2	Author	1	39	0	2	Please provide a more informative caption to what these plots show.
Reviewer_2	Author	1	39	0	2	What is included in the “Drainage and structural lineament analysis” plot?
					0	Figure 9.
Reviewer_2	Author	1	40	0	2	Poor resolution in the copy provided for the review.
Reviewer_2	Author	1	40	0	2	Consider using higher contrast colours or thicker lines to highlight different faults on the map.
Reviewer_2	Author	1	41	0	2	I hope you will find these comments useful when revising the manuscript and look forward to seeing the paper published in Geoscience.
					0	Comments for author File: Comments.pdf
					0	Review v2 Frery et al.
					0	: Fault related fluid flow implications for unconventional hydrocarbon development, Beetaloo Sub-basin (Northern Territory, Australia) The reviewer's comments have largely been addressed by the authors.
					0	However, there are still a couple of minor issues.
					0	With respect to the helium measurements, the references to the primary documentation requested by the reviewer in comments to v.1 of the manuscript are not provided, nor do the authors provide any comment as to why they deem this unnecessary.
					0	Section 4.3 Helium concentrations and isotopic composition measured in groundwater, is framed around results from previous studies.
					0	Providing references to these original studies (including access to the actual data that allow objective verification) rather than referencing to summary papers would be more in line with scientific publishing practice.
					0	If the primary documentation is not accessible, the authors should state this clearly.
					0	Figure 4.
					0	Seismic reflection data quality is ranked and colour-coded as “Excellent”, “Average” and “Poor”.
					0	Where does the fourth category, “Fair”, which also is a qualitative category, fit in, and why not include this category in the legend?
					0	Figure 5.
					0	Isochron maps have been included in the supplementary material, the initial review suggested isoCHORE maps.
					0	Including these is maybe not critical, but as mentioned in the initial review, thickness maps sometimes highlight structural lineaments quite well.
					0	I don't know if this is the case here, but if they do, including isochore maps would enhance the readers' understanding of basin geometry and -infill.
					0	Figure 7.
					0	Although the design of the figure is very much improved compared to the one submitted initially, it is still difficult differentiate between the Post Wilton “Strike-slip” and “Reverse” faults.
					0	Please use contrasting colours to differentiate them.
					0	If I understand the map correctly, fluid escape features on the map are shown as red dots.
					0	Why does the legend show these as thick red lines?
					0	Figure 8.
					0	Please keep the number of measurements included in each plot.
					0	The plot “Surface drainage network from this study” is identical to the original figure and should have n=130 measurements.
					0	According to the new caption shows the unfiltered surface drainage network.
					0	To my understanding this should correspond to Figure 2 a, which shows substantially more than 130 lineaments.
					0	How did you pick the ones you measured?
					0	Please clarify.
					0	Reply to review Thank you for this complete review.
					0	Both reviewers took the time to provide detailed comments that are considerably improving the quality of this manuscript, especially the figures.
					0	We followed those advises and updated the document consequently.
					0	Please find attached the revised manuscript with track changes as well as the reply to the detailed comments, directly in purple.
					0	Reviewer 1: The authors present an interesting case study integrating geophysical, geological and hydrochemical data to map potential pathways for water and gases across complex sedimentary formations in the Northern Territories, in Australia.
					0	The approach used by the authors is innovative and allows to elaborate several hypotheses regarding the occurrence and movement of both paleo and more recent fluids.
					0	Results appear to be sound and supported by the illustrations.
					0	Figures, however, need to be significantly improved for the final manuscript (see detailed comments below).
					0	Overall, the implications of this study are important not only for industrial purposes (reservoir exploration and operation) but also for our basic understanding of subsurface flow processes over geological timescales.
					0	This study should therefore gather significant interest and is worthy of a prompt publication.
					0	Figures.
