side	opponent	round	number	attacks	ann	text
					0	Author Response Reviewer(s)' Comments to Author:Reviewer #1: Verolino et al.
					0	Present a manuscript comparing the clinical thrombosis outcome in patients undergoing abdominoplasty and being on LMWH vs anti-Xa DOACs.
					0	Overall, this is nice work demonstrating the equivalence in efficacy between the LMWH and anti-Xa inhibitor in respect to thrombotic complications.
					0	Authors, however, need to address the following concerns: Point 1:
Reviewer_1	Author	1	1	0	2	Have authors followed on the bleeding complications like epistaxis, menorrhagia, gum bleedings, etc.
					0	?
					0	Answer to the Reviewer point 1:
Author	Reviewer_2	2	21	11	1	The observation of the reviewer has been accepted and the manuscript was modified accordingly.
					0	Point 2:
Reviewer_1	Author	1	2	0	2	Authors mention there were 2 cases of hematoma in enoxaparin group.
Reviewer_1	Author	1	2	0	2	Please describe it further.
Reviewer_1	Author	1	2	0	2	Were hematomas developing paraumbilically?
Reviewer_1	Author	1	2	0	2	Or were they seen somewhere else?
					0	Answer to the Reviewer point 2: The observation of the reviewer has been accepted and the manuscript was modified accordingly.
					0	Point 3:
Reviewer_1	Author	1	3	0	2	Extensive English editing is required.
					0	Answer to the Reviewer Point 3:
Author	Reviewer_2	4	2	2	1	The new manuscript has been evaluated by an expert of English language.
					0	Point 4:
Reviewer_1	Author	1	4	0	2	Citations needed for sentences in line 36 and line 37.
					0	Answer to the Reviewer point 4: The observation of the reviewer has been accepted and the manuscript was modified accordingly.
					0	Point 5:
Reviewer_1	Author	1	5	0	2	"In line 89 authors state that ""thrombophilic states are rather venous than arterial""."
Reviewer_1	Author	1	5	0	2	Although this may be true from a prevalence standpoint, the way this sentence is structured would mislead the reader.
Reviewer_1	Author	1	5	0	2	Revise accordingly, since there a number of arterial thromboses that thrombophilias can cause.
					0	Answer to the Reviewer point 5: The observation of the reviewer has been accepted and the manuscript was modified accordingly.
					0	Point 6:
Reviewer_1	Author	1	6	0	2	"In line 87 - authors state ""mild thrombophilia""."
Reviewer_1	Author	1	6	0	2	Severity of thrombophilic states are now yet well categorized, therefore more clarification needs to be provided here.
					0	Answer to the Reviewer point 6: The observation of the reviewer has been accepted and the manuscript was modified accordingly.
					0	Point 7:
Reviewer_1	Author	1	7	0	2	Enoxaparin and rivaroxaban have to be lower case as they are not brand names.
					0	Answer to the Reviewer point 7: The observation of the reviewer has been accepted and the manuscript was modified accordingly.
					0	Point 8:
Reviewer_1	Author	1	8	0	2	"Line 150 - it should be ""anti-thrombotic"" rather than ""an-thrombotic""."
					0	Answer to the Reviewer point 8: The observation of the reviewer has been accepted and the manuscript was modified accordingly.
					0	Point 9:
Reviewer_1	Author	1	9	0	2	P values have to presented in Table 1.
					0	Answer to the Reviewer point 9:
Author	Reviewer_2	4	1	1	1	The observation of the reviewer has been accepted and the table 1 was modified accordingly.
					0	Point 10:
Reviewer_1	Author	1	10	0	2	Line 179 - authors first mention 39 factors, and then in line 179 state 40.
Reviewer_1	Author	1	10	0	2	Which is true?
					0	Answer to the Reviewer point 10: The observation of the reviewer has been accepted and the manuscript was modified accordingly.
					0	Author Response Reviewer(s)' Comments to Author: Reviewer 2: (x) Extensive editing of English language and style required Answer to the Reviewer: The new manuscript has been evaluated by an expert of English language.
					0	"The authors report experience from their surgical center with performing abdominoplasty in women with ""thrombophilia"" which is not clearly defined."
					0	The results are of interest to both surgeons and haematologists/haemostaseologists.
					0	However, I have several concerns which must be adequately addressed before the manuscript is suitable for publication.
					0	Point 1:
Reviewer_2	Author	1	1	0	2	In the Abstract you state that “two patients during their course of Rivaroxaban presented severe hematoma”, but in Table 1 it appears that the two hematomas occurred in the enoxaparin group?
Reviewer_2	Author	1	1	0	2	Please clarify.
					0	Answer to the Reviewer point 1:
Author	Reviewer_2	2	11	1	1	we are very sorry for the mistake, and the manuscript was modified accordingly.
					0	Point 2:
Reviewer_2	Author	1	2	0	2	The introduction is not well written.
Reviewer_2	Author	1	2	0	2	The structure is unclear, and the authors repeat themselves many times.
Reviewer_2	Author	1	2	0	2	For example, the section begins with introducing inherited thrombophilias and VTE risk in these conditions, then proceeds to surgery, then back again to thrombophilia where it repeats itself and even states other numbers for prevalences and VTE risks than previously stated.
Reviewer_2	Author	1	2	0	2	Furthermore, suitable references are lacking in some places.
Reviewer_2	Author	1	2	0	2	For the present study to be acceptable for publication, the introduction should be thoroughly revised.
					0	Answer to the Reviewer point 2:
Author	Reviewer_2	2	12	2	1	The criticism of the reviewer has been accepted and the manuscript was modified accordingly.
					0	Point 3: Specific comments for the introduction:
Reviewer_2	Author	1	3	0	2	On page 1, lines 37-43, you state that: “The most important thrombophilic deficits, such as protein C, protein S and ATIII deficiency, have a 15-30 times higher thrombosis rate in the general population, with a prevalence of 0.14%-0,5 for C protein, 0.1-1% for S protein and 0.02-0.17% for TIII deficit.
Reviewer_2	Author	1	3	0	2	In the feared Factor V Leiden and PT 20210 gene homozygous, that present an about 80 times increased thrombotic risk, considering the frequency among general population, the rarity of these cases is more evident.” Could you please cite relevant references for these prevalences and relative risks?
Reviewer_2	Author	1	3	0	2	Also, I know that relative risk estimates for VTE with different thrombophilias may vary and are uncertain, especially for the rarer thrombophilias.
Reviewer_2	Author	1	3	0	2	Nonetheless, an 80 times increased thrombosis risk with FV Leiden or FII 20210 homozygosity seems very high to me; it has been reported considerably lower e.g.
Reviewer_2	Author	1	3	0	2	in Sode et al CMAJ 2013 doi: 10.1503/cmaj.121636.
					0	B)
Reviewer_2	Author	1	4	0	2	Page 2, lines 47-48: “…and they present a highest thrombotic risk, 2-3% for 20210 gene, 3-8% for Factor V Leiden [1].” This sentence is not clear.
Reviewer_2	Author	1	4	0	2	2-3% of what for the 20210 polymorphism and 3-8% of what for FV Leiden?
Reviewer_2	Author	1	4	0	2	Also, “20210 gene” should be “20210 polymorphisms, or “G20210A polymorphism” to be completely correct.
					0	C)
Reviewer_2	Author	1	5	0	2	Page 2, lines 87-88: “In this regard it is widely demonstrated that almost half of surgical patients who developed VTE have a mild thrombophilic syndrome [18].” This is rather an astonishing statement, and as your source, you cite a paper from the “Australian Family Physician”.
