side	opponent	round	number	attacks	ann	text
					0	Author Response Rebuttal for Reviewer 1:
Author	Reviewer_1	2	1	1	1	The quoted literature has been adapted to the ACS Style Guide.
Author	Reviewer_1	2	1	1	1	For that, the authors used to software package Zotero.
Author	Reviewer_1	2	2	2	1	STD are included in the all tables were indicated: sum+STD has been added in the legend.
Author	Reviewer_1	2	3	3	1	In Table 3 (=) has been changed into (0).
Author	Reviewer_1	2	3	3	1	It was a typo, sorry.
Author	Reviewer_1	2	4	4	1	Line 252: 7/24 has been changed into 24/7.
Author	Reviewer_1	2	5	5	1	Line 267 and 268, the description of figure 1 “focused on senses” means that the diagnostic workup should be more focused on the physical examination (the doctor’s senses) rather than based on technical diagnostics.
Author	Reviewer_1	2	5	5	1	In the revised manuscript has been added in line 270 “and use their senses in physical examinations rather than rely on impersonal technical tools for the diagnostic work-up”.
Author	Reviewer_1	2	6	6	1	In Line 266/267 the term “undermine” was wrong.
Author	Reviewer_1	2	6	6	1	It has been changed into “ease”.
Author	Reviewer_1	2	6	6	1	Thank you for the hint.
Author	Reviewer_1	2	7	7	1	Table 5: The students could rank their answer.
Author	Reviewer_1	2	7	7	1	1 = don’t know, 2= false up to 7 = fully agree.
Author	Reviewer_1	2	7	7	1	The statistical calculation was done only for ranks 2 to 7, excluding the students, who could not or didn’t want to answer the question.
Author	Reviewer_1	2	7	7	1	The authors knew from the qualitative study part, that some students had no knowledge about AI.
Author	Reviewer_1	2	7	7	1	Therefor the “don’t know” option was included.
Author	Reviewer_1	2	7	7	1	In the first draft of the manuscript the legends contained a mistake, because the “fully agree” option had the highest number (7) but not 3.
Author	Reviewer_1	2	7	7	1	This has been changed in the revised manuscript.
					0	Author Response See the point-by-point response in the attached Word file.
					0	Author Response File: Author Response.docx
					0	The article presents a study of perception of AI and digitization healthcare which is achieved by qualitative and quantitative surveys.
					0	Importantly, the study has pointed out the lack of in-depth awareness about digital health technologies in students and highlighted the need for education of the same.
					0	Authors have sufficiently described the study methodologies including the survey and drawn The following revisions should be addressed before publication:
Reviewer_1	Author	1	1	0	2	The citations are not formatted according to the journal guidelines.
Reviewer_1	Author	1	1	0	2	Please revise.
