side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment, including: manuscript, and supporting information.
					0	Point 1、This study estimated the heavy metal exposure to children through soil and dust Ingestion in electronic waste (e-waste) dismantling areas.
					0	The results provided insights into the varying health risks of different have metals.
					0	I suggested the major revision before publication.
Reviewer_1	Author	1	1	0	2	The authors should provide detailed data about the concentration of heavy metals in soil and biotic samples.
Reviewer_1	Author	1	2	0	2	The authors were suggested to introduce the spatial variation of heavy metal in samples, and to analyze the possible factors contributing to the concentration profile of heavy metals in differnt samples.
Reviewer_1	Author	1	3	0	2	The authors should add section(s) for the heavy metal concentrations in biotic samples.
Reviewer_1	Author	1	3	0	2	As an example, they may analyze the influences of food intake and food intake on heavy metal exposure.
					0	Answer:
Author	Reviewer_2	2	25	14	1	Thank you for your advice.
Author	Reviewer_2	2	25	14	1	At first, the soil heavy metal data has been added in the supporting information (Table S4 and S5).
Author	Reviewer_2	2	25	14	1	Besides, our study focuses on estimating the children’s SIRs of from e‒waste disassembly areas by collecting and analyzing selected tracer elements in matched samples of their consumed food, feces, and urine, as well as soil samples from their play areas.
Author	Reviewer_2	2	25	14	1	We have examined the tracer elements in the food.
Author	Reviewer_2	2	25	14	1	And when we calculated the SIR, we also used the parameter “Cfood” (equation 1) to analyze the food intake.
Author	Reviewer_2	2	25	14	1	In addition, children’s feces and urine belong to biological samples, which is sufficient to calculate the SIR.
Author	Reviewer_2	2	25	14	1	Application of more biotic samples that you suggested is useful for our study, however, it is hard to get other samples from children, such as blood and tissue.
Author	Reviewer_2	2	25	14	1	At last, we also added the heavy metals information in resident or park green areas: “In resident and park green areas, the highest concentration of heavy metals is Zn and the lowest is Cd.
Author	Reviewer_2	2	25	14	1	The concentrations of heavy metals in park green areas were slightly higher than that in residential area, which may attribute to the difference of soil environmental quality management and control policy between these areas.
Author	Reviewer_2	2	25	14	1	Integrated data from the resident and park green areas, the median concentrations (mg/kg) of Cr, Ni, Cu, Zn, As, Cd, and Pb were 48.8, 63.9, 128, 413, 6.30, 0.513, and 115, respectively.” Point 2.
Reviewer_1	Author	1	4	0	2	Lines 116-118: The amounts of samples were confused.
Reviewer_1	Author	1	4	0	2	Although there were 66 children involved in this study, 66 food samples, 62 feces and 64 urine samples were collected.
					0	Answer:
Author	Reviewer_1	2	4	4	1	Thanks for your reminder.
Author	Reviewer_1	2	4	4	1	In our study, 66 children were taken part in our analysis.
Author	Reviewer_1	2	4	4	1	But we failed to get all children’s feces and urine sample every day.
Author	Reviewer_1	2	4	4	1	Thus, we collected sample number was less the involved 66 children.
					0	Point 3.
Reviewer_1	Author	1	5	0	2	Lines 176-178: Different units between manuscript and SM (figure S1).
					0	Answer:
Author	Reviewer_1	2	5	5	1	Thank you for your reminder.
Author	Reviewer_1	2	5	5	1	We have uniformed the units to “(mL/d)” Point 4.
Reviewer_1	Author	1	6	0	2	Lines 209-211: Different SIR values between manuscript and figure 1.
					0	Answer:
Author	Reviewer_3	2	33	8	1	Thank you for your correction.
Author	Reviewer_1	2	7	7	1	In the manuscript, the data is with outlier.
Author	Reviewer_1	2	7	7	1	However, we used the data without outlier to construct the figure.
