side	opponent	round	number	attacks	ann	text
					0	ISSN 2075-1729 www.mdpi.com/journal/life Peer-Review Record: Phylogeny and Taxonomy of Archaea: A Comparison of the Whole-Genome-Based CVTree Approach with 16S rRNA Sequence Analysis Guanghong Zuo, Zhao Xu and Bailin Hao Life 2015, 5, 949-968, doi:10.3390/life5010949 Reviewer 1: Anonymous Reviewer 2: Anonymous Editor: Roger A. Garrett, Hans-Peter Klenk and Michael W. W. Adams (Guest Editor of Special Issue “Archaea: Evolution, Physiology, and Molecular Biology”) Received: 9 December 2014 / Accepted: 9 March 2015 / Published: 17 March 2015 First Round of Evaluation Round 1: and Author Response In the manuscript titled “Phylogeny and Taxonomy of Archaea: A Comparison of Whole-Genome-Based CVTree Approach with 16S rRNA Sequence Analysis”, Zuo et al.
					0	are describing a comprehensive analysis of archaeal phylogeny with a genome-based alignment free method, and then comparing the findings to 16S rRNA based phylogenies.
					0	The idea to use whole genome data for archaeal phylogenies is interesting, as the 16S rRNA phylogenies can be poor in resolving relationships among archaeal lineage due to GC content bias in hyperthermophilic Archaea.
					0	However, I am personally not convinced that whole genomes bring additional advantages, or if we are better off by just using a conserved set of proteins.
					0	Perhaps an additional discussion point would be the advantages of using CVtree approach with regular concatenated proteins.
					0	Leaving that opinion aside, I think the alignment-free methodology is interesting, however
Reviewer_1	Author	1	1	0	2	I would like to see a comparison with at least one regular alignment/treeing method, based on the same genomes the authors used, and not just a visual topological comparison with other published trees.
					0	Response:
Author	Reviewer_1	2	1	1	1	Multi-alignment of concatenated protein (or DNA) segments is a genome-scale, but not whole-genome approach.
Author	Reviewer_1	2	1	1	1	Its applicability depends on the scope of the phylogenetic study.
Author	Reviewer_1	2	1	1	1	When dealing with not-too-distantly related species it may yield more or less useful result.
Author	Reviewer_1	2	1	1	1	However, in a study covering many phyla it is very difficult, if not impossible, to collect a common set of conserved proteins.
					0	R2
Author	Reviewer_1	2	1	1	1	Moreover, the concatenation method can never lead to very convincing conclusion, as give or take a few proteins may change the result.
Author	Reviewer_1	2	1	1	1	The phylogenomics people have noticed this problem, see, e.g., O. Jeffroy, H. Brinkman, F. Delsuc, H. Philippe (2008) Phylogenomics: the beginning of incongruence?
Author	Reviewer_1	2	1	1	1	Trends in Genetics, 22(4): 225–231.
Author	Reviewer_1	2	1	1	1	An example from the Bacteria domain is the relationship of the closely related Shigella and Escherichia coli strains.
Author	Reviewer_1	2	1	1	1	Concatenation of different number of genes led to different way of mixing-up of the two groups, but CVTree gave unambiguous separation of the strains as different species in the same genus Escherichia, see: G.-H. Zuo, Z. Xu, B.L.
Author	Reviewer_1	2	1	1	1	Hao (2013) Shigella strains are not clones of Escherichia coli but sister species in the genus Escherichia.
Author	Reviewer_1	2	1	1	1	Genomics Proteomics Bioinformatics, 11: 61–65.
Author	Reviewer_1	2	1	1	1	In order to carry out multi-alignment of concatenated sequences, a postdoc or well-trained PhD student equipped with the corresponding software is required.
Author	Reviewer_1	2	1	1	1	In contrast, with genome sequencing becoming a common practice in many labs it costs no additional work for a bench-microbiologist to get phylogenetic and taxonomic information by using a convenient and publically available tool such as the CVTree web serve.
Author	Reviewer_1	2	1	1	1	Well, we would be glad to see comparison of CVTree phylogeny with multi-alignment of concatenated proteins if anyone finds a way to do it for so many diverse phyla, but we do not consider it as a doable job.
Reviewer_1	Author	1	2	0	2	As far as I can see, statistical support on the branches is missing, so I have no way of assessing if this branching order is valid.
