side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.pdf
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.pdf
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.pdf
					0	Review of article entitled: “Investigation on the Evolution of Nano-scale Defects of CL-20 2 Crystals under Thermal Treatment by Wide/Small-Angle X-ray 3 Scattering” Overall, I liked the paper and believe it contributes to our knowledge of thermal evolution of CL-20.
					0	The authors used both WAXS and SAXS to examine CL-20 particles as they were heated from room temperature to around 200C.
					0	The analysis included determination of the number of voids and specific surface area during the heating process.
					0	I had several questions regarding this work: 1.
Reviewer_1	Author	1	1	0	2	How do the WAXS and SAXS differ?
Reviewer_1	Author	1	1	0	2	How do these experiments differentiate between increasing the number of defects and the size of the defects?
					0	2.
Reviewer_1	Author	1	2	0	2	The authors mention cracks as well as voids.
Reviewer_1	Author	1	2	0	2	How are the cracks differentiated from the voids?
Reviewer_1	Author	1	2	0	2	Were voids observed?
Reviewer_1	Author	1	2	0	2	Could computed microtomography be used to confirm some of the experimental results?
					0	3.
Reviewer_1	Author	1	3	0	2	Are your pores assumed to be spherical?
					0	Are cracks cylindrical.
					0	Are they statistical in nature?
					0	4.
Reviewer_1	Author	1	4	0	2	I would be interesting to have additional support for the process by using thermal experiments such as differential scanning calorimetry (DSC).
Reviewer_1	Author	1	4	0	2	How do you results compare to phase transformation measured using DSC?
Reviewer_1	Author	1	4	0	2	Are the onsets and finishing of the phase transformations consistent with the DSC measurements?
					0	5.
Reviewer_1	Author	1	5	0	2	Do your experiments (WAXS and SAXS) measure the defect size and number of defects or is a model used to infer these quantities?
					0	6.
Reviewer_1	Author	1	6	0	2	What do the colors in your figures represent?
					0	7.
Reviewer_1	Author	1	7	0	2	Could there be any other explanation rather than increase in number of internal nano-scale pores?
Reviewer_1	Author	1	7	0	2	Could the increase be due to larger defects rather than an increase in the number of defects?
Reviewer_1	Author	1	7	0	2	If so, how do you prove this?
Reviewer_1	Author	1	7	0	2	Could you use X-ray microtomography on your samples?
					0	8.
Reviewer_1	Author	1	8	0	2	Is the temperature high enough to cause decomposition effects?
Reviewer_1	Author	1	8	0	2	If so, do the decomposition products form bubbles in your solvent?
Reviewer_1	Author	1	8	0	2	If so, could this bias your conclusions?
					0	9.
Reviewer_1	Author	1	9	0	2	Can you explain why an increase in scattering intensity indicates increase in more small voids rather than an increase in existing void sizes?
					0	10.
Reviewer_1	Author	1	10	0	2	"Could you be more specific on the ""spherical model"" on line 170?"
Reviewer_1	Author	1	10	0	2	Co you assume the pore volume remains unchanged, but the number increases?
Reviewer_1	Author	1	10	0	2	or visa verse?
					0	11.
Reviewer_1	Author	1	11	0	2	What do you mean by “are calculated” on line 199?
Reviewer_1	Author	1	11	0	2	What are the basic equations and assumptions for this calculation?
					0	12.
Reviewer_1	Author	1	12	0	2	Again, what is happening?
Reviewer_1	Author	1	12	0	2	Are the number of pores increasing or is the existing pores increasing in volume?
					0	As you can tell by these questions, my main issue is related to the specific form of the thermal damage.
					0	Is it the number of defects that are increasing?
					0	Or, is it the volume of the defect that is increasing?
					0	Or, are both the number and size of the defect increasing.
					0	Do you have another proof for your conclusions.
Reviewer_1	Author	1	13	0	2	I also noticed that your references did not include any of the more recent work published in 2021 or 2022.
Reviewer_1	Author	1	13	0	2	There are some more recent articles that would be worth citing.
					0	The authors present an experimental study of nano-scale defects in CL-20 under heating.
					0	Some changes in propagation of pores caused by both the phase transitions and temperature were observed by an appropriate experimental technique.
					0	Overall, the work is done well and manuscript sounds.
					0	Thus, I can recommend it for publication after a minor revision.
Reviewer_2	Author	1	1	0	2	In the introduction, the authors foreground their work, focusing on the relationship between the presence of pores and sensitivity.
Reviewer_2	Author	1	1	0	2	It indeed the case, but I could not find any discussion on this issue.
Reviewer_2	Author	1	1	0	2	Therefore, I suggest include some comments on this and, probably, provide some discussion of how to avoid the increase of such defects, which increase sensitivity of energetic crystals, in particular CL-20.
					0	The manuscript is devoted to research on the phase transformations of CL-20 at various temperatures.
					0	The nano-scale defects were studied by using Wide Angle X-ray Scattering (WAXS) and Small Angle X-ray Scattering (SAXS), during the temperature range from 30 °C to 200 °C .
					0	I recommend publishing the manuscript after minor the revision.
					0	Comments on the manuscript.
					0	1.
Reviewer_3	Author	1	2	0	2	Section 2.1.
Reviewer_3	Author	1	2	0	2	Materials and instruments, you need to specify the particle size of the initial CL-20 powders.
					0	2.
Reviewer_3	Author	1	3	0	2	“The electron density of ε-CL-20 crystal form is 622.7 nm-3 and that of γ-CL-20 is 584.8 nm-3, while the electron density of GPL107 is 571.7 nm-3” You need to specify the reference in which this data were obtained.
					0	3.
Reviewer_3	Author	1	4	0	2	Page 6.
Reviewer_3	Author	1	4	0	2	199-198 “The specific surface area and volume fraction of pores are calculated, and the results are shown in figure 7.” From the text of the manuscript it is not clear what method was used to obtain the calculated data on the specific surface area and volume fraction of pores.
					0	4.
Reviewer_3	Author	1	5	0	2	The conclusion must be supplemented with a forecast about the change in the performance of the SL-20 in terms of safety and suitability for use after temperature effects.
					0	Comments for author File: Comments.pdf
					0	Response to Reviewer' Comments Dear Reviewer, We sincerely appreciate your comments and suggestions on the manuscript!
					0	Every available suggestion has been answered carefully and corrected in the article.
					0	The corrections are marked in red color.
					0	Question 1.
					0	How do the WAXS and SAXS differ?
					0	How do these experiments differentiate between increasing the number of defects and the size of the defects?
					0	Response:
Author	Reviewer_1	2	1	1	1	Wide Angle X-ray Scattering (WAXS) and Small Angle X-ray Scattering (SAXS) obey the same Bragg's Law (2dsinθ=nλ), but with different distance from sample to detector.
Author	Reviewer_1	2	1	1	1	With a distance about 384 mm in this work, the WAXS can measure the structure from 0.12 nm to 0.45 nm, which correspond to the crystal lattice, while SAXS can measure the structure from 10 nm to 80 nm, with a distance of 2484 mm.
