side	opponent	round	number	attacks	ann	text
					0	Author Response Manuscript ID #: Molecules 1583723 Journal: Molecules A detailed point-by-point response to the reviewers' comments We would like to thank the reviewers for the comments and endorsements of our work.
					0	Attached below is our detailed response to the comments on our manuscript.
					0	We have attached a revised version of the paper that addresses the issues raised by the reviewers.
					0	The revised parts in the manuscript are indicated by red characters.
					0	Reviewer #1: Comment:
Reviewer_1	Author	1	1	0	2	The manuscript by Sharmin Akther Rupa et al, the manuscript has many serious concerns on the basis that it cannot be accepted in this journal.
Reviewer_1	Author	1	1	0	2	for example, 13C NMR must be 100 MHz not 400 MHz, value must be either ascending order or descending order (13C NMR (400 MHz, DMSO-d6, ppm): 1
Reviewer_1	Author	1	6	0	2	4.
					0	82 (-CH3), 149.25 (-C=N-), 15
Reviewer_1	Author	1	5	0	2	3.
					0	65 (Ar-C), 125.26 (Ar-C), 140.31 (Ar-C),159.11 (C=O), 130.04 (Ar-C), 11
Reviewer_1	Author	1	4	0	2	2.
					0	83 (Ar-C), 109.34 (Ar-C), 123.05 (Ar-C).
Reviewer_1	Author	1	1	0	2	above example showed the manuscript not written carefully.
					0	Response:
Author	Reviewer_1	2	1	1	1	We appreciate the recommendation and comments.
Author	Reviewer_1	2	1	1	1	We corrected the above-mentioned correction as suggested by the reviewer and presented as follows, 1H NMR (400 MHz, DMSO-d6, ppm): δ 11.43 (s, 2H), 8.34 (m, 2H), 8.28 (m, 1H), 7.65 (d, 2H, J = 4.8 Hz), 7.61 (d, 2H, J = 3.2 Hz), 7.14 (t, 2H, J = 8.8 Hz), 2.51 (s, 6H).
Author	Reviewer_1	2	1	1	1	13C NMR (100 MHz, DMSO-d6, ppm): 159.44 (C=O), 154.55 (Ar-C), 148.91 (Ar-C), 143.22 (-C=N-), 140.48 (Ar-C), 130.06 (Ar-C), 129.44 (Ar-C), 128.20 (Ar-C), 125.75 (Ar- C), 15.32 (-CH3).
					0	Comment:
Reviewer_1	Author	1	2	0	2	Second one that is very important for this paper: The activity of L2 molecule against Bacillus Megaterium (PDB 4j6u) was significant with a binding energy of -8.8 kcal/mol and three hydrogen bond interactions, which reveals the antimicrobial activity of the molecule.
Reviewer_1	Author	1	2	0	2	Both compounds are biologically active, but their activity was moderate which did not support their efforts.
					0	Response:
Author	Reviewer_1	2	2	2	1	We appreciate the recommendation and agree with the reviewer that the computational and experimental results of antimicrobial activity differ to some extent in this part of the study and required further investigation to understand why such activity differs to the ligands by other means in the future.
Author	Reviewer_1	2	2	2	1	In this study, we successfully synthesized the novel ligands and studied its spectroscopy with other probable studies.
Author	Reviewer_1	2	2	2	1	Fortunately, we have found outstanding results during the chemo-sensor study and hopefully, we could be able to show the excellent usage of the ligands as a chemo-sensor in near future.
Author	Reviewer_1	2	2	2	1	Also, we are planning to do a fluorescence imaging study of protein-ligands.
					0	Comment:
Reviewer_1	Author	1	3	0	2	Third one their binding study: 1.
Reviewer_1	Author	1	3	0	2	Why did the authors consider Tyrosinase from Bacillus megaterium N205A mutant pdb id 4j6u?
Reviewer_1	Author	1	3	0	2	As they did not report any enzyme specific inhibition related experiments.
					0	2.
Reviewer_1	Author	1	4	0	2	Docking is a preliminary experiment.
Reviewer_1	Author	1	4	0	2	How did the author validate the docking protocol?
Reviewer_1	Author	1	4	0	2	The authors are suggested using some decoy ligands and calculating the enrichment value in order to justify the docking protocol followed by ALA scan (Alanine scanning) based MD experiments.
Reviewer_1	Author	1	4	0	2	In addition, authors are suggested to report at list 100ns Molecular dynamics (MD) simulation guided protein-ligand stability report followed by either MM-GB or PB-SA based thermo data analysis.
					0	3.
Reviewer_1	Author	1	5	0	2	The pdb id 4j6u does not contain any bound ligand.
Reviewer_1	Author	1	5	0	2	How did the author select the binding site?
Reviewer_1	Author	1	5	0	2	If a few sets of amino acids were considered to define the binding site, then on what basis they select them?
					0	4.
Reviewer_1	Author	1	6	0	2	The authors did not report any Tyrosinase enzyme inhibition assay, they are requested to justify Tyrosinase inhibition as the probable mechanism of action for these sets of ligands by providing suitable literature references.
					0	Response:
Author	Reviewer_1	2	6	6	1	We appreciate the comments of the reviewer and the following are the answers in response to the question for the kind consideration of the reviewer- Tyrosinase is a key enzyme in melanogenesis, which is essential for pigmentation.
Author	Reviewer_1	2	6	6	1	Dysfunction of tyrosinase may cause skin cancer.
Author	Reviewer_1	2	6	6	1	It is well-known that tyrosinase of Bacillus Megaterium bacteria is an attractive target for the development of antimicrobials or antibiotic adjuvants for the treatment of hyperpigmentation because of its similarity (33.5%) to the human enzyme [97-103].
Author	Reviewer_1	2	6	6	1	That’s why, to investigate and compare the antimicrobial activity of the synthesized compounds with in vitro data, docking analysis of L1 and L2 against tyrosinase from Bacillus Megaterium was performed.
Author	Reviewer_1	2	6	6	1	Also, molecular docking with other proteins of B. Megaterium was conducted, but 46ju provided better binding affinity with the synthesized compounds.
Author	Reviewer_1	2	6	6	1	For this reason, we aim to study the structure of tyrosinase from the bacteria.
Author	Reviewer_1	2	6	6	1	Preliminary antimicrobial studies were carried out to validate the docking protocol.
Author	Reviewer_1	2	6	6	1	At present, we are doing the fluorescence activities of these ligands and L2 showed excellent fluorescent emission at λmax 520 nm.
Author	Reviewer_1	2	6	6	1	So, we hope that we will carry out ALA scan (Alanine scanning) based MD experiments and 100ns Molecular dynamics (MD) simulation guided protein-ligand stability in the future for our next study since within this shortest time, we are unable to do these experiments.
Author	Reviewer_1	2	6	6	1	The active binding site of tyrosinase was predicted by CASTp.
Author	Reviewer_3	2	19	12	1	The binding site residues predicted by CASTp for tyrosinase were used for grid generation.
Author	Reviewer_1	2	6	6	1	We have included this in the manuscript as follows:
Author	Reviewer_3	2	18	11	1	4.9.
Author	Reviewer_3	2	21	14	1	Molecular Docking Study Molecular docking is a powerful tool to investigate and provide a proper understanding for ligand receptor interactions in order to facilitate the design of potential drugs [93-96].
Author	Reviewer_3	2	21	14	1	To investigate and compare the antimicrobial activity of the synthesized compounds, docking analysis of L1 and L2 against tyrosinase from Bacillus Megaterium were performed.
Author	Reviewer_3	2	21	14	1	It is well-known that tyrosinase of Bacillus Megaterium bacteria is an attractive target for the development of antimicrobials or antibiotic adjuvants for the treatment of hyperpigmentation because of its similarity (33.5%) to the human enzyme [97-100].
Author	Reviewer_3	4	2	1	1	4.9.1.
Author	Reviewer_1	2	6	6	1	Binding affinity of L1 and L2 The highest anti-bacterial activity (zone of inhibition 12 mm) of compound L2 was detected with tyrosinase from Bacillus Megaterium (PDB ID: 4j6u) bacteria compared to L1.
Author	Reviewer_1	2	6	6	1	The binding energies for L1 and L2 with Bacillus Megaterium were −7.7 and −8.8 kcal mol−1, respectively, which were calculated by AutoDock Vina.
Author	Reviewer_1	2	6	6	1	The interactions of the 4j6u with compounds L1 and L2 are shown in the Fig.
Author	Reviewer_3	4	2	1	1	6.
Author	Reviewer_3	4	2	1	1	In L1-4j6u, one conventional hydrogen bond (3.04 Å) of O-H----O-C observed between O-H of Tyr267A and O-C group of compounds L1.
Author	Reviewer_3	4	2	1	1	Pi-cation, pi-sulfur and amide-pi bonds were also noticed with LYS47A, PHE48A, ILE39A, ALA40A, GLY43B and ALA44B, respectively.
Author	Reviewer_3	4	2	1	1	Moreover, ALA44A, LYS47A, ALA44B, LYS47B, PRO52A, ALA40B and ILE139B were actively involved in the non-covalent interaction (hydrophobic pi-alkyl).
Author	Reviewer_3	4	2	1	1	L2-4j6u complex was stabilized by four NH….O hydrogen bonds and they were LYS47A (2.25 Å), GLY143B (3.04 Å), Tyr267A (3.07 Å) and PRO219B (2.91 Å) (Fig.
Author	Reviewer_3	4	2	1	1	6).
Author	Reviewer_3	4	2	1	1	Like L1, L2 formed pi-cation and amide-pi bonds with LYS47A, ILE39A, GLY43B, where the distances were 3.73, 4.34, 3.54 Å. L2 also formed seven pi-alkyl bonds with ALA44A (5.19 Å), LYS47A (4.35 Å), ALA44B (3.95 Å), LYS47B (4.98 Å), PRO52A (5.04 Å), ALA40B (4.67 Å) and ILE139B (4.24 Å), respectively.
Author	Reviewer_1	2	6	6	1	Results of docking studies revealed that L1 and L2 formed bonds to the active site of tyrosinase and showed strong interactions with Tyr267A, Ala44A, and ALA44B of tyrosinase enzyme (PDB ID: 4j6u), which also supports the literature [101-103].
Author	Reviewer_1	2	6	6	1	Thus, computational results are in good agreement with in vitro antibacterial behaviour of our compounds for novel antibacterial drug design.
					0	We also revise the whole manuscript to make the language and grammar better as suggested by the reviewer.
					0	Author Response File: Author Response.pdf
					0	Author Response Comment: Abedin et al.
					0	"explored ""Synthesis of Novel Tritopic Hydrazone Ligands: Spectroscopy, Biological activity, DFT, and Molecular docking Studies""."
Reviewer_2	Author	1	1	0	2	The manuscript is well-written and must be accepted in its present form for publication in Molecules.
					0	Response:
Author	Reviewer_2	2	7	1	1	We are delighted and thankful for the recommendation.
					0	Author Response Manuscript ID #: Molecules 1583723 Journal: Molecules A detailed point-by-point response to the reviewers' comments We would like to thank the reviewers for the comments and endorsements of our work.
					0	Attached below is our detailed response to the comments on our manuscript.
					0	We have attached a revised version of the paper that addresses the issues raised by the reviewers.
					0	The revised parts in the manuscript are indicated by red characters.
					0	Reviewer Comment: The paper need more attention from the side of the authors.
					0	-
Reviewer_3	Author	1	1	0	2	The abstract is somehow unorganized.
Reviewer_3	Author	1	1	0	2	Even if it is an unstructured abstract, it should respond to the following point one after the other.
Reviewer_3	Author	1	1	0	2	Background, aims, methods, results, and conclusion -
Reviewer_3	Author	1	2	0	2	The background is missing.
					0	-
Reviewer_3	Author	1	3	0	2	The aims are not clearly presented.
					0	-
Reviewer_3	Author	1	4	0	2	Methods should be written in brief before presenting the results.
					0	-
Reviewer_3	Author	1	5	0	2	Results they took the most of your abstract.
Reviewer_3	Author	1	5	0	2	Please be brief; most of the text is not important for a reader who only wants to get an idea about your paper before reading it.
Reviewer_3	Author	1	5	0	2	Just put your key results in brief.
					0	-
Reviewer_3	Author	1	6	0	2	The conclusion is missing.
					0	Response:
Author	Reviewer_3	2	13	6	1	We appreciate the recommendation and rewrite the abstract as follows, Polytopic organic ligands with hydrazone moiety are in the forefront of new drug research among many others due to their unique and versatile functionality and ease of strategic ligand design.
Author	Reviewer_3	2	13	6	1	Quantum chemical calculations of these polyfunctional ligands can be carried out in silico to determine the thermodynamic parameters.
Author	Reviewer_3	2	13	6	1	In this report two new tritopic dihydrazide ligands, N'2, N'6-bis[(1E)-1-(thiophen-2-yl) ethylidene] pyridine-2, 6-dicarbohydrazide (L1) and N'2, N'6-bis[(1E)-1-(1H-pyrrol-2-yl) ethylidene] pyridine-2, 6-dicarbohydrazide (L2) were successfully prepared by the condensation reaction of pyridine-2, 6-dicarboxylic hydrazide with 2-acetylthiophene and 2-acetylpyrrole.
Author	Reviewer_3	2	13	6	1	The FT-IR, 1H and 13C NMR as well as mass spectra of both L1 and L2 were recorded and analyzed.
Author	Reviewer_3	2	13	6	1	Quantum chemical calculations were performed at DFT/B3LYP/cc-pvdz/6-311+ G (d, p) level of theory to study the molecular geometry, vibrational frequencies, and thermodynamic properties including changes of ∆H, ∆S, and ∆G for both the ligands.
Author	Reviewer_3	2	13	6	1	The optimized vibrational frequency and (1H and 13C) NMR obtained by B3LYP/cc-pvdz/6-311 + G (d, p) showed good agreement with experimental FT-IR and NMR data.
Author	Reviewer_3	2	13	6	1	Frontier molecular orbital (FMO) calculations were also conducted to find the HOMO, LUMO, and HOMO–LUMO gaps of the two synthesized compounds.
Author	Reviewer_3	2	13	6	1	To investigate the biological activities of the ligands, L1 and L2 were tested in vitro bioassays against some Gram-negative and Gram-positive bacteria and the fungus strain.
Author	Reviewer_3	2	13	6	1	In addition, Molecular ‪docking was used to study the molecular behavior of L1 and L2 against tyrosinase from Bacillus megaterium.
Author	Reviewer_3	2	13	6	1	The outcomes revealed that both L1 and L2 can suppress microbial growth of bacteria and fungi with variable potency.
Author	Reviewer_3	2	13	6	1	The antibacterial activity results demonstrated the compound L2 to be potentially effective against Bacillus Megaterium with inhibition zones of 12 mm while molecular docking study showed the binding energies for L1 and L2 to be −7.7 and −8.8 kcal mol−1 respectively with tyrosinase from Bacillus megaterium.‪ -
Reviewer_3	Author	1	7	0	2	Font of the reference is different from the text
					0	Response:
Author	Reviewer_3	2	14	7	1	We appreciate the recommendation and corrected the font of the references.
					0	-
Reviewer_3	Author	1	8	0	2	This sentence “‪Polytopic ligands containing hydrazide-hydrazone moiety (—CO—NHN=CH—) are important for new drug development” should be better connected to the next one to explain why they are important for new drug development
					0	?
					0	Response:
Author	Reviewer_3	2	15	8	1	We appreciate the recommendation and corrected the section as below: Polytopic ligands containing hydrazide-hydrazone moiety (—CO—NHN=CH—) are important for new drug development [1-6].
Author	Reviewer_3	2	15	8	1	Because, their polyfunctional nature offer multifarious synthetic ways to derivatize such organic molecules towards suitable and effective drug-receptor interaction.
Author	Reviewer_3	2	15	8	1	The derivatives of hydrazide-hydrazone moiety specially with heterocyclic system possess a range of biological activities namely, anti-microbial, anti-mycobacterial, antitubercular, anticonvulsant, anticholinesterase [1], antiplatelet, and more importantly antitumor [5,7].
Author	Reviewer_3	2	15	8	1	Transition metal complexes derived from such type of ligands have been widely studied since they also demonstrate significant biological and pharmacological properties [8-11].
					0	-
Reviewer_3	Author	1	9	0	2	Replace “‪In addition to that, the compounds were tested in vitro bioassays against some Gram-negative and Gram-positive ‪bacteria and the fungus strain showing specially promising results for L2.
Reviewer_3	Author	1	9	0	2	Molecular docking methodology was used to study molecular behavior of L1 and L2 with Bacillus Megaterium to identify their binding interactions” with “‪In addition to that, the compounds were tested in vitro against Gram-negative and positive ‪bacteria and two fungi.
Reviewer_3	Author	1	9	0	2	Molecular ‪docking was used to study the molecular behavior of L1 and L2 against tyrosinase from Bacillus megaterium.‪ Response:
Author	Reviewer_3	2	16	9	1	We appreciate the recommendation and corrected the section as below: This Section is corrected as “‪In addition to that, the compounds were tested in vitro against Gram-negative and positive ‪bacteria and two fungi.
Author	Reviewer_3	2	16	9	1	Molecular ‪docking was used to study the molecular behavior of L1 and L2 against tyrosinase from Bacillus megaterium.’’
Reviewer_3	Author	1	10	0	2	Section 2.3.1.
