side	opponent	round	number	attacks	ann	text
					0	Author Response Reply to Reviewer 1 The article: «Influence of nanoparticles and metal vapors on the color of laboratory and atmospheric discharges» Authors: Victor Tarasenko, Nikita Vinogradov, Dmitry Beloplotov, Alexander Burachenko, Mikhail Lomaev, and Dmitry Sorokin Submission Date: 14 December 2021 Date of this review 29 Dec 2021 14:04:26 Comments to the Authors The article is devoted to the study of the influence of nanoparticles and metal vapors on the color of laboratory and atmospheric plasma discharges.
					0	The article may be of interest, but for researchers in the field of plasma physics and gas discharges.
					0	Of course, the article discusses the effect of particles, including possibly nanoparticles, on the discharge glow, but the article is not suitable for the journal's topics.
					0	Reply:
Author	Reviewer_3	2	10	3	1	The manuscript has been revised.
Author	Reviewer_3	2	8	1	1	Several references was added.
					0	We hope that the results presented in the article will also be of interest to researchers who deal with micro and nanoparticles in traditional areas of nanomaterial physics [1-8].
					0	Edits in the text are highlighted in either yellow or red font.
					0	In addition, there are comments on the research methodology and interpretation of research on the article itself.
					0	Here are some of them: 1)
Reviewer_1	Author	1	1	0	2	Of course, metal vapors, nano- and micro-particles can affect the characteristics of the discharge.
Reviewer_1	Author	1	1	0	2	This is known from numerous studies of simpler and more understandable plasma objects such as glow discharge and arc.
Reviewer_1	Author	1	1	0	2	Similar studies and comparisons with known experimental data could be carried out on these objects.
Reviewer_1	Author	1	1	0	2	In this connection, the use of high-voltage pulse discharges is not justified.
Reviewer_1	Author	1	1	0	2	The authors draw an analogy with the formation of sprites, then, in my opinion, the study would be more suitable for another journal related, for example, atmospheric research.
					0	Reply:
Author	Reviewer_1	2	1	1	1	Our studies have shown that the effect of metal vapors on the color of the discharge plasma is much greater in the case of a pulsed breakdown in a nonuniform electric field.
Author	Reviewer_1	2	1	1	1	This made it possible to compare with the color of various discharges occurring in the upper atmosphere (Figure 1 in the text of the article).
Author	Reviewer_1	2	1	1	1	Even with well-studied discharges, it is very difficult to obtain such results.
Author	Reviewer_1	2	1	1	1	Thus, during an arc discharge, although there is a strong evaporation of the electrodes and the ejection of particles of various sizes, the voltage across the gap is low and the discharge in metal vapors outside the high-temperature arc channel is practically absent.
Author	Reviewer_1	2	1	1	1	Under these conditions, broadband Planck radiation from the arc channel plasma is observed.
Author	Reviewer_1	2	1	1	1	In a glow discharge, the sputtering of the electrodes has a low rate, and the emission spectra of the plasma of such discharges contain atomic and molecular transitions of the gases used.
Author	Reviewer_1	2	1	1	1	In the investigated mode, metal vapors are produced and excited by a pulsed discharge.
					0	2)
Reviewer_1	Author	1	2	0	2	The article is more descriptive in nature, there is no explanation of physical laws, but which are misleading readers.
Reviewer_1	Author	1	2	0	2	"For instance: Lines 168, 169 ""An increase in the track brightness is apparently determined by an increase in the particle charge and size due to the evaporation of metal from the surface."""
Reviewer_1	Author	1	2	0	2	One can agree with the influence of the particle size on the track size, but how can an increase in the particle charge affect the track glow?
					0	Reply:
Author	Reviewer_3	2	10	3	1	This judgment was removed from the text of the manuscript.
Reviewer_1	Author	1	2	0	2	Lines 173-175 «Based on the brightness of the track glow, the plasma concentration at the particle surface increases with distance from the cathode.» Again, it is not clear how the plasma density on the particle surface can affect the brightness of the track glow.
					0	Reply:
Author	Reviewer_1	2	2	2	1	Plasma concentration discussions have been removed from the text because no such measurements have been made.
Author	Reviewer_1	2	2	2	1	The nature of the glow of the particles in Figure 3 corresponds to the glow of a micrometeorite that burns down in the Earth's atmosphere [13] and [http://galaxy.astron.kharkov.ua/statti/meteor.htm].
Author	Reviewer_1	2	2	2	1	The brightness of the micrometeorite (the particle) glow increases towards the track’s end.
Author	Reviewer_1	2	2	2	1	This cannot be explained by an increase in the particle velocity, since the particle stops.
Author	Reviewer_1	2	2	2	1	This occurs after the voltage pulse action.
Author	Reviewer_1	2	2	2	1	We believe that an increase in the radiation intensity of the particle is due to its heating during deceleration on gas particles.
Author	Reviewer_1	2	2	2	1	The text of the article has been revised.
Reviewer_1	Author	1	2	0	2	Such inaccuracies are found throughout the text.
Reviewer_1	Author	1	3	0	2	In this regard, I would recommend that the authors revise the article (taking into account their colossal authority in the scientific community and the possibility of conducting more thorough experimental research) and send the article to a more specialized journal.
					0	Reply:
