side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.docx
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.docx
Reviewer_1	Author	1	1	0	2	What was the definition of visual field loss that defined glaucoma?
Reviewer_1	Author	1	2	0	2	Was glaucoma also defined by an objective finding, such as the optic disc finding or imaging of the optic disc?
Reviewer_1	Author	1	3	0	2	Were the incident cases of glaucoma or controls being treated in any case prior to their diagnoses?
Reviewer_1	Author	1	4	0	2	""" As we did not observe an association between dietary nitrate intake and IOP, nitrate may protect against glaucoma via other, IOP-independent, mechanisms. """
Reviewer_1	Author	1	4	0	2	"The authors should avoid making statements such as ""nitrate is protective"" since what they have found is a statistical association."
Reviewer_1	Author	1	5	0	2	There is very little association between ischemia--reperfusion and glaucoma pathogenesis hence the statements on page nine are irrelevant.
Reviewer_1	Author	1	6	0	2	If I am calculating correctly it has been over 20 years since the incident cases average followup occurred, that is 10-20 years after the start of a study in 1991.
Reviewer_1	Author	1	6	0	2	How much might the diet of persons in this population have changed since then?
Reviewer_1	Author	1	6	0	2	Thus, is this study still relevant to today?
Reviewer_1	Author	1	6	0	2	30 years ago eating more vegetables was not the vogue it is today.
Reviewer_1	Author	1	7	0	2	This study would have been that much stronger if a follow-up food questionnaire had been administered.
Reviewer_1	Author	1	7	0	2	The long space between the questionnaire and the incidence of glaucoma (only mentioned at the last part of the limitations) is quite a major limitation.
Reviewer_1	Author	1	8	0	2	Past studies of the Rotterdam population mention several other risk factors which were not taken into account in this study including myopia, cup-to-disc ratio, and family history of glaucoma, as well as other features such as exfoliation.
Reviewer_1	Author	1	8	0	2	How big is the nitrate association compared to these?
Reviewer_1	Author	1	9	0	2	Overall the finding seems to be an association without a rationale since in effect of nitric oxide presumably related to past nitrate intake would, by their own discussion, change eye pressure or blood pressure yet neither variable was associated with the incident glaucoma.
Reviewer_2	Author	1	1	0	2	The authors have conducted a case-control analysis based on a large epidemiological prospective study and investigated an association between dietary nitrate intake and incidence of OAG.
Reviewer_2	Author	1	1	0	2	The study has been well planned and performed.
Reviewer_2	Author	1	1	0	2	Chapter Material and Methods contain all necessary information.
Reviewer_2	Author	1	1	0	2	The writing is of perfect quality and the results are clearly presented.
Reviewer_2	Author	1	1	0	2	The results and conclusions of this study are important.
Reviewer_2	Author	1	2	0	2	I would only like to ask about one fact that I find intriguing.
Reviewer_2	Author	1	2	0	2	The authors have found that participants without OAG had a significantly higher BMI than those with OAG.
Reviewer_2	Author	1	2	0	2	Their mean BMI was found to be 27.1 kg/m2 which is considered overweight.
Reviewer_2	Author	1	2	0	2	Lower risk of OAG would be related to a higher total dietary nitrate intake.
Reviewer_2	Author	1	2	0	2	“Previous research has shown that a higher dietary nitrate intake was associated with significantly wider retinal arterioles.
Reviewer_2	Author	1	2	0	2	[46] Widening of retinal arteriolar caliber is not only associated with lower risk of cardiovascular and cerebrovascular diseases [47,48], but also with lower risk of glaucoma”.
Reviewer_2	Author	1	2	0	2	On the other hand, “compared with individuals with a normal BMI (defined as a BMI of 18.5 to 24.9), lifetime risks for incident CVD [cardiovascular disease] were higher in middle-aged adults in the overweight and obese groups” Khan SS, Ning H, Wilkins JT, et al.
Reviewer_2	Author	1	2	0	2	Association of Body Mass Index With Lifetime Risk of Cardiovascular Disease and Compression of Morbidity.
Reviewer_2	Author	1	2	0	2	JAMA Cardiol.
Reviewer_2	Author	1	2	0	2	2018;3(4):280–287.
Reviewer_2	Author	1	2	0	2	doi:10.1001/jamacardio.2018.0022 I wonder if the authors could comment on this in the Discussion.
					0	"Reviewer #1 We would like to thank the reviewer for reviewing our manuscript entitled “Dietary nitrate intake is associated with decreased incidence of open-angle glaucoma: The Rotterdam Study"" (MS# nutrients-1760125)."
					0	We appreciate the critical review and suggestions to improve our manuscript.
					0	Enclosed please find our revised manuscript, which incorporates the comments and suggestions of both reviewers.
					0	In this letter we will address the comments of reviewer #1 point by point.
					0	What was the definition of visual field loss that defined glaucoma?
Author	Reviewer_1	2	1	1	1	The definition of glaucomatous visual field loss was elaborated in the corresponding reference.
Author	Reviewer_1	2	1	1	1	However, we agree that we were very brief in explaining glaucomatous visual field loss in the manuscript.
Author	Reviewer_1	2	1	1	1	Therefore we made the following changes to elaborate: In lines 89-98, we changed: “iOAG was defined as glaucomatous visual field loss in at least one eye with reproducibility of the defect, independent of IOP” To: “All participants underwent visual field testing using the Humphrey Field Analyzer (HFA; Carl Zeiss Meditec, Jena, Germany).
Author	Reviewer_1	2	1	1	1	A second supra-threshold test was performed when a visual field defect appeared to be present.
Author	Reviewer_1	2	1	1	1	Details have been described elsewhere.
Author	Reviewer_1	2	1	1	1	[1] If the second supra-threshold test showed at least one overlapping abnormality in the same hemifield, Goldmann kinetic perimetry (RS-I-1 and RS-I-3; Haag-Streit) or full-threshold HFA (all other cohort visits) was performed on both eyes.
Author	Reviewer_1	2	1	1	1	If abnormalities were consecutive and reproducible, thus present on the Goldmann or full-threshold test and on both supra-threshold tests, visual field loss was considered to be present.
Author	Reviewer_1	2	1	1	1	Defects had to be in a consistent hemifield and a least one depressed test point had to have exactly the same location on all fields.” In lines 98-100, we changed: “All other possible causes of visual field loss were excluded.” To: “Glaucoma specialists examined fundus photographs, ophthalmic examination reports, medical histories, and MRI scans of the brain to exclude all other possible causes of visual field loss.
Author	Reviewer_1	2	1	1	1	Discrepancies were resolved by consensus.” In lines 103-104, we added: “For IOP, three measurements were taken from each eye, of which the median value was recorded.
Author	Reviewer_1	2	1	1	1	[2] For iOAG cases, we used IOP measurements of the affected eye.
Author	Reviewer_1	2	1	1	1	If both eyes were affected or unaffected, a random eye was selected.
Author	Reviewer_1	2	1	1	1	IOP was not included in the definition of iOAG.” Was glaucoma also defined by an objective finding, such as the optic disc finding or imaging of the optic disc?
Author	Reviewer_1	2	2	2	1	OCT images were taken with SD-OCT (Topcon Corp., Tokyo, Japan) since 2007.
Author	Reviewer_1	2	2	2	1	This means that OCT images are not available for the first four visits of RS-I, and the first two visits of RS-II.
Author	Reviewer_1	2	2	2	1	Additionally, only part of the images are focused on the disc and even less are reliably segmented.
Author	Reviewer_1	2	2	2	1	Fundus images were available and were used rather to exclude other cases of visual field loss in participants that showed visual field defects than to observe optic disc abnormalities.
					0	Were the incident cases of glaucoma or controls being treated in any case prior to their diagnoses?
Author	Reviewer_1	2	3	3	1	Thank you for this comment.
Author	Reviewer_1	2	3	3	1	We understand that it might be useful to present the number of treated glaucoma cases in our baseline characteristics table.
Author	Reviewer_1	2	3	3	1	Unfortunately, detailed information on prior treatment/surgery for glaucoma is limited (only present for RS-I), and therefore we did not include this variable as covariate in our models.
Author	Reviewer_1	2	3	3	1	It is thus possible that incident glaucoma cases have received treatment for glaucoma in between two research visits.
Author	Reviewer_1	2	3	3	1	However, since all participants were (confirmed by examination) free of OAG at baseline, treatment for glaucoma could not have been longer than maximum of one follow-up visit.
Author	Reviewer_1	2	3	3	1	Although not having this data is a limitation of this study, we do not think it is an important confounding factor, since we do not expect that glaucoma treatment would influence one’s diet.
Author	Reviewer_1	2	3	3	1	More importantly, dietary information was collected at baseline, with all participants free of OAG.
Author	Reviewer_1	2	3	3	1	Therefore, if glaucoma presence or glaucoma treatment would have an effect on dietary intake, this would not be applicable in our study.
Author	Reviewer_1	2	3	3	1	We have added a short sentence explaining this in lines 312-316 of the manuscript.
					0	"""As we did not observe an association between dietary nitrate intake and IOP, nitrate may protect against glaucoma via other, IOP-independent, mechanisms."""
					0	"The authors should avoid making statements such as ""nitrate is protective"" since what they have found is a statistical association."
Author	Reviewer_1	2	4	4	1	We agree that, although our findings confirm earlier reported associations between dietary nitrate intake and OAG, intervention studies are necessary to investigate and confirm the association between dietary nitrate intake and iOAG.
Author	Reviewer_1	2	4	4	1	Therefore, we will change all references to “protective (effect)” to “association/associated with”.
					0	There is very little association between ischemia--reperfusion and glaucoma pathogenesis hence the statements on page nine are irrelevant.
Author	Reviewer_1	2	5	5	1	Thank you for this suggestion.
Author	Reviewer_1	2	5	5	1	Although the evidence for the association between ischemia--reperfusion and glaucoma pathogenesis might be scarce, this is only one possible pathway that is addressed in explaining the inverse association between dietary nitrate intake and glaucoma incidence.
Author	Reviewer_1	2	5	5	1	Nevertheless, we will adjust the manuscript (lines: 271-288) so that this statement is less strong and the focus is more on (a combination with) other pathways, rather than this pathway alone.
					0	If I am calculating correctly it has been over 20 years since the incident cases average followup occurred, that is 10-20 years after the start of a study in 1991.
					0	How much might the diet of persons in this population have changed since then?
					0	Thus, is this study still relevant to today?
					0	30 years ago eating more vegetables was not the vogue it is today.
Author	Reviewer_1	2	6	6	1	We agree that the baseline dates of all three cohorts (RS-I, 1991-1993; RS-II, 2000-2001; RS-III, 2006-2008) are already quite some years ago and that dietary patterns in general have changed over time.
Author	Reviewer_1	2	6	6	1	However, since dietary recommendations are not standard of care for glaucoma patients, we believe that this would likely lead to non-differential misclassification (that causes a bias towards the null hypothesis), since we would expect that glaucoma cases would change their diet similarly to our control population and vice versa.
Author	Reviewer_1	2	6	6	1	We thus feel that this study and its findings are still highly relevant today since nutrition has become ever more important in medical sciences.
Author	Reviewer_1	2	6	6	1	Ophthalmology is one of the disciplines which has gained enormous insights from these recent developments.
Author	Reviewer_1	2	6	6	1	However, to date, no nutritional recommendations have been made for glaucoma patients and research into the association between nutrition (on each level, e.g.
Author	Reviewer_1	2	6	6	1	diets, food groups, nutrients) and glaucoma is scarce.
Author	Reviewer_1	2	6	6	1	If associated, this may support diet recommendations in patients that show first signs of developing glaucoma and/or people at-risk for glaucoma as well, impacting millions of people worldwide.
Author	Reviewer_1	2	6	6	1	Especially since diet changes into a vegetarian of vegan diet are becoming more popular, we think that understanding the potential beneficial effects of these changes, thus the effects of vegetables and their nutrients, is more important than ever.
Author	Reviewer_1	2	6	6	1	We do agree that these findings should be replicated or validated in another (preferably, an intervention study) study before dietary nitrate intake should be considered as an important public health implication.
Author	Reviewer_1	2	6	6	1	To address your question about the change of dietary patterns over time more thoroughly: Dinnisen et al.
Author	Reviewer_1	2	6	6	1	[6] recently published an article in Nutrients where they described changes in dietary intakes of Dutch adults between 2007-2010 and 2012-2016, and evaluated these changes by age, gender, and education.
Author	Reviewer_1	2	6	6	1	They demonstrated that there was no significant increase in vegetable intake for Dutch adults aged 19–69 years between 2007–2010 (n = 2106; DNFCS 2007–2010) and 2012–2016 (n = 1540; DNFCS 2007–2010) for the total population.
Author	Reviewer_1	2	6	6	1	There was also no difference when they compared the change in vegetable intake over time per sex or per age category (51-69 years being closest to the baseline age used in our study).
Author	Reviewer_1	2	6	6	1	Only in the group with the highest educational level, the mean consumption of vegetables increased over time.
Author	Reviewer_1	2	6	6	1	However, since there was no significant difference in education level in our study between cases and controls (Table 1), we assume that changes in vegetable intake would be similar between both groups, leading to non-differential misclassification.
Author	Reviewer_1	2	6	6	1	Moreover, we adjusted for education level in our additional model.
Author	Reviewer_1	2	6	6	1	Regarding dietary nitrate intake from non-vegetable sources, this article states that the intake of red or processed meat decreased over time.
Author	Reviewer_1	2	6	6	1	This was applicable to both males and females and seen for all age groups.
Author	Reviewer_1	2	6	6	1	Again, we would expect that this decrease is similar for glaucoma cases and controls.
Author	Reviewer_1	2	6	6	1	Another Dutch study [7], starting in 1986 (which is more close to the first visit of RS-I) stated that “Another potential limitation that should be considered is whether the food frequency questionnaire at baseline was a reliable estimate of past and future diet.
Author	Reviewer_1	2	6	6	1	The stability of dietary habits over time was evaluated from five annually repeated questionnaire administrations in independent random samples of the cohort.
Author	Reviewer_1	2	6	6	1	The mean intakes barely changed and the correlation between two measurements decreased only slightly over an increasing time interval.
Author	Reviewer_1	2	6	6	1	It was concluded that the single food frequency questionnaire measurement characterizes dietary habits for a period of at least 5 to 10 years.” [8] Nevertheless, since both studies are not directly translatable to the Rotterdam Study, we have assessed the association between the dietary nitrate intake and iOAG over cumulative follow-up periods to provide insight into the stability of the found estimates over time.
Author	Reviewer_1	2	6	6	1	Please see our comment regarding your next suggestion for more details.
					0	This study would have been that much stronger if a follow-up food questionnaire had been administered.
					0	The long space between the questionnaire and the incidence of glaucoma (only mentioned at the last part of the limitations) is quite a major limitation.
Author	Reviewer_1	2	7	7	1	We agree that the lack of follow-up food questionnaires is a major limitation of this study.
Author	Reviewer_1	2	7	7	1	Please find an additional supplementary figure (Figure S1; original Figure S1 has now become Figure S2) below and in the supplements of the manuscript, to show that we assessed the association between the dietary nitrate intake and iOAG over cumulative follow-up periods (x-axis) to provide insight into possible reversed causality.
Author	Reviewer_1	2	7	7	1	The persistence of the association over time implies that reverse causality is unlikely.
Author	Reviewer_1	2	7	7	1	The effect of (baseline) dietary nitrate intake on glaucoma appears to be relatively stable over time.
Author	Reviewer_1	2	7	7	1	We therefore consider our results reliable, although we agree limitations are present and these findings should be interpreted with caution.
Author	Reviewer_1	2	7	7	1	In addition to the new supplementary figure, we have added information about this analysis to the methods (lines 152-153), results (209-211), and discussion (296-298).
					0	Figure S1.
					0	Multivariable-adjusted odds ratios with corresponding 95% confidence intervals (CIs) for incident open-angle glaucoma per 10 gram/day increase in total dietary nitrate intake (A), nitrate intake from vegetables (B), and nitrate intake from non-vegetable food sources (C), shown per cumulative follow-up interval.
					0	Model 1: adjusted for body mass index, total energy intake, diet quality, physical activity, and follow-up time.
					0	Model 2: model 1 additionally adjusted for intraocular pressure.
					0	Model 3: model 1 additionally adjusted for education level and smoking status.
					0	Past studies of the Rotterdam population mention several other risk factors which were not taken into account in this study including myopia, cup-to-disc ratio, and family history of glaucoma, as well as other features such as exfoliation.
					0	How big is the nitrate association compared to these?
Author	Reviewer_1	2	8	8	1	Thank you very much for assessing the covariates included in these analyses so thoroughly.
