side	opponent	round	number	attacks	ann	text
					0	Author Response Responses to Reviewer 1 We appreciate your review of our manuscript and constructive comments and suggestions.
Author	Reviewer_1	8	2	2	1	Our responses to your comments are as follows.
					0	1)
Reviewer_1	Author	1	1	0	2	In general, the manuscript refers often to PGRMC1 expression or downregulation.
Reviewer_1	Author	1	1	0	2	These are fuzzy terms for proteins.
Reviewer_1	Author	1	1	0	2	It is much preferable to refer to protein abundance, and changes in abundance.
Reviewer_1	Author	1	1	0	2	Such changes may occur at the translational or post-translational level.
Reviewer_1	Author	1	1	0	2	Translational level changes can be due to changed levels of transcription, to altered mRNA stability (such as that proposed here for miR-98), or to altered efficiency of translation of a steady state mRNA pool.
Reviewer_1	Author	1	1	0	2	The authors are strongly advised to change from e.g.
Reviewer_1	Author	1	1	0	2	‘expression’ to ‘abundance’ throughout.
					0	>>
Author	Reviewer_1	2	1	1	1	We agree with your comments.
Author	Reviewer_1	2	1	1	1	The term ‘expression’ has, therefore, been changed to ‘abundance’ or ‘level’ throughout the manuscript.
					0	2)
Reviewer_1	Author	1	2	0	2	Additionally, the methods do not say that all results were repeated at least once, and that a representative results figure is presented.
Reviewer_1	Author	1	2	0	2	Therefore, the reviewer assumes that experiments have only been performed once.
Reviewer_1	Author	1	2	0	2	The entire set of experiments needs to be replicated to demonstrate reproducibility before it can be considered to publish these results.
					0	>>
Author	Reviewer_1	2	2	2	1	All experiments were repeated at least two times.
Author	Reviewer_1	2	2	2	1	We have failed the description regarding the reproducible results in the previously submitted manuscript, and so revised the section of the methods in the revised manuscript (Page 4, lins143-143).
					0	3)
Reviewer_1	Author	1	3	0	2	Line 24.
Reviewer_1	Author	1	3	0	2	AG-205.
Reviewer_1	Author	1	3	0	2	The authors must refer to the fact that AG-205 is not specific for PGRMC1, contrary to many citations in the literature (such as would be the case here, if uncorrected).
Reviewer_1	Author	1	3	0	2	Cite PMID: 34944026, PMID: 34680104, PMID: 32924377.
Reviewer_1	Author	1	3	0	2	Sensitivity of a phenomenon to AG-205 is consistent with possible PGRMC1 involvement, but does not demonstrate PGRMC1 involvement.
