side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment Author Response File: Author Response.docx
					0	Author Response Please see the attachment Author Response File: Author Response.docx
					0	Author Response Please see the attachment Author Response File: Author Response.docx
					0	Author Response See attachment Author Response File: Author Response.docx
					0	Author Response See attachment Author Response File: Author Response.docx
Reviewer_1	Author	1	1	0	2	This paper seeks to develop the notion of a Natural Social Contract (NSC) to enable transformative governance based on co-evolution.
Reviewer_1	Author	1	1	0	2	In a nutshell, to quote, the NSC “involves the fine-tuning of top-down policy and visions with important bottom-up processes (…), and takes place in a hybrid sphere, in which there is room for collaboration between governments, businesses, knowledge institutions and civil society, among others, characterized by Penta-helix models and based on multiple value creation”.
Reviewer_1	Author	1	1	0	2	Because of this collaborative, polycentric approach, the papers draw on Evolutionary Governance Theory, and develops a perspective of “co-evolutionary steering of interrelated transitions”.
Reviewer_1	Author	1	1	0	2	The paper’s aspiration is clear and laudable; yet its elaboration is wanting.
Reviewer_1	Author	1	1	0	2	My recommendation therefore leans towards a strong ‘revise and resubmit’, based on these five points.
Reviewer_1	Author	1	2	0	2	First, my main problem is that the paper reads as a compilation of manifestos, rather than one argumentative thread.
Reviewer_1	Author	1	2	0	2	From begin to end, the paper presents a mix of literature review and substantive argumentation, plus some examples.
Reviewer_1	Author	1	2	0	2	My recommendation is to set out a clearer agenda, in which the first part delves into the literature to explain the key issue, key concepts and key dilemmas, and a second part presents solutions and directions meeting the key questions and dilemmas.
Reviewer_1	Author	1	2	0	2	In brief, the paper warrants more focus, edge and structure.
Reviewer_1	Author	1	3	0	2	A second point is the limited elaboration of the social contract, including the natural aspect.
Reviewer_1	Author	1	3	0	2	A social contract, as explained, consists of a consensual, value-based deal underpinning an institutional governance arrangement.
Reviewer_1	Author	1	3	0	2	Fig2.
Reviewer_1	Author	1	3	0	2	moreover, details many aspects.
Reviewer_1	Author	1	3	0	2	What remains unclear and implicit, however, is the form and operationalisation of such contract.
Reviewer_1	Author	1	3	0	2	How is the social contract articulated; how is consent manifested?
Reviewer_1	Author	1	3	0	2	How does one conceive and apply natural ‘design principles’ (669)?
Reviewer_1	Author	1	3	0	2	This also involves a question of scale: how do agreements at project level chime with societal notions of Social Contracts?
Reviewer_1	Author	1	3	0	2	How does a project mission contribute to a broader social contract?
Reviewer_1	Author	1	3	0	2	Much of the joining forces in the hybrid sphere between institutional domains may be primarily instrumental (pooling resources, aligning interests, preventing holdups), below the scope of an (aspired) social contract.
Reviewer_1	Author	1	3	0	2	What kind of hybrid practices gave shape to the latter?
Reviewer_1	Author	1	3	0	2	And how then is the aspect of nature taken on board?
Reviewer_1	Author	1	4	0	2	A third point concerns the link between theory and practice.
Reviewer_1	Author	1	4	0	2	The paper’s general, theoretical story is very broad and ambitious, using an extensive, abstract and complex vocabulary.
Reviewer_1	Author	1	4	0	2	Much of this, moreover, is action-oriented, pointing out major carriers and direction of change.
Reviewer_1	Author	1	4	0	2	Two cases serve as quick illustrations, loosely underwriting some key statements.
Reviewer_1	Author	1	4	0	2	This presents, in my view, too much of a gap.
Reviewer_1	Author	1	4	0	2	The paper could do more to translate the general aspects of transformative governance into more specific project aspects, as an evaluative framework for debating the cases.
Reviewer_1	Author	1	5	0	2	Fourth, the section on co-evolution warrants serious re-thinking.
Reviewer_1	Author	1	5	0	2	Rather than elaborating the notion and development of NSC, this section largely discusses co-evolutionary approaches, with emphasis on discursive aspects (e.g., metaphors, open concepts and master signifiers).
Reviewer_1	Author	1	5	0	2	While the section aims to uncover the generative mechanisms behind a ‘transition to a Natural Social Contract’, it lacks focus and thread.
Reviewer_1	Author	1	5	0	2	In the section, NSC is presented as a ‘master signifier’ (345) and the orientation of governance actors (536) towards the ‘well-being economy’ (Table 1); NSC is also associated with alternative business models (443) and integral and robust forms of transition (554-581); NSC is said to need horizonal governance as well as Transformative Social-Ecological Innovation (TSEI).
Reviewer_1	Author	1	5	0	2	This raises two basic problems.
Reviewer_1	Author	1	5	0	2	One, the definition and position of NSC in this conceptual medley remains vague.
Reviewer_1	Author	1	5	0	2	Two, the nature and form of evolutionary variation, selection and dynamics remain unclear.
Reviewer_1	Author	1	5	0	2	Co-evolution is now associated with all kinds of change-in-tandem, social-sustainable, different institutional actors, discursive items, etc.
Reviewer_1	Author	1	5	0	2	One wonders whether the notion of transformative change really warrant this evolutionary perspective.
