side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment Author Response File: Author Response.pdf
					0	Author Response Please see the attachment Author Response File: Author Response.pdf
					0	Author Response Please see the attachment Author Response File: Author Response.pdf
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.pdf
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.pdf
					0	So, I like this article.
					0	I think it synthesizes some important and useful literatures, and has some useful points to make.
					0	That said, I think it requires some tweaks to make it as effective as it could be.
					0	Broadly, those are as follows: 1)
Reviewer_1	Author	1	1	0	2	The abstract is very confusingly written and needs a lot of editing.
Reviewer_1	Author	1	1	0	2	This is the place where the story must be told as simply and clearly as possible, and I think a lot of the abstract is confusing and hard to interpret.
					0	2)
Reviewer_1	Author	1	2	0	2	I have some theoretical questions about the applicability of these approaches outside of Korea.
Reviewer_1	Author	1	2	0	2	For technical reasons (most smart cities have less capability and are less developed than Korean ones), but especially for legal and normative reasons (concerns about surveillance, governance, cybersecurity, etc.)
Reviewer_1	Author	1	2	0	2	I think many cities and countries will not be comfortable with this approach.
Reviewer_1	Author	1	2	0	2	I think this needs some exploration.
					0	3)
Reviewer_1	Author	1	3	0	2	I'd argue that one of the areas in which Smart City applications (in particular) and urban automation (in general) have been most important during the COVID pandemic - the monitoring of sewage and wastewater for population level assessment of infection - isn't even mentioned.
Reviewer_1	Author	1	3	0	2	I think that is both a big oversight, and an opportunity for critics.
Reviewer_1	Author	1	3	0	2	I think that piece needs to be included and worked into any assessment of smart cities and pandemics.
Reviewer_1	Author	1	3	0	2	Additionally, I've included a few other pieces on COVID and smart cities.
					0	1) Confusing or awkward wording in the abstract:
Reviewer_1	Author	1	4	0	2	“Additionally, smart city services couldn`t respond in-time series” (is this time series in the statistical sense?
Reviewer_1	Author	1	4	0	2	Just meaning sequential?)
Reviewer_1	Author	1	5	0	2	“a method responding in-time sequential by flexibly combining” “Second, flexible smart city services are combined and deleted as needed to cope with COVID-19 has 17 been summarized.
Reviewer_1	Author	1	6	0	2	Third, smart city services should only be used to cope with pandemic situations: 18 the healthcare-system data consists of personal information.
Reviewer_1	Author	1	6	0	2	Therefore, smart city services respond- 19 ing COVID-19 must exist as a flexible.” 2) Theoretical/Substantive questions:
Reviewer_1	Author	1	7	0	2	(pg2) Does the use of police/telecom monitoring of patients translate out of the Korean context?
Reviewer_1	Author	1	7	0	2	(i.e.
Reviewer_1	Author	1	7	0	2	would it be constrained by laws and norms elsewhere?)
Reviewer_1	Author	1	7	0	2	And what are the implications of this.
Reviewer_1	Author	1	8	0	2	(pg3) Tables 1 is interesting, but it’s not clear the source of the data.
Reviewer_1	Author	1	8	0	2	Is this from the literature?
Reviewer_1	Author	1	8	0	2	(if so, needs sourcing), or a synthesis by the authors?
					0	This may be because of the error message in sourcing in the document I received.
Reviewer_1	Author	1	9	0	2	(pg4) Table 3 isn’t clear to me.
Reviewer_1	Author	1	9	0	2	What is “EA”?
Reviewer_1	Author	1	9	0	2	Not spelled out.
Reviewer_1	Author	1	10	0	2	(pg5) Table 4 is very useful.
Reviewer_1	Author	1	11	0	2	(pg14) “such services should be flexibly used only during a national crisis and removed when the service is no longer needed.” Is this likely to happen?
Reviewer_1	Author	1	11	0	2	Are there concrete examples of such systems being built and operated, then just turned off?
Reviewer_1	Author	1	11	0	2	Who would oppose turning them off?
Reviewer_1	Author	1	11	0	2	(I’d imagine many stakeholders) 3) Key missing components/literatures:
Reviewer_1	Author	1	12	0	2	Smart City and COVID
Author	Reviewer_1	2	12	12	1	Webb, W., & Toh, C. K. (2020).
Author	Reviewer_1	2	12	12	1	The smart city and COVID‐19.
Author	Reviewer_1	2	12	12	1	IET Smart cities, 2(2), 56-57. Inn, T. L. (2020).
Author	Reviewer_1	2	12	12	1	Smart city technologies take on COVID-19.
Author	Reviewer_1	2	12	12	1	World Health, 841. Sharifi, A., Khavarian-Garmsir, A. R., & Kummitha, R. K. R. (2021).
Author	Reviewer_1	2	12	12	1	Contributions of smart city solutions and technologies to resilience against the COVID-19 pandemic: a literature review.
Author	Reviewer_1	2	12	12	1	Sustainability, 13(14), 8018. Gusikhin, O. (2020).
Author	Reviewer_1	2	12	12	1	The Impact of COVID-19 Experience on Smart City and Future Mobility.
Author	Reviewer_1	2	12	12	1	In Smart Cities, Green Technologies, and Intelligent Transport Systems (pp.
Author	Reviewer_1	2	12	12	1	308-321).
Author	Reviewer_1	2	12	12	1	Springer, Cham.
