side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.pdf
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.pdf
					0	Mycotoxin deoxynivalenol (DON) contamination of wheat and other grains has been a concern of food safety.
					0	Minimizing DON contamination in grains is a major goal of Fusarium Head Blight (FHB) research community.
					0	While DON concentrations in grains are usually correlated with disease severity, high DON levels have been observed in asymptomatic kernels.
					0	Studies show that infection timing has effect on disease severity and DON distribution in wheat spikes, and a late infection is an important factor for high DON levels found in healthy-looking kernels.
					0	Authors in this manuscript report that DON accumulation in wheat grain is affected by inoculation methods (infection points).
					0	Among the three methods used, the upper bilateral floret injection (UBFI) maximizes DON accumulation in grain and significantly distinguishes DON content in different wheat genotypes, indicating that the method could be useful for breeding program to develop wheat cultivars with resistance to DON accumulation.
					0	I would like to recommend its acceptance for publication.
					0	The following are some comments and suggestions.
					0	1.
Reviewer_1	Author	1	1	0	2	I would like to suggest authors label inoculation points in Figure 1, which could give readers a clear view of three different inoculation methods.
					0	2.
Reviewer_1	Author	1	2	0	2	Line 142: “proportion of PPSD” should be “proportion of PSD or PPSD”.
					0	3.
Reviewer_1	Author	1	3	0	2	Line 143: “PPSD-premature spike death” should be “PPSD-proportion of premature spike death”.
					0	4.
Reviewer_1	Author	1	4	0	2	Lines 168 - 169: Should it be that DON content of most lines without Fhb1 exceeded 1000 µg/kg under UBFI?
Reviewer_1	Author	1	4	0	2	Where is 4224.38 µg/kg in Table 1?
Reviewer_1	Author	1	4	0	2	Do you mean in Table S1?
					0	5.
Reviewer_1	Author	1	5	0	2	Lines 411 & 413: “PPSB” should be “PPSD”.
					0	6.
Reviewer_1	Author	1	6	0	2	Table S1: “PPSD - premature spike death” in the footnote should be “PPSD - proportion of premature spike death”.
					0	7.
Reviewer_1	Author	1	7	0	2	Fhb1- and Fhb1+ don’t appear in Table S1, so they can be removed from the footnote.
					0	The paper describes a set of experiments carried out in 2020 2021 on isogenic lines of wheat using different methods of Fusarium inoculation in order to assess the effect of Fusarium inoculation on FHB disease index and DON accumulation.
					0	The paper is of high interest for the community working on FHB and shows the importance of inoculation method on the results of disease and mycotoxin accumulation.
					0	It is clearly written so it is suitable for publication given some minor changes/modifications: 1)
Reviewer_2	Author	1	1	0	2	I would suggest to avoid citing supplementary figures at the beginning of the chapter.
Reviewer_2	Author	1	1	0	2	See for example chapter 2.4.
Reviewer_2	Author	1	1	0	2	Given that 2.4 chapter discusses data of supplementary figure 4 I would suggest to make figure S4 as Figure 4 of the manuscript.
					0	2)
Reviewer_2	Author	1	2	0	2	To futher clarify the infection methods a supplementary figure detailing graphically the modes of inoculation with figures would make the paper extremely useful for the community
					0	3)
Reviewer_2	Author	1	3	0	2	Identity of the strain used for infection should be confirmed: a multilocus species characterisation is needed to confirm the species of the strain or a reference to a publication where the strain was described and appropriately characterised.
					0	4)
Reviewer_2	Author	1	4	0	2	Mycotoxin data analysis should be provided (I guess is policy of mdpi to make raw data available together with the publication)
					0	1 Response to Reviewer 1 Comments Point 1: I would like to suggest authors label inoculation points in Figure 1, which could give readers a clear view of three different inoculation methods.
					0	Response 1:
Author	Reviewer_2	2	11	4	1	Thanks!
Author	Reviewer_1	2	1	1	1	the inoculation points were labeled with the red arrows in Figure 1 as suggested.
					0	Point 2: Line 142: “proportion of PPSD” should be “proportion of PSD or PPSD”.
					0	Response 2:
Author	Reviewer_1	2	2	2	1	Sorry for carelessness.
Author	Reviewer_1	2	2	2	1	We corrected it as suggested.
Author	Reviewer_1	2	2	2	1	(Pag.4 Line 157) Point 3: Line 143: “PPSD-premature spike death” should be “PPSD-proportion of premature spike death”.
					0	Response 3:
Author	Reviewer_1	2	7	7	1	Thanks.
Author	Reviewer_1	2	3	3	1	We revised the expression in the footnote of Table 1.
Author	Reviewer_1	2	3	3	1	(Pag.4 Line 158) Point 4: Lines 168 - 169: Should it be that DON content of most lines without Fhb1 exceeded 1000 µg/kg under UBFI?
					0	Where is 4224.38 µg/kg in Table 1?
					0	Do you mean in Table S1?
					0	Response 4: Thanks.
Author	Reviewer_1	2	4	4	1	we revised the sentence as “DON content of most lines without Fhb1 exceeded 1000 μg∙kg-1 under UBFI method (Figure 2), with the highest reaching 4224.38 μg∙kg-1 (Table S1)”.
Author	Reviewer_1	2	4	4	1	(Pag.5 Line 184-186) Point 5: Lines 411 & 413: “PPSB” should be “PPSD”.
					0	Response 5: Thanks.
Author	Reviewer_1	2	5	5	1	We corrected it.
Author	Reviewer_1	2	5	5	1	(Pag.11 Line 441 & 443) Point 6: Table S1: “PPSD - premature spike death” in the footnote should be “PPSD - proportion of premature spike death”.
					0	2 Response 6: Thanks.
Author	Reviewer_1	2	6	6	1	We revised the expression in the footnote of Table S1.
					0	Point 7: Fhb1- and Fhb1+ don’t appear in Table S1, so they can be removed from the footnote.
					0	Response 7: Thanks.
Author	Reviewer_1	2	7	7	1	We revised the annotations in Table S1.
					0	1 Response to Reviewer 2 Comments Point 1: I would suggest to avoid citing supplementary figures at the beginning of the chapter.
					0	See for example chapter 2.4.
					0	Given that 2.4 chapter discusses data of supplementary figure 4 would suggest to make figure S4 as Figure 4 of the manuscript.
					0	Response 1: Thanks!
Author	Reviewer_2	2	8	1	1	We agree with the reviewer’s comments and make Figure S4 as Figure 4 in this revised version.
					0	Point 2: To further clarify the infection methods a supplementary figure detailing graphically the modes of inoculation with figures would make the paper extremely useful for the community.
					0	Response 2: Thanks!
Author	Reviewer_2	2	9	2	1	We marked the inoculation sites with red arrows in Figure 1.
					0	Point 3: Identity of the strain used for infection should be confirmed: a multilocus species characterisation is needed to confirm the species of the strain or a reference to a publication where the strain was described and appropriately characterised.
					0	Response 3: Thanks!
Author	Reviewer_2	2	10	3	1	We added more details about the strain and cited the following paper.
