side	opponent	round	number	attacks	ann	text
					0	Author Response 1.
Reviewer_1	Author	1	1	0	2	The largest concern is regarding the colocalization of IFITM3 and Rab11A.
Reviewer_1	Author	1	1	0	2	It seems (as the authors state) that these represent abortive events (Figure 7).
Reviewer_1	Author	1	1	0	2	Therefore the inclusion of the movie examining the colocalization of Rab11A GFP, IFITM3-SNAP, and labeled virion seems completely unnecessary.
Reviewer_1	Author	1	1	0	2	In addition, the movie does not provide any details on cellular features and a viewer is left wondering where the foci are coming from and going.
Reviewer_1	Author	1	1	0	2	This reviewer suggests removing the movie or alternatively including labels on the movie of cellular features and including a scale bar.
Author	Reviewer_1	2	1	1	1	Following the suggestion of this reviewer, we have removed the movie in the revised version.
					0	2.
Reviewer_1	Author	1	2	0	2	Additional minor comments on the figures include: a.
Reviewer_1	Author	1	2	0	2	Supplemental figures should be included in the main text.
					0	The supplemental figures only include experiments that reproduce previously published work or are not absolutely necessary to support the major and most novel findings of the paper.
					0	We therefore suggest to keep these data in the supplement.
Author	Reviewer_2	2	10	5	1	If this is not acceptable we will make the changes in final revision.
Reviewer_1	Author	1	3	0	2	b.
Reviewer_1	Author	1	3	0	2	The NP stain in HSAEpCs is only shown to be cytoplasmic, inclusion of an uninfected control would demonstrate specificity of the staining.
Reviewer_1	Author	1	3	0	2	At later timepoints is the NP stain nuclear as expected, is this simply a delay in replication?
Author	Reviewer_1	2	3	3	1	We show indirect immunofluorescence analysis with anti-IFITM3 and anti-NP antibodies of HSAEpCs in Figure S6.
Author	Reviewer_1	2	3	3	1	No unspecific signal is detected in the cytosol of HSAEpCs, indicating that the observed cytoplasmic NP stain is specific.
Author	Reviewer_1	2	3	3	1	Nuclear NP stain is detected at 10 h p.i., and this may indeed indicate delayed replication compared to A549 cells as suggested by the reviewer, but no direct side-by-side comparison of replication kinetics in different cells was performed.
Reviewer_1	Author	1	4	0	2	c. Labels or zoomed out images from those presented in Figure 3 and 7 are needed to orient the reader to where within a cell the colocalization is observed.
Author	Reviewer_1	2	4	4	1	The IFITM3 images were acquired in the cytosol distant from the nucleus and absent from the plasma membrane.
Author	Reviewer_1	2	4	4	1	We included this information in the respective figure legend of Figure 3 and 7.
