side	opponent	round	number	attacks	ann	text
					0	Author Response Please see the attachment Author Response File: Author Response.docx
					0	Author Response
Author	Reviewer_4	4	7	7	1	Thank you very much for your kind reminder.
Author	Reviewer_2	2	8	1	1	We agree with the suggestion and comments of the reviewer.
Author	Reviewer_2	2	8	1	1	All comments have been revised one by one, and the modifications are highlighted in yellow in the marked revised manuscript.
Author	Reviewer_3	2	25	17	1	Two native English-speaking colleagues help us verify the manuscript.
Author	Reviewer_3	2	25	17	1	Hope the revised manuscript would be more satisfactory.
					0	Thanks again for your patient review.
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.docx
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.docx
					0	Author Response Thank you very much for your support and help.
					0	Author Response Thank you very much for your support and help.
					0	Author Response Please see the attachment.
					0	Author Response File: Author Response.docx
					0	The paper is interesting.I recommend publication only if the following issues can be addressed.
					0	-
Reviewer_1	Author	1	1	0	2	The innovation of this research needs to be better explored.
					0	- Lines 33-38: You should mention that discharge of PPCPs degrades water quality and thus it cannot be directly used for potable water (via desalination) and industrial applications.
Reviewer_1	Author	1	2	0	2	Cite the following references:
Reviewer_1	Author	1	2	0	2	Panagopoulos, A.
Reviewer_1	Author	1	2	0	2	(2021).
Reviewer_1	Author	1	2	0	2	Energetic, economic and environmental assessment of zero liquid discharge (ZLD) brackish water and seawater desalination systems.
Reviewer_1	Author	1	2	0	2	Energy Conversion and Management, 235.
					0	Panagopoulos, A. (2021).
Reviewer_1	Author	1	2	0	2	Techno-economic assessment of Minimal Liquid Discharge (MLD) treatment systems for saline wastewater (brine) management and treatment.
Reviewer_1	Author	1	2	0	2	Process Safety and Environmental Protection, 146, pp.
Reviewer_1	Author	1	2	0	2	656-669.
					0	Panagopoulos, A. (2021).
Reviewer_1	Author	1	2	0	2	Study and evaluation of the characteristics of saline wastewater (brine) produced by desalination and industrial plants.
Reviewer_1	Author	1	2	0	2	Environmental Science and Pollution Research, 1-14.
					0	-
Reviewer_1	Author	1	3	0	2	How many replications you performed for your experiments?
					0	-
Reviewer_1	Author	1	4	0	2	Conclusion: Discuss the applicability of your findings/results and future study in this field.
					0	-
Reviewer_1	Author	1	5	0	2	Conclusion: Make it as one or two paragraphs.
					0	-
Reviewer_1	Author	1	6	0	2	Language editing is recommended.
					0	-
