side	opponent	round	number	attacks	ann	text
					0	Author Response Reviewer #1:
Reviewer_1	Author	1	1	0	2	There is no sampling procedure, depth, or random selection of the soils evaluated.
					0	Response(R):
Author	Reviewer_1	2	1	1	1	Accepted and revised in L95-105.
Author	Reviewer_1	2	1	1	1	Five-point sampling method was used in both fields (0-20cm).
Author	Reviewer_1	2	1	1	1	A total of 5 topsoil samples in each field were taken using a stainless steel spade and mixed thoroughly.
Author	Reviewer_1	2	1	1	1	Afterwards the soil samples were chosen by quartation; Then plants’ debris and residues were removed.
Author	Reviewer_1	2	1	1	1	Finally soil samples were 0.3-mm sieved and stored in brown glass bottles at 4 °C.
Author	Reviewer_1	2	1	1	1	The following was the area that the Florida soil was collected.
Reviewer_1	Author	1	2	0	2	Is the explanation of χ is for molecular connectivity indices or branching index?
					0	R:
Author	Reviewer_1	2	2	2	1	It has been mentioned in L163-164 in the manuscript.
Author	Reviewer_1	2	2	2	1	Randic (1975) proposed molecular branching index χ, hereinafter referred to as simple molecular connectivity index (1995).
Author	Reviewer_1	2	2	2	1	Therefore, they are the same concept.
Author	Reviewer_1	2	2	2	1	[38] Randic M., Razinger M. (1995).
Author	Reviewer_1	2	2	2	1	Molecular Topograhic Indices.
Author	Reviewer_1	2	2	2	1	Journal of Chemical Information and computer Sciences.
Author	Reviewer_1	2	2	2	1	35: 140-147.
Author	Reviewer_1	2	2	2	1	[40] Randic M. (1975).
Author	Reviewer_1	2	2	2	1	On Characterization of molecular branching.
Author	Reviewer_1	2	2	2	1	Am.
Author	Reviewer_1	2	2	2	1	Chem.
Author	Reviewer_1	2	2	2	1	Soc.
Author	Reviewer_1	2	2	2	1	97: 6609-6615.
Author	Reviewer_1	2	2	2	1	The values obtained of I DW and steric hindrance are not explained.
					0	R:
Author	Reviewer_1	2	3	3	1	Accepted and revised in L157-160.
Author	Reviewer_1	2	3	3	1	Common topological indices, such as κ shape indices and information indices were also calculated by Molconn-Z (version 4.12S, eduSoft, La Jolla, CA).
