text,ann,mask_ann
"Section 2 on “Transformation pleas and approaches for achieving this” has been substantially revised and we discuss three models for working towards transitions: collaborative governance, evolutionary steering and adaptive governance.",1,1
"As mentioned above, we did not only choose sequences that had the same name, but groups of sequences that were monophyletic in the database tree.",1,1
Incidence of glaucomatous visual field loss after two decades of follow-up: the Rotterdam Study.,0,0
Finding an instrument for gender diversity becomes a concern of first importance.,1,1
Remaining Comments o,0,0
These variant interpretations were generally evidence based and well thought out.,0,0
Diet is only expected to influence 2 of these 5 dimensions.,0,0
What is your common cold lasted for ten months?,0,0
This is unclear in the paper - a methodology chapter/discussion is needed.,0,0
Line 53-55:,2,1
We believe that the reviewers' suggestions have been very helpful in improving the manuscript.,3,1
"On the other, the paper also refers to vested (eg ‘carbon’) interests (38, 619), strong voters’ resistance (574), policy holdups (507) and opposition from disadvantaged groups (118).",0,0
2.,0,0
"First, the principal-agent approach is only one of theoretical perspectives used to analyze nonprofit governance (Cornforth, 2004; Renz and Andersson, 2014).",0,0
Article should be in one pattern.,2,1
"If other people were present, did all of them have to be away or just the dog’s owner?",2,1
"In addition, the authors introduced an interaction effect between ´long COVID (yes/no) and gener (men/women) and found that men reported significantly higher psychological distress and higher fatigue than women but not for perceived stress.",0,0
"No technique is recommended, and the authors conclude that the methods are not interchangeable – not a novel finding.",0,0
"Third, smart city services should only be used to cope with pandemic situations: 18 the healthcare-system data consists of personal information.",2,1
"The photo added merely shows the shape, but is it possible to show a few time related changes of the shape at different temperatures?",2,1
"However, in the case of the PPCPs with a small molecular weight (typically < 600 Da), UF membranes also cannot effectively reject these PPCPs, but nanofiltration and reverse osmosis are able to remove these PPCPs based on the thin-film composite”.",2,1
"should be after ""Expression was correlated with survival and morphological characteristics.""",2,1
- Font of the reference is different from the text Response: We appreciate the recommendation and corrected the font of the references.,0,0
The methods do not specify how the baseline load of the participants was determined.,2,1
"We hope that now both reviewers, and all other potential readers, will not be misled by our approach.",0,0
We thank the reviewer for pointing this out: Survival reports were changed in median survival and the 95% confidence interval were included.,1,1
What kind of hybrid practices gave shape to the latter?,2,1
"Comment 27: l. 414, Delete “(“before “C.",0,0
"In addition, authors are suggested to report at list 100ns Molecular dynamics (MD) simulation guided protein-ligand stability report followed by either MM-GB or PB-SA based thermo data analysis.",0,0
who used AG-205 to inhibit PGRMC1.,0,0
>>,0,0
"Sustainability, 13(14), 8018.",0,0
I think the paper has the ability to make a contribution to the literature in a way that the previous version may not have been able to.,2,1
"COVID-patients with long COVID felt higher psychological distress, higer fatigue, and higer perceived stress than COVID-patients without long COVID.",0,0
Please add missing information about appropriate kinetic model in revised manuscript.,2,1
Author Response Author’s Response: We appreciate the reviewers’ comment and the suggestion.,0,0
Review summary Scientific aims clearly stated.,0,0
"Not all abbreviations are listed for the table footnotes (FFM, D2O, DXA, LM, BV, ADP) Added to table 1.",0,0
Answer:,0,0
"More importantly, significant correlation is also found in between biophilic design evaluation and self-reported health (GH), r=.270**, p < .01, indicating that office biophilic design has positive values on workers’ psychological health.” Table 10.",1,1
12 to max.,2,1
"* The fact that as the incident energy increases, the TDCS decreases and shifts towards smaller ejection angles for positron impact is said twice between lines 108 and 115.",0,0
Response: Thanks for your comment.,0,0
The numbers in that column seem to be cumulative proportions of total changes over time.,2,1
It is known that HSA can bind RNA and DNA and has RNA hydrolyzing activity.,2,1
I think that these finding are indeed intriguing and deserve to be pursued in a larger study.,0,0
The author openly acknowledges that the basis for a complete picture is lacking.,0,0
We look forward to hearing from you again.,0,0
If we temporarily presume a lineage <C>Thermococci<O>Unclassified<F>Unclassified<G>Aciduliprofundum… R10 one might have a monophyletic class <C>Thermococci{20}.,1,1
This figure depicts the timeline of the in vivo experiment for easier understanding of the study designed.,1,1
"The paper is more streamlined and focused, and the research findings presented are novel.",0,0
"That is plenty and a challenge for many, but the other imaging modalities used are either standard fare in many centers (x-ray imaging, endoscopy) or do not need to be in adjacent rooms (PET scanning and angiography (can be done in the primary Or).",0,0
Methods.,2,1
"; Choi, K.R.",0,0
How was pixel saturation dealt with?,2,1
"""To the best of our knowledge, this is the only study that addresses the role of economic and political uncertainty as a moderator in a model that accounts for the dynamic patterns of firm environmental performance"" (line 128).",0,0
The lack of these protein structures are used as evidence to support pathogenicity.,0,0
LEUKOS.,3,1
"Therefore, this paper intends to cover only general smart city technologies worldwide (Smart city trends: A focus on 5 countries and 15 companies, Cities 2022).",1,1
"Smart City and COVID Webb, W., & Toh, C. K. (2020).",0,0
"If the branching order in all trees built for different Ks turns out to be same, it would be a strong support to the branching order.",1,1
"Reviewer #3 the work presents interesting results on estimation of the soil ingestion of selected children from e‒waste disassembly areas by collecting and analyzing selected tracer metals in matched samples of their consumed food, feces, and urine, as well as soil samples from their play areas.",0,0
"The paper’s general, theoretical story is very broad and ambitious, using an extensive, abstract and complex vocabulary.",0,0
xx were not examined among cases and controls.,0,0
"2 Therefore, they should be considered in future research.",0,0
Table 1.,0,0
